index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
276,OTHER,T35,0,4,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
233,OTHER,T35,0,1,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
239,OTHER,T35,0,1,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
244,OTHER,T35,0,3,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
401,OTHER,T35,0,3,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
266,OTHER,T35,0,5,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
55,OTHER,T35,0,2,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
312,OTHER,T35,0,1,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
554,T22,T40,1,2,15,1,-1,1,05T22@2,06T40@3,17,1,-1,-1,3
564,T35,T22,1,1,9,1,-1,1,01T35@0,02T22@1,17,1,-1,-1,1
566,T35,T22,1,1,9,1,-1,1,00T35@0,02T22@1,17,1,-1,-1,1
0,OTHER,T35,1,3,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
547,T35,T22,1,1,9,1,-1,1,00T35@0,02T22@1,17,1,-1,-1,1
581,T35,T22,1,1,9,1,-1,1,00T35@0,03T22@1,17,1,-1,-1,1
584,T35,T22,1,2,9,1,-1,1,01T35@0,03T22@1,17,1,-1,-1,1
585,T35,T22,1,1,9,1,-1,1,01T35@0,02T22@1,17,1,-1,-1,1
573,T15,T22,1,2,61,1,-1,1,07T15@3,08T22@4,17,1,-1,-1,4
537,T22,T22,1,4,11,1,-1,1,03T22@1,04T22@2,17,1,-1,-1,2
525,T40,T22,1,5,20,1,-1,1,06T40@3,08T22@4,17,1,-1,-1,4
533,T35,T22,1,1,9,1,-1,1,00T35@0,02T22@1,17,1,-1,-1,1
531,T22,T15,1,3,15,1,-1,1,04T22@2,07T15@3,17,1,-1,-1,3
529,T35,T22,1,1,9,1,-1,1,01T35@0,03T22@1,17,1,-1,-1,1
31,OTHER,T35,1,4,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
390,OTHER,T35,1,3,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
290,OTHER,T35,1,4,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
260,OTHER,T35,1,2,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
175,OTHER,T35,1,1,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
76,OTHER,T35,1,2,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
534,T22,T40,1,2,15,1,-1,1,05T22@2,06T40@3,17,1,-1,-1,3
588,T35,T22,1,1,9,1,-1,1,01T35@0,03T22@1,17,1,-1,-1,1
86,OTHER,T35,1,1,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
596,T35,T22,1,1,9,1,-1,1,00T35@0,03T22@1,17,1,-1,-1,1
634,T22,T22,1,4,11,-1,-1,1,03T22@1,05T22@2,17,-1,-1,-1,2
633,T22,T40,1,2,15,-1,-1,1,05T22@2,06T40@3,17,-1,-1,-1,3
632,T22,T15,1,2,16,-1,-1,1,05T22@2,07T15@3,17,-1,-1,-1,3
629,T22,T15,1,3,15,-1,-1,1,04T22@2,07T15@3,17,-1,-1,-1,3
595,T35,T22,1,2,9,1,-1,1,01T35@0,02T22@1,17,1,-1,-1,1
627,T15,T22,1,8,20,-1,-1,1,07T15@3,08T22@4,17,-1,-1,-1,4
624,T22,T22,1,1,33,-1,-1,1,02T22@1,04T22@2,17,-1,-1,-1,2
623,T22,T15,1,3,15,-1,-1,1,04T22@2,07T15@3,17,-1,-1,-1,3
621,T22,T22,1,1,33,-1,-1,1,03T22@1,05T22@2,17,-1,-1,-1,2
628,T22,T15,1,2,15,-1,-1,1,05T22@2,07T15@3,17,-1,-1,-1,3
619,T15,T22,1,8,20,-1,-1,1,07T15@3,09T22@4,17,-1,-1,-1,4
603,T35,T22,1,1,9,1,-1,1,00T35@0,03T22@1,17,1,-1,-1,1
620,T22,T22,1,1,33,-1,-1,1,03T22@1,04T22@2,17,-1,-1,-1,2
614,T35,T22,1,1,9,1,-1,1,00T35@0,03T22@1,17,1,-1,-1,1
611,T35,T22,2,1,9,1,-1,1,00T35@0,02T22@1,17,2,-1,-1,1
146,OTHER,T35,2,3,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
152,OTHER,T35,2,3,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
656,T35,T22,2,2,9,2,-1,2,00T35@0,03T22@1,17,2,-1,-1,1
653,T35,T22,2,2,9,2,-1,2,01T35@0,02T22@1,17,2,-1,-1,1
66,OTHER,T35,2,1,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
639,T35,T22,2,2,9,2,-1,2,01T35@0,03T22@1,17,2,-1,-1,1
635,T22,T22,2,1,33,-1,-1,1,02T22@1,04T22@2,17,-1,-1,-1,2
