index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
283,OTHER,T35,0,1,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
85,OTHER,T12,0,2,10,0,-1,-1,SELLER,00T12@0,0,0,-1,-1,0
342,OTHER,T12,0,3,10,0,-1,-1,SELLER,00T12@0,0,0,-1,-1,0
343,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
306,OTHER,T35,0,1,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
384,OTHER,T12,0,2,10,0,-1,-1,SELLER,00T12@0,0,0,-1,-1,0
246,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
133,OTHER,T35,0,1,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
357,OTHER,T12,0,2,10,0,-1,-1,SELLER,00T12@0,0,0,-1,-1,0
331,OTHER,T12,0,1,10,0,-1,-1,SELLER,00T12@0,0,0,-1,-1,0
118,OTHER,T35,0,3,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
233,OTHER,T35,1,1,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
428,T35,T35,1,3,17,1,-1,1,07T35@3,09T35@4,17,1,-1,-1,4
485,T22,T35,1,5,40,-1,-1,1,05T22@2,07T35@3,17,-1,-1,-1,3
486,T35,T22,1,1,11,-1,-1,1,03T35@1,05T22@2,17,-1,-1,-1,2
39,OTHER,T12,1,4,10,0,-1,-1,SELLER,00T12@0,0,1,-1,-1,0
480,T35,T22,1,1,11,-1,-1,1,03T35@1,05T22@2,17,-1,-1,-1,2
402,T35,T23,1,7,34,1,-1,1,07T35@3,08T23@4,6,1,-1,-1,4
477,T35,T22,1,1,11,-1,-1,1,03T35@1,05T22@2,17,-1,-1,-1,2
488,T35,T22,1,1,11,-1,-1,1,03T35@1,05T22@2,17,-1,-1,-1,2
404,T35,T35,1,3,17,1,-1,1,07T35@3,09T35@4,17,1,-1,-1,4
293,OTHER,T35,1,2,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
474,T22,T22,1,1,11,-1,-1,1,02T22@1,05T22@2,17,-1,-1,-1,2
473,T12,T35,1,10,25,-1,-1,1,00T12@0,03T35@1,17,-1,-1,-1,1
470,T22,T22,1,1,11,-1,-1,1,02T22@1,05T22@2,17,-1,-1,-1,2
469,T35,T22,1,5,9,-1,-1,1,01T35@0,02T22@1,17,-1,-1,-1,1
162,OTHER,T12,1,1,10,0,-1,-1,SELLER,00T12@0,0,1,-1,-1,0
467,T22,T22,1,1,11,-1,-1,1,02T22@1,05T22@2,17,-1,-1,-1,2
79,OTHER,T35,1,2,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
253,OTHER,T12,1,1,10,0,-1,-1,SELLER,00T12@0,0,1,-1,-1,0
395,T35,T23,1,9,33,1,-1,1,07T35@3,08T23@4,10,1,-1,-1,4
423,T35,T35,1,3,17,1,-1,1,07T35@3,09T35@4,17,1,-1,-1,4
197,OTHER,T12,1,2,10,0,-1,-1,SELLER,00T12@0,0,1,-1,-1,0
437,T35,T35,1,3,17,1,-1,1,07T35@3,09T35@4,17,1,-1,-1,4
371,OTHER,T35,1,2,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
386,OTHER,T35,1,2,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
205,OTHER,T12,1,2,10,0,-1,-1,SELLER,00T12@0,0,1,-1,-1,0
389,T35,T35,1,4,17,1,-1,1,07T35@3,09T35@4,17,1,-1,-1,4
10,OTHER,T12,1,1,10,0,-1,-1,SELLER,00T12@0,0,1,-1,-1,0
431,T35,T35,1,5,17,1,-1,1,07T35@3,09T35@4,17,1,-1,-1,4
391,T35,T23,1,6,30,1,-1,1,07T35@3,08T23@4,13,1,-1,-1,4
392,T35,T23,1,6,33,1,-1,1,07T35@3,08T23@4,10,1,-1,-1,4
290,OTHER,T35,2,1,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
454,T35,T22,2,5,8,1,-1,1,01T35@0,02T22@1,17,2,-1,-1,1
263,OTHER,T12,2,1,10,0,-1,-1,SELLER,00T12@0,0,2,-1,-1,0
71,OTHER,T35,2,4,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
518,T35,T35,2,8,13,2,-1,2,04T35@2,07T35@3,17,2,-1,-1,3
5,OTHER,T12,2,2,10,0,-1,-1,SELLER,00T12@0,0,2,-1,-1,0
165,OTHER,T35,2,2,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
426,T35,T23,2,8,32,1,-1,1,07T35@3,08T23@4,11,2,-1,-1,4
228,OTHER,T35,2,4,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
526,T35,T35,2,5,13,2,-1,2,04T35@2,07T35@3,17,2,-1,-1,3
172,OTHER,T12,2,1,10,0,-1,-1,SELLER,00T12@0,0,2,-1,-1,0
452,T35,T23,2,3,33,1,-1,1,07T35@3,08T23@4,17,2,-1,-1,4
324,OTHER,T12,2,1,10,0,-1,-1,SELLER,00T12@0,0,2,-1,-1,0
336,OTHER,T12,2,2,10,0,-1,-1,SELLER,00T12@0,0,2,-1,-1,0
399,T35,T22,2,5,8,1,-1,1,01T35@0,02T22@1,17,2,-1,-1,1
96,OTHER,T12,2,2,10,0,-1,-1,SELLER,00T12@0,0,2,-1,-1,0
466,T12,T35,3,10,25,-1,-1,1,00T12@0,03T35@1,17,-1,-1,-1,1
421,T35,T22,3,5,8,1,-1,1,01T35@0,02T22@1,17,3,-1,-1,1
80,OTHER,T35,3,2,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
572,T35,T35,3,4,17,3,-1,3,07T35@3,09T35@4,17,3,-1,-1,4
424,T35,T22,3,1,11,1,-1,1,03T35@1,05T22@2,17,3,-1,-1,2
580,T22,T35,3,5,21,-1,-1,3,02T22@1,04T35@2,2,-1,-1,-1,2
187,OTHER,T12,3,1,10,0,-1,-1,SELLER,00T12@0,0,3,-1,-1,0
277,OTHER,T12,3,1,10,0,-1,-1,SELLER,00T12@0,0,3,-1,-1,0
160,OTHER,T35,3,2,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
161,OTHER,T35,3,4,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
533,T35,T35,3,6,14,2,-1,2,04T35@2,07T35@3,17,3,-1,-1,3
42,OTHER,T12,3,3,10,0,-1,-1,SELLER,00T12@0,0,3,-1,-1,0
570,T35,T35,3,1,11,3,-1,3,03T35@1,04T35@2,17,3,-1,-1,2
141,OTHER,T12,3,3,10,0,-1,-1,SELLER,00T12@0,0,3,-1,-1,0
166,OTHER,T12,3,1,10,0,-1,-1,SELLER,00T12@0,0,3,-1,-1,0
478,T12,T22,3,2,16,-1,-1,1,00T12@0,02T22@1,17,-1,-1,-1,1
433,T35,T23,3,6,31,1,-1,1,07T35@3,08T23@4,17,3,-1,-1,4
487,T22,T22,3,5,31,-1,-1,1,02T22@1,05T22@2,17,-1,-1,-1,2
369,OTHER,T12,3,1,10,0,-1,-1,SELLER,00T12@0,0,3,-1,-1,0
429,T35,T23,3,1,29,1,-1,1,07T35@3,08T23@4,16,3,-1,-1,4
435,T35,T22,3,5,8,1,-1,1,01T35@0,02T22@1,17,3,-1,-1,1
434,T35,T35,3,10,19,1,-1,1,07T35@3,09T35@4,17,3,-1,-1,4
123,OTHER,T35,3,2,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
427,T22,T22,4,1,11,1,-1,1,02T22@1,05T22@2,17,4,-1,-1,2
447,T35,T23,4,6,34,1,-1,1,07T35@3,08T23@4,10,4,-1,-1,4
137,OTHER,T35,4,1,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
92,OTHER,T12,4,1,10,0,-1,-1,SELLER,00T12@0,0,4,-1,-1,0
438,T35,T23,4,7,28,1,-1,1,07T35@3,08T23@4,14,4,-1,-1,4
