index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,trading_price_5,sold_quantity_5,unit_price_5,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,19.0,0,,25.0,0,,36.0,0,,48.0,0,,0.0,307902,0.0,0.0,7,0,0,0,0,0.0,409,409,149,0.0,0.0,0,0,149,200,9.824478931725023,9.824478931725023
1,149,0,0,0,10.0,20,10.0,14.428571428571427,4,8.0,19.0,0,,25.0,0,,33.056603773584904,8,16.5,48.0,0,,0.05,307246,0.0,0.0,13,0,0,4,0,0.0,90,94,49,1076.0,227.0,80,69,49,364,18.6004540193826,28.42493295110762
2,49,0,0,0,10.0,20,10.0,14.149674620390456,2,8.0,19.0,0,,25.0,0,,24.974456007568588,58,18.32758620689655,48.0,0,,0.030000000000000006,301839,0.0,0.0,18,0,0,9,0,0.0,44,53,33,547.0,48.0,40,9,33,1279,11.838408190757036,40.26334114186466
3,33,0,0,0,10.0,20,10.0,13.734996628455837,3,8.0,18.1,5,10.0,22.676470588235286,23,18.130434782608692,20.322467731349818,42,9.785714285714286,48.0,0,,0.03,297605,0.0,0.0,21,0,0,3,0,0.0,31,34,27,289.0,62.0,21,12,27,1102,11.685360005125403,51.94870114699006
4,27,0,0,0,10.0,20,10.0,13.734996628455837,0,,17.92361111111111,27,17.62962962962963,15.533505154639178,94,10.882978723404255,18.180110418011047,30,9.366666666666667,48.0,0,,0.0,290429,0.0,0.0,23,0,0,3,0,0.0,27,30,26,248.0,47.0,17,10,26,1980,11.030281277373431,62.97898242436349
5,26,0,0,0,10.0,20,10.0,13.098354832263936,5,8.0,19.057588075880762,9,27.222222222222218,15.45412967446866,9,14.222222222222221,15.585091477261775,33,4.727272727272728,48.0,20,48.0,0.05,287158,0.0,0.0,25,0,0,1,0,0.0,27,28,25,210.0,35.0,16,10,25,1729,9.325391681864858,72.30437410622834
6,25,0,0,0,10.0,20,10.0,12.858640380469662,2,8.0,20.155339144647233,7,30.57142857142857,16.43614099042436,22,22.40909090909091,12.26784452066474,70,4.971428571428572,48.0,20,48.0,0.02,278841,0.0,0.0,29,0,0,1,0,0.0,27,28,25,211.0,40.0,15,10,25,2231,10.137761052697897,82.44213515892625
7,25,0,0,0,10.0,20,10.0,12.617416288324591,2,8.0,20.56280935392891,41,21.219512195121947,16.869315292115402,21,19.761904761904766,12.012427458367775,39,10.692307692307693,48.00000000000001,20,48.0,0.02,273676,0.0,0.0,30,0,0,1,0,0.0,26,27,28,193.0,52.0,14,11,28,2878,8.165638733655214,90.60777389258145
8,28,0,0,0,10.0,20,10.0,12.158598350625189,4,8.0,21.685040077014047,10,32.5,17.8810124992401,74,19.864864864864863,11.341198725676074,42,7.8809523809523805,48.00000000000001,20,48.0,0.04,266648,0.0,0.0,31,0,0,1,0,0.0,31,32,26,258.0,34.0,19,9,26,3318,7.628803992643952,98.23657788522543
9,26,0,0,0,10.000000000000002,20,10.0,12.158598350625189,0,,21.685040077014047,0,,18.058803428268867,50,18.76,12.098002641491401,40,16.5,48.00000000000001,20,48.0,0.0,260968,0.0,0.0,28,0,0,1,0,0.0,29,30,24,222.0,33.0,17,9,24,2758,6.997600985690951,105.23417887091637
