index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,24.0,0,,40.0,0,,50.0,0,,0.16666666666666666,431022,0.0,0.0,8,0,0,77,0,0.0,563,640,69,0.0,0.0,0,0,69,200,3.2045484334230423,3.2045484334230423
1,69,0,0,0,10.0,20,10.0,24.0,0,,32.10526315789474,31,20.645161290322577,50.0,0,,0.2333333333333333,428508,0.0,0.0,18,0,0,10,0,0.0,60,70,52,892.0,195.0,52,17,52,840,3.0628853011876345,6.267433734610678
2,52,0,0,0,10.0,20,10.0,21.817204301075268,48,19.770833333333336,29.612831858407077,22,21.863636363636363,50.0,0,,0.2,425595,0.0,0.0,17,0,0,11,0,0.0,29,40,26,338.0,180.0,22,30,26,1630,1.5873103979974983,7.854744132608175
3,26,0,0,0,10.0,20,10.0,21.817204301075268,0,,29.40619001919385,2,21.0,50.0,20,50.0,0.21666666666666667,424940,0.0,0.0,17,0,0,8,0,0.0,20,28,26,91.0,141.0,9,17,26,1242,1.6840901542454958,9.538834286853673
4,26,0,0,0,10.0,20,10.0,23.224119530416225,10,35.0,27.580889481337856,24,21.875,50.0,20,50.0,0.21666666666666667,422871,0.0,0.0,22,0,0,6,0,0.0,20,26,28,91.0,141.0,9,17,28,2075,2.0304511338472366,11.569285420700908
5,28,0,0,0,10.0,20,10.0,24.291818809829284,17,29.588235294117645,25.93771030199366,25,20.08,50.0,18,50.0,0.21666666666666667,420694,0.0,0.0,21,0,0,6,0,0.0,22,28,28,110.0,144.0,10,18,28,2105,2.110285028815269,13.679570449516175
6,28,0,0,0,10.0,20,10.0,21.739985066738267,28,13.428571428571427,24.608556873465385,37,20.918918918918923,49.99999999999999,13,50.0,0.2333333333333333,416549,0.0,0.0,21,0,0,6,0,0.0,23,29,28,110.0,144.0,10,18,28,2000,1.6941412519663572,15.373711701482534
7,28,0,0,0,10.0,20,10.0,20.735422498708196,16,14.0,24.381295189980868,12,22.0,49.99999999999999,17,50.0,0.2,415011,0.0,0.0,18,0,0,8,0,0.0,21,29,26,110.0,144.0,10,18,26,1538,1.9252268597483635,17.298938561230898
8,26,0,0,0,10.0,20,10.0,22.896413094627828,17,37.0,24.32760877420285,2,21.0,49.99999999999999,16,50.0,0.18333333333333332,414444,0.0,0.0,19,0,0,9,0,0.0,16,25,28,91.0,141.0,9,17,28,1671,2.8997324761003256,20.198671037331227
9,28,0,0,0,10.000000000000002,20,10.0,22.329304821259605,7,13.0,24.07176369273468,14,22.0,49.99999999999999,18,50.0,0.2,413042,0.0,0.0,16,0,0,7,0,0.0,19,26,28,110.0,144.0,10,18,28,1499,1.770178873091936,21.96884991042316
10,28,0,0,0,10.000000000000002,20,10.0,22.956195996953287,21,26.23809523809524,24.07176369273468,0,,50.0,12,50.0,0.21666666666666667,412443,0.0,0.0,17,0,0,8,0,0.0,19,27,26,110.0,144.0,10,18,26,1351,1.8123228196054697,23.78117273002863
11,26,0,0,0,10.000000000000002,20,10.0,21.70625135724433,16,12.5,23.475056522819923,24,20.625,50.0,15,50.0,0.2,409965,0.0,0.0,21,0,0,6,0,0.0,19,25,28,91.0,141.0,9,17,28,1645,1.7864235509186983,25.567596280947328
