index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,34.0,0,,43.0,0,,55.0,0,,0.225,258512,0.0,0.0,12,0,0,146,0,0.0,392,538,132,0.0,0.0,0,0,132,200,0.639750624075532,0.639750624075532
1,132,0,0,0,10.0,20,10.0,19.0,5,10.0,34.0,0,,43.45652173913044,1,64.0,55.0,0,,0.325,258261,0.0,0.0,11,0,0,30,0,0.0,62,92,109,1330.0,634.0,70,62,109,314,3.3257824070751667,3.965533031150698
2,109,0,0,0,10.0,20,10.0,19.0,0,,34.0,0,,43.941037735849065,1,64.0,55.0,0,,0.25,258010,0.0,0.0,12,0,0,7,0,0.0,38,45,83,440.0,460.0,24,85,83,264,1.8735655527561903,5.839098583906889
3,83,0,0,0,10.0,20,10.0,19.0,0,,33.31914893617021,2,18.0,44.45326864147089,1,64.0,55.0,0,,0.2875,257759,0.0,0.0,16,0,0,12,0,0.0,24,36,77,190.0,351.0,11,72,77,300,1.693196825683117,7.532295409590006
4,77,0,0,0,10.0,20,10.0,18.2,5,11.0,37.03814262023218,18,45.77777777777778,42.010012109679096,11,34.18181818181818,55.0,20,55.0,0.625,256098,0.0,0.0,33,0,0,12,0,0.0,18,30,79,171.0,245.0,9,68,79,2555,1.6849886737763882,9.217284083366394
5,79,0,0,0,10.0,20,10.0,23.6,45,29.0,39.21051812665319,10,51.0,43.938129663565654,4,64.0,55.0,20,55.0,0.6499999999999999,255944,0.0,0.0,33,0,0,10,0,0.0,24,34,63,177.0,268.0,11,68,63,3371,1.5508763976395132,10.768160481005907
6,63,0,0,0,10.0,20,10.0,25.853237410071944,58,29.0,41.09567678316112,10,52.0,46.159462577761246,5,64.4,55.0,20,55.0,0.6375,255538,0.0,0.0,37,0,0,0,0,0.0,29,29,49,133.0,199.0,7,56,49,3824,1.0600808393210173,11.828241320326926
7,49,0,0,0,10.0,20,10.0,26.08636112644947,56,26.607142857142854,44.871294759592416,43,50.23255813953488,47.7955259536482,4,64.75,55.0,20,55.0,0.8,253809,0.0,0.0,41,0,0,1,0,0.0,27,28,39,66.0,143.0,6,43,39,5209,0.8631427399814129,12.691384060308335
8,39,0,0,0,10.0,20,10.0,26.25866077753239,77,26.623376623376625,46.40024819975197,37,50.270270270270274,53.9223914794318,21,65.85714285714286,55.0,20,55.0,0.8875,250794,0.0,0.0,42,0,0,2,0,0.0,31,33,42,139.0,106.0,9,30,42,6593,1.0812340173870325,13.77261807769537
9,42,0,0,0,10.000000000000002,20,10.0,25.78369227780755,62,24.12903225806452,46.52839862148725,68,46.75,59.111274641717145,44,65.68181818181819,55.00000000000001,17,55.0,0.9875,245438,0.0,0.0,33,0,0,4,0,0.0,28,32,38,152.0,102.0,8,34,38,8700,1.0161022804677486,14.788720358163118
