index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
198,OTHER,T20,0,3,10,0,-1,-1,SELLER,01T20@0,0,0,-1,-1,0
165,OTHER,T20,0,2,10,0,-1,-1,SELLER,01T20@0,0,0,-1,-1,0
59,OTHER,T20,0,3,10,0,-1,-1,SELLER,01T20@0,0,0,-1,-1,0
182,OTHER,T02,0,2,10,0,-1,-1,SELLER,00T02@0,0,0,-1,-1,0
146,OTHER,T20,0,2,10,0,-1,-1,SELLER,01T20@0,0,0,-1,-1,0
53,OTHER,T02,0,1,10,0,-1,-1,SELLER,00T02@0,0,0,-1,-1,0
50,OTHER,T20,0,3,10,0,-1,-1,SELLER,01T20@0,0,0,-1,-1,0
142,OTHER,T02,0,3,10,0,-1,-1,SELLER,00T02@0,0,0,-1,-1,0
129,OTHER,T02,0,1,10,0,-1,-1,SELLER,00T02@0,0,0,-1,-1,0
299,T02,T12,1,1,1,-1,-1,1,05T02@2,08T12@3,2,-1,-1,-1,3
122,OTHER,T02,1,1,10,0,-1,-1,SELLER,00T02@0,0,1,-1,-1,0
318,T02,T12,1,1,1,-1,-1,1,04T02@2,11T12@3,2,-1,-1,-1,3
317,T02,T12,1,1,1,-1,-1,1,04T02@2,11T12@3,2,-1,-1,-1,3
34,OTHER,T02,1,2,10,0,-1,-1,SELLER,00T02@0,0,1,-1,-1,0
125,OTHER,T20,1,2,10,0,-1,-1,SELLER,01T20@0,0,1,-1,-1,0
303,T02,T12,1,1,1,-1,-1,1,04T02@2,08T12@3,2,-1,-1,-1,3
304,T02,T12,1,1,1,-1,-1,1,05T02@2,11T12@3,2,-1,-1,-1,3
305,T02,T12,1,1,1,-1,-1,1,05T02@2,08T12@3,2,-1,-1,-1,3
306,T02,T12,1,1,1,-1,-1,1,05T02@2,11T12@3,2,-1,-1,-1,3
307,T02,T12,1,1,1,-1,-1,1,04T02@2,11T12@3,2,-1,-1,-1,3
308,T02,T12,1,1,1,-1,-1,1,04T02@2,08T12@3,2,-1,-1,-1,3
314,T02,T12,1,1,1,-1,-1,1,05T02@2,08T12@3,2,-1,-1,-1,3
315,T02,T12,1,1,1,-1,-1,1,04T02@2,11T12@3,2,-1,-1,-1,3
296,T02,T12,1,1,1,-1,-1,1,04T02@2,11T12@3,2,-1,-1,-1,3
23,OTHER,T20,1,1,10,0,-1,-1,SELLER,01T20@0,0,1,-1,-1,0
325,T12,T02,1,1,54,-1,-1,1,02T12@1,04T02@2,10,-1,-1,-1,2
96,OTHER,T20,1,2,10,0,-1,-1,SELLER,01T20@0,0,1,-1,-1,0
97,OTHER,T20,1,1,10,0,-1,-1,SELLER,01T20@0,0,1,-1,-1,0
101,OTHER,T02,1,2,10,0,-1,-1,SELLER,00T02@0,0,1,-1,-1,0
329,T02,T12,1,1,1,-1,-1,1,04T02@2,11T12@3,2,-1,-1,-1,3
328,T02,T12,1,1,1,-1,-1,1,05T02@2,08T12@3,2,-1,-1,-1,3
11,OTHER,T02,1,3,10,0,-1,-1,SELLER,00T02@0,0,1,-1,-1,0
13,OTHER,T20,1,2,10,0,-1,-1,SELLER,01T20@0,0,1,-1,-1,0
311,T02,T12,1,1,1,-1,-1,1,04T02@2,08T12@3,2,-1,-1,-1,3
175,OTHER,T20,1,3,10,0,-1,-1,SELLER,01T20@0,0,1,-1,-1,0
322,T02,T12,1,1,1,-1,-1,1,04T02@2,08T12@3,2,-1,-1,-1,3
321,T02,T12,1,1,1,-1,-1,1,04T02@2,08T12@3,2,-1,-1,-1,3
320,T02,T12,1,1,1,-1,-1,1,04T02@2,08T12@3,2,-1,-1,-1,3
58,OTHER,T02,1,1,10,0,-1,-1,SELLER,00T02@0,0,1,-1,-1,0
312,T02,T12,1,1,1,-1,-1,1,05T02@2,11T12@3,2,-1,-1,-1,3
324,T12,T02,1,1,54,-1,-1,1,02T12@1,05T02@2,10,-1,-1,-1,2
114,OTHER,T20,2,5,10,0,-1,-1,SELLER,01T20@0,0,2,-1,-1,0
154,OTHER,T02,2,2,10,0,-1,-1,SELLER,00T02@0,0,2,-1,-1,0
75,OTHER,T02,2,2,10,0,-1,-1,SELLER,00T02@0,0,2,-1,-1,0
91,OTHER,T20,2,1,10,0,-1,-1,SELLER,01T20@0,0,2,-1,-1,0
313,T12,T02,2,1,54,-1,-1,1,02T12@1,05T02@2,10,-1,-1,-1,2
188,OTHER,T02,2,3,10,0,-1,-1,SELLER,00T02@0,0,2,-1,-1,0
359,T02,T12,2,2,1,-1,-1,2,05T02@2,11T12@3,2,-1,-1,-1,3
197,OTHER,T02,2,2,10,0,-1,-1,SELLER,00T02@0,0,2,-1,-1,0
361,T02,T12,2,2,1,-1,-1,2,05T02@2,08T12@3,2,-1,-1,-1,3
358,T02,T12,2,2,1,-1,-1,2,05T02@2,11T12@3,2,-1,-1,-1,3
135,OTHER,T02,2,1,10,0,-1,-1,SELLER,00T02@0,0,2,-1,-1,0
364,T02,T12,2,2,1,-1,-1,2,05T02@2,11T12@3,2,-1,-1,-1,3
