index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,trading_price_5,sold_quantity_5,unit_price_5,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,23,10.0,17.0,0,,26.0,0,,32.0,0,,44.0,0,,60.0,0,,0.10833333333333334,1020719,0.0,0.0,6,0,0,132,0,0.0,403,535,26,0.0,0.0,0,0,26,230,0.8747062813490629,0.8747062813490629
1,26,0,0,0,10.0,22,10.0,17.0,0,,26.0,0,,32.0,0,,44.0,0,,60.0,0,,0.125,1020499,0.0,0.0,6,0,0,14,0,0.0,12,26,15,252.0,36.0,14,12,15,220,1.0935102570801971,1.9682165384292605
2,15,0,0,0,10.0,30,10.0,17.0,0,,26.0,0,,32.0,0,,44.0,0,,60.0,0,,0.13333333333333333,1020199,0.0,0.0,8,0,0,6,0,0.0,8,14,13,18.0,41.0,1,14,13,300,0.5627712048590183,2.5309877432882786
3,13,0,0,0,10.0,30,10.0,17.0,0,,26.0,0,,32.0,0,,46.1,5,65.0,60.0,0,,0.18333333333333332,1019639,0.0,0.0,8,0,0,7,0,0.0,6,13,12,18.0,36.0,1,12,12,625,0.4988281838595867,3.0298159271478653
4,12,0,0,0,9.999999999999998,23,10.0,17.0,0,,26.0,0,,32.0,0,,46.1,0,,60.0,0,,0.14166666666666666,1019409,0.0,0.0,5,0,0,7,0,0.0,7,14,11,18.0,33.0,1,11,11,230,0.7134406007826328,3.743256527930498
5,11,0,0,0,9.999999999999996,30,10.0,17.0,0,,26.0,0,,32.0,0,,46.1,0,,60.0,9,60.0,0.15833333333333333,1019365,0.0,0.0,9,0,0,7,0,0.0,5,12,12,18.0,30.0,1,10,12,840,0.974717875942588,4.717974403873086
6,12,0,0,0,9.999999999999996,24,10.0,17.0,0,,26.0,0,,32.0,0,,46.1,0,,60.0,11,60.0,0.1,1018887,0.0,0.0,9,0,0,9,0,0.0,5,14,11,36.0,30.0,2,10,11,900,0.5558502152562141,5.273824619129299
7,11,0,0,0,9.999999999999996,24,10.0,17.0,0,,26.0,0,,32.0,0,,48.19,5,67.0,60.0,12,60.0,0.16666666666666666,1018114,0.0,0.0,10,0,0,7,0,0.0,6,13,12,18.0,30.0,1,10,12,1295,0.4838310107588768,5.757655629888178
8,12,0,0,0,9.999999999999998,24,10.0,17.0,0,,26.0,0,,32.0,0,,50.07100000000001,5,67.0,60.00000000000001,9,60.0,0.10833333333333334,1017870,0.0,0.0,10,0,0,10,0,0.0,6,16,13,54.0,27.0,3,9,13,1115,0.5853139553219079,6.342969585210085
9,13,0,0,0,9.999999999999996,24,10.0,17.0,0,,26.0,0,,32.0,0,,51.76390000000001,5,67.0,60.0,12,60.0,0.16666666666666666,1017575,0.0,0.0,11,0,0,12,0,0.0,5,17,14,75.0,24.0,5,8,14,1295,0.6394746880978346,6.98244427330792
