index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,27.0,0,,40.0,0,,51.0,0,,0.45,182152,0.0,0.0,5,0,0,79,0,0.0,127,206,81,0.0,0.0,0,0,81,200,1.4282642900943756,1.4282642900943756
1,81,0,0,0,10.0,20,10.0,20.0,0,,26.659574468085108,2,19.0,40.0,0,,51.0,0,,0.5,181888,0.0,0.0,6,0,0,10,0,0.0,27,37,33,493.0,162.0,27,54,33,238,9.896115221083164,11.32437951117754
2,33,0,0,0,10.0,20,10.0,20.0,0,,25.849894291754755,5,19.0,41.28301886792453,8,48.5,51.0,0,,0.6625,181240,0.0,0.0,8,0,0,3,0,0.0,9,12,33,38.0,93.0,2,31,33,683,2.5838065892457958,13.908186100423336
3,33,0,0,0,10.0,20,10.0,20.0,0,,25.849894291754755,0,,42.96394686907021,5,59.0,51.0,0,,0.5625,180800,0.0,0.0,6,0,0,5,0,0.0,7,12,38,38.0,93.0,2,31,38,495,1.830996872857213,15.739182973280547
4,38,0,0,0,10.0,20,10.0,20.0,10,20.0,25.849894291754755,0,,44.49322906732785,5,59.0,51.0,8,51.0,0.6875,181008,0.0,0.0,9,0,0,7,0,0.0,7,14,33,57.0,105.0,3,35,33,1103,4.9286479633301505,20.6678309366107
5,33,0,0,0,10.0,20,10.0,23.72327044025157,30,29.86666666666667,25.849894291754755,0,,44.49322906732785,0,,51.0,10,51.0,0.625,181318,0.0,0.0,10,0,0,5,0,0.0,7,12,33,38.0,93.0,2,31,33,1606,3.006807239726186,23.674638176336884
6,33,0,0,0,10.0,20,10.0,23.72327044025157,0,,25.849894291754755,0,,49.10923244079955,20,60.0,51.0,9,51.0,0.75,179918,0.0,0.0,11,0,0,5,0,0.0,9,14,37,57.0,90.0,3,30,37,1859,3.4054044373333454,27.08004261367023
7,37,0,0,0,10.0,20,10.0,23.72327044025157,0,,25.849894291754755,0,,50.51280930574456,10,59.0,51.0,7,51.0,0.75,179595,0.0,0.0,9,0,0,5,0,0.0,8,13,24,57.0,102.0,3,34,24,1147,2.520288759842515,29.600331373512745
8,24,0,0,0,10.0,20,10.0,26.417694598043383,46,30.608695652173914,25.849894291754755,0,,51.668764191182774,10,59.0,51.0,2,51.0,0.75,178945,0.0,0.0,11,0,0,6,0,0.0,6,12,24,38.0,66.0,2,22,24,2300,1.9060459230095148,31.50637729652226
9,24,0,0,0,10.000000000000002,20,10.0,26.417694598043383,0,,25.849894291754755,0,,52.18447224096379,5,59.0,51.0,6,51.0,0.75,178811,0.0,0.0,7,0,0,5,0,0.0,7,12,25,38.0,66.0,2,22,25,801,3.2634089309722185,34.76978622749448
10,25,0,0,0,10.000000000000002,20,10.0,26.94273127753304,27,29.0,25.849894291754755,0,,52.823543576887744,5,61.0,51.0,6,51.0,0.75,178677,0.0,0.0,10,0,0,3,0,0.0,8,11,28,38.0,69.0,2,23,28,1594,1.9576423708349464,36.72742859832943
11,28,0,0,0,10.000000000000002,20,10.0,27.44797477209547,17,31.0,25.849894291754755,0,,54.2850802634514,15,60.33333333333334,51.00000000000001,3,51.0,0.75,177716,0.0,0.0,11,0,0,7,0,0.0,6,13,27,57.0,75.0,3,25,27,1785,3.1403404735028744,39.8677690718323
12,27,0,0,0,10.000000000000002,20,10.0,27.44797477209547,0,,25.849894291754755,0,,54.736553054180746,5,61.0,51.00000000000001,8,51.0,0.75,177684,0.0,0.0,8,0,0,4,0,0.0,9,13,27,57.0,72.0,3,24,27,913,2.4543126523494716,42.32208172418177
13,27,0,0,0,10.000000000000002,20,10.0,27.44797477209547,0,,25.849894291754755,0,,55.76122724944914,15,60.33333333333334,51.00000000000002,3,51.0,0.75,176867,0.0,0.0,10,0,0,6,0,0.0,8,14,27,57.0,72.0,3,24,27,1258,2.619769779965281,44.941851504147046
