,balance,assets,bankrupt,agent_id,step
0,18275.0,200.0,False,00T37@0,0.0
1,18240.0,918.0350007991048,False,00T37@0,5.0
2,19650.0,647.8161473196827,False,00T37@0,10.0
3,20317.0,878.6796266323137,False,00T37@0,15.0
4,20944.0,1174.4043396595512,False,00T37@0,20.0
5,21988.0,1062.1336585479773,False,00T37@0,25.0
6,23434.0,577.2714503797363,False,00T37@0,30.0
7,24399.0,606.3031696728873,False,00T37@0,35.0
8,24684.0,1245.8303475481098,False,00T37@0,40.0
9,26274.0,592.7217098133511,False,00T37@0,45.0
10,26024.0,1720.2540452923902,False,00T37@0,50.0
11,18295.0,90.0,False,01T41@0,0.0
12,17769.0,620.0,False,01T41@0,5.0
13,17295.0,1120.0000000000002,False,01T41@0,10.0
14,16856.0,1620.0000000000002,False,01T41@0,15.0
15,16461.0,2070.0000000000005,False,01T41@0,20.0
16,15946.0,2640.0000000000005,False,01T41@0,25.0
17,15511.0,3130.0000000000005,False,01T41@0,30.0
18,15111.0,3580.0,False,01T41@0,35.0
19,14651.0,4069.9999999999986,False,01T41@0,40.0
20,14351.0,4450.0,False,01T41@0,45.0
21,13931.0,4870.0,False,01T41@0,50.0
22,29145.0,0.0,False,02T37@1,0.0
23,28525.0,783.7922617577403,False,02T37@1,5.0
24,26296.0,3069.0241696160424,False,02T37@1,10.0
25,26653.0,3879.07868997449,False,02T37@1,15.0
26,28739.0,2739.3770582264237,False,02T37@1,20.0
27,28590.0,3429.122954968365,False,02T37@1,25.0
28,28035.0,4758.414270886499,False,02T37@1,30.0
29,28756.0,4924.078718481524,False,02T37@1,35.0
30,30804.0,3743.233133811285,False,02T37@1,40.0
31,28641.0,6568.554596258762,False,02T37@1,45.0
32,30040.0,5856.069683866823,False,02T37@1,50.0
33,29145.0,0.0,False,03T12@1,0.0
34,29129.0,0.0,False,03T12@1,5.0
35,29067.0,0.0,False,03T12@1,10.0
36,29029.0,0.0,False,03T12@1,15.0
37,28991.0,81.21818139350593,False,03T12@1,20.0
38,28991.0,80.25808945717044,False,03T12@1,25.0
39,28991.0,82.1761693556182,False,03T12@1,30.0
40,28991.0,84.58251242252804,False,03T12@1,35.0
41,28991.0,86.22079749099831,False,03T12@1,40.0
42,28991.0,85.69990426504063,False,03T12@1,45.0
43,28991.0,85.53570291168225,False,03T12@1,50.0
44,25090.0,0.0,False,04T12@2,0.0
45,24974.0,148.450755318322,False,04T12@2,5.0
46,24752.0,623.459139652556,False,04T12@2,10.0
47,25333.0,0.0,False,04T12@2,15.0
48,25093.0,423.09246679992026,False,04T12@2,20.0
49,25398.0,217.8452064703634,False,04T12@2,25.0
50,25508.0,108.30126490281302,False,04T12@2,30.0
51,25508.0,108.30126490281302,False,04T12@2,35.0
52,25508.0,110.67079264160074,False,04T12@2,40.0
53,25388.0,333.50594047276434,False,04T12@2,45.0
54,25414.0,343.6395994280948,False,04T12@2,50.0
55,25090.0,0.0,False,05T41@2,0.0
56,24433.0,371.126888295805,False,05T41@2,5.0
57,24708.0,0.0,False,05T41@2,10.0
58,19618.0,1477.8839380449176,False,05T41@2,15.0
59,16762.0,4426.390885946074,False,05T41@2,20.0
60,14988.0,5698.3243514591,False,05T41@2,25.0
61,13282.0,7395.8552420056385,False,05T41@2,30.0
62,10766.0,9980.73646585831,False,05T41@2,35.0
63,7798.0,13062.450819886242,False,05T41@2,40.0
64,7506.0,13326.335113213816,False,05T41@2,45.0
65,5840.0,14626.605197897663,False,05T41@2,50.0
66,25090.0,0.0,False,06T12@2,0.0
67,24968.0,148.450755318322,False,06T12@2,5.0
68,24750.0,623.459139652556,False,06T12@2,10.0
69,25102.0,202.35333817323968,False,06T12@2,15.0
70,24996.0,423.09246679992026,False,06T12@2,20.0
71,25360.0,217.8452064703634,False,06T12@2,25.0
72,25298.0,324.90379470843897,False,06T12@2,30.0
73,25298.0,324.90379470843897,False,06T12@2,35.0
74,25298.0,332.0123779248022,False,06T12@2,40.0
75,25298.0,333.50594047276434,False,06T12@2,45.0
76,25298.0,343.6395994280948,False,06T12@2,50.0
77,45475.0,0.0,False,07T41@3,0.0
78,45336.0,0.0,False,07T41@3,5.0
79,41488.0,3114.3407699584004,False,07T41@3,10.0
80,40759.0,3587.0067489450753,False,07T41@3,15.0
81,39622.0,4207.605317899262,False,07T41@3,20.0
82,36730.0,6622.433590875719,False,07T41@3,25.0
83,36625.0,6162.87083455753,False,07T41@3,30.0
84,36857.0,5675.515142494871,False,07T41@3,35.0
85,35527.0,6584.912162175244,False,07T41@3,40.0
86,35580.0,6457.2755753340125,False,07T41@3,45.0
87,33959.0,7526.978121132688,False,07T41@3,50.0
88,45475.0,0.0,False,08T37@3,0.0
89,45281.0,0.0,False,08T37@3,5.0
90,44961.0,0.0,False,08T37@3,10.0
91,40992.0,3721.300072598596,False,08T37@3,15.0
92,40147.0,4387.369867199681,False,08T37@3,20.0
93,40770.0,3615.380825881454,False,08T37@3,25.0
94,43073.0,1225.0,False,08T37@3,30.0
95,44133.0,0.0,False,08T37@3,35.0
96,44133.0,0.0,False,08T37@3,40.0
97,43141.0,490.0,False,08T37@3,45.0
98,42941.0,245.0,False,08T37@3,50.0
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,,,,,
104,,,,,
105,,,,,
106,,,,,
107,,,,,
108,,,,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,,,,,
119,,,,,
120,,,,,
