index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
421,OTHER,T35,0,4,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
247,OTHER,T22,0,3,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
164,OTHER,T22,0,4,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
665,OTHER,T35,0,1,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
73,OTHER,T22,0,1,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
111,OTHER,T22,0,1,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
280,OTHER,T22,0,1,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
306,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
68,OTHER,T22,0,3,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
557,OTHER,T22,1,4,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
146,OTHER,T35,1,4,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
416,OTHER,T22,1,2,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
513,OTHER,T35,1,1,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
786,T35,T15,1,5,8,1,-1,1,01T35@0,03T15@1,17,1,-1,-1,1
804,T15,T35,1,11,12,-1,-1,1,03T15@1,04T35@2,17,-1,-1,-1,2
85,OTHER,T35,1,4,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
795,T15,T35,1,1,30,1,-1,1,03T15@1,04T35@2,17,1,-1,-1,2
386,OTHER,T35,1,2,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
798,T15,T35,1,1,30,1,-1,1,03T15@1,05T35@2,17,1,-1,-1,2
806,T22,T15,1,10,25,-1,-1,1,00T22@0,03T15@1,17,-1,-1,-1,1
805,T15,T35,1,11,12,-1,-1,1,03T15@1,04T35@2,17,-1,-1,-1,2
399,OTHER,T35,1,2,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
418,OTHER,T35,1,1,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
592,OTHER,T35,2,2,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
585,OTHER,T22,2,1,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
70,OTHER,T35,2,2,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
678,OTHER,T35,2,3,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
553,OTHER,T35,2,1,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
802,T35,T15,2,5,8,1,-1,1,01T35@0,03T15@1,17,2,-1,-1,1
765,T15,T35,2,1,30,1,-1,1,03T15@1,04T35@2,17,2,-1,-1,2
817,T35,T15,2,5,9,2,-1,2,01T35@0,03T15@1,17,2,-1,-1,1
176,OTHER,T35,2,1,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
835,T35,T15,2,5,8,2,-1,2,01T35@0,03T15@1,17,2,-1,-1,1
788,T35,T15,2,5,9,1,-1,1,01T35@0,03T15@1,17,2,-1,-1,1
689,OTHER,T22,2,2,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
837,T22,T15,2,29,16,-1,-1,2,00T22@0,03T15@1,2,-1,-1,-1,1
787,T35,T15,2,5,9,1,-1,1,01T35@0,03T15@1,17,2,-1,-1,1
142,OTHER,T22,2,1,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
433,OTHER,T22,2,3,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
504,OTHER,T22,2,1,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
220,OTHER,T22,2,3,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
283,OTHER,T35,3,2,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
656,OTHER,T35,3,1,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
312,T35,OTHER,3,3,31,0,-1,-1,04T35@2,BUYER,0,3,-1,-1,3
610,OTHER,T22,3,2,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
165,OTHER,T22,3,1,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
597,T35,OTHER,3,2,31,0,-1,-1,04T35@2,BUYER,0,3,-1,-1,3
126,OTHER,T35,3,2,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
174,OTHER,T22,3,1,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
860,T35,T15,3,5,8,3,-1,3,01T35@0,03T15@1,17,3,-1,-1,1
790,T35,T15,3,5,9,1,-1,1,01T35@0,03T15@1,17,3,-1,-1,1
808,T22,T15,3,11,25,-1,-1,1,00T22@0,03T15@1,17,-1,-1,-1,1
281,OTHER,T35,3,4,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
836,T35,T15,3,5,8,2,-1,2,01T35@0,03T15@1,17,3,-1,-1,1
302,T35,OTHER,3,3,31,0,-1,-1,04T35@2,BUYER,0,3,-1,-1,3
392,T35,OTHER,3,1,31,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
449,T35,OTHER,3,1,31,0,-1,-1,04T35@2,BUYER,0,3,-1,-1,3
30,T35,OTHER,3,3,31,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
443,T35,OTHER,3,2,31,0,-1,-1,04T35@2,BUYER,0,3,-1,-1,3
