,balance,assets,bankrupt,agent_id,step
0,19472.0,120.0,False,00T29@0,0.0
1,18942.0,650.0,False,00T29@0,5.0
2,18342.0,1250.0000000000002,False,00T29@0,10.0
3,17802.0,1790.0000000000002,False,00T29@0,15.0
4,17262.0,2330.0000000000005,False,00T29@0,20.0
5,16782.0,2810.0000000000005,False,00T29@0,25.0
6,16252.0,3340.0000000000005,False,00T29@0,30.0
7,15932.0,3660.0,False,00T29@0,35.0
8,15482.0,4109.999999999999,False,00T29@0,40.0
9,15002.0,4590.0,False,00T29@0,45.0
10,14472.0,5120.0,False,00T29@0,50.0
11,13942.0,5650.000000000001,False,00T29@0,55.0
12,13472.0,6120.000000000001,False,00T29@0,60.0
13,12942.0,6650.0,False,00T29@0,65.0
14,12432.0,7160.0,False,00T29@0,70.0
15,11932.0,7660.0,False,00T29@0,75.0
16,11422.0,8170.0,False,00T29@0,80.0
17,19512.0,80.0,False,01T35@0,0.0
18,18083.0,550.0,False,01T35@0,5.0
19,16697.0,950.0,False,01T35@0,10.0
20,15559.0,1410.0000000000002,False,01T35@0,15.0
21,14205.0,1870.0,False,01T35@0,20.0
22,13069.0,2390.0000000000005,False,01T35@0,25.0
23,11283.0,2860.0000000000005,False,01T35@0,30.0
24,9563.0,3540.0,False,01T35@0,35.0
25,7969.0,4089.9999999999986,False,01T35@0,40.0
26,7147.0,4610.0,False,01T35@0,45.0
27,5833.0,5080.0,False,01T35@0,50.0
28,3881.0,5550.000000000001,False,01T35@0,55.0
29,2759.0,6080.000000000001,False,01T35@0,60.0
30,1233.0,6550.0,False,01T35@0,65.0
31,-41.0,7040.0,False,01T35@0,70.0
32,-20894.666666666668,7260.0,True,01T35@0,75.0
33,-20894.666666666668,7260.0,True,01T35@0,80.0
34,27233.0,0.0,False,02T41@1,0.0
35,26836.0,935.8792043927684,False,02T41@1,5.0
36,29058.0,424.085244634582,False,02T41@1,10.0
37,29217.0,438.8403397668905,False,02T41@1,15.0
38,30198.0,444.21767773442735,False,02T41@1,20.0
39,30200.0,954.9875495190187,False,02T41@1,25.0
40,30386.0,1930.301620752416,False,02T41@1,30.0
41,31414.0,1785.1895564744525,False,02T41@1,35.0
42,32954.0,1612.9701111805787,False,02T41@1,40.0
43,32286.0,759.8981009099198,False,02T41@1,45.0
44,32106.0,2066.995024802404,False,02T41@1,50.0
45,34078.0,1262.813809020843,False,02T41@1,55.0
46,35598.0,950.79807575841,False,02T41@1,60.0
47,37251.0,615.9999281866808,False,02T41@1,65.0
48,38254.0,608.0181042124135,False,02T41@1,70.0
49,39099.0,618.7523933294566,False,02T41@1,75.0
50,39841.0,0.0,False,02T41@1,80.0
51,27233.0,0.0,False,03T22@1,0.0
52,27233.0,209.75251509054326,False,03T22@1,5.0
53,27287.0,476.9818467765157,False,03T22@1,10.0
54,27413.0,541.9193909491346,False,03T22@1,15.0
55,27395.0,837.561960442679,False,03T22@1,20.0
56,27539.0,989.0942477161265,False,03T22@1,25.0
57,27683.0,1043.3258450782196,False,03T22@1,30.0
58,27719.0,1254.5568342419197,False,03T22@1,35.0
59,27809.0,1576.9214737389416,False,03T22@1,40.0
60,27827.0,1698.6918912727883,False,03T22@1,45.0
61,28025.0,1647.2680049173155,False,03T22@1,50.0
62,28133.0,1948.288068287516,False,03T22@1,55.0
63,28277.0,2035.9870841636264,False,03T22@1,60.0
64,28331.0,2275.327695068632,False,03T22@1,65.0
65,28493.0,2325.648290238704,False,03T22@1,70.0
66,28655.0,2181.916334372295,False,03T22@1,75.0
67,28799.0,2089.553358739274,False,03T22@1,80.0
68,35200.0,0.0,False,04T22@2,0.0
69,35164.0,0.0,False,04T22@2,5.0
70,33479.0,1535.3842672063136,False,04T22@2,10.0
71,32747.0,2242.829657408888,False,04T22@2,15.0
72,31119.0,3766.952450553349,False,04T22@2,20.0
73,30017.0,5002.3746260814205,False,04T22@2,25.0
74,30483.0,4622.278362109391,False,04T22@2,30.0
75,30093.0,5294.840619774605,False,04T22@2,35.0
76,30159.0,5197.066727896348,False,04T22@2,40.0
77,29239.0,6327.538102274563,False,04T22@2,45.0
78,30929.0,4658.000000000002,False,04T22@2,50.0
79,30311.0,5394.261979990683,False,04T22@2,55.0
80,29987.0,5712.000000000003,False,04T22@2,60.0
81,28581.0,7105.48149307302,False,04T22@2,65.0
82,27489.0,8182.353205051151,False,04T22@2,70.0
83,28561.0,7208.000000000003,False,04T22@2,75.0
84,29875.0,5881.999999999999,False,04T22@2,80.0
85,35200.0,0.0,False,05T22@2,0.0
86,34968.0,0.0,False,05T22@2,5.0
87,34450.0,374.0,False,05T22@2,10.0
88,32546.0,2206.2288960953065,False,05T22@2,15.0
89,30762.0,3923.615995977583,False,05T22@2,20.0
90,31540.0,3094.5334909855387,False,05T22@2,25.0
91,31718.0,2890.0000000000005,False,05T22@2,30.0
92,32042.0,2550.0000000000005,False,05T22@2,35.0
