index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,24.0,0,,34.0,0,,0.16666666666666666,342718,0.0,0.0,9,0,0,57,0,0.0,500,557,84,0.0,0.0,0,0,84,200,8.088229745626451,8.088229745626451
1,84,0,0,0,10.0,20,10.0,16.0,0,,15.303030303030305,120,12.041666666666664,34.0,0,,0.3333333333333333,335138,0.0,0.0,30,0,0,11,0,0.0,93,104,33,1512.0,0.0,84,0,33,1645,4.1865796465426675,12.274809392169118
2,33,0,0,0,10.0,20,10.0,12.658227848101266,34,8.235294117647058,14.8356940509915,28,12.357142857142858,34.0,0,,0.3333333333333333,332973,0.0,0.0,20,0,0,8,0,0.0,44,52,9,594.0,0.0,33,0,9,826,1.896743142977357,14.171552535146475
3,9,0,0,0,10.0,20,10.0,14.180024660912455,10,25.0,14.219638242894057,54,12.407407407407408,34.0,20,34.0,0.3333333333333333,330798,0.0,0.0,28,0,0,5,0,0.0,22,27,9,162.0,0.0,9,0,9,1800,1.1746749244630337,15.346227459609509
4,9,0,0,0,10.0,20,10.0,12.907258379560902,55,11.21818181818182,13.833343768914492,48,12.291666666666664,34.0,17,34.0,0.3333333333333333,327384,0.0,0.0,29,0,0,6,0,0.0,21,27,10,144.0,18.0,8,1,10,1985,0.8543545082211494,16.200581967830658
5,10,0,0,0,10.0,20,10.0,12.909498581264756,36,12.916666666666664,13.648163108816805,40,12.65,34.0,18,34.0,0.3333333333333333,325071,0.0,0.0,30,0,0,4,0,0.0,23,27,14,144.0,36.0,8,2,14,1783,1.0147506333887577,17.215332601219412
6,14,0,0,0,10.0,20,10.0,11.992735218349711,35,8.428571428571429,13.504107497264226,34,12.529411764705882,34.0,18,34.0,0.3333333333333333,322632,0.0,0.0,26,0,0,6,0,0.0,24,30,18,198.0,54.0,11,3,18,1533,1.2163123562932014,18.431644957512614
7,18,0,0,0,10.0,20,10.0,11.678449906402118,33,10.212121212121213,13.366649266016669,40,12.55,34.0,14,34.0,0.3333333333333333,320172,0.0,0.0,29,0,0,6,0,0.0,30,36,18,270.0,54.0,15,3,18,1515,1.5676557291299105,19.999300686642528
8,18,0,0,0,10.0,20,10.0,10.91308042498277,129,9.914728682170542,13.215226010462173,55,12.527272727272727,34.0,13,34.0,0.3333333333333333,310504,0.0,0.0,38,0,0,6,0,0.0,28,34,18,270.0,54.0,15,3,18,2610,2.9664053563028574,22.965706042945385
9,18,0,0,0,10.000000000000002,20,10.0,10.826902177603635,69,10.492753623188406,13.178646803130185,17,12.588235294117649,34.0,16,34.0,0.3333333333333333,307425,0.0,0.0,28,0,0,7,0,0.0,25,32,18,270.0,54.0,15,3,18,1682,2.1106749307364225,25.076380973681808
10,18,0,0,0,10.000000000000002,20,10.0,10.867843941593248,56,11.089285714285712,13.08440908033885,44,12.522727272727273,34.0,14,34.0,0.3333333333333333,303759,0.0,0.0,30,0,0,7,0,0.0,26,33,16,270.0,54.0,15,3,16,1848,1.3076006434857843,26.383981617167592
11,16,0,0,0,10.000000000000002,20,10.0,10.854694141102886,74,10.797297297297296,13.030021333912067,33,12.575757575757574,34.0,11,34.0,0.3333333333333333,299990,0.0,0.0,28,0,0,3,0,0.0,28,31,17,234.0,54.0,13,3,17,1788,1.6973154339939356,28.08129705116153
12,17,0,0,0,10.000000000000002,20,10.0,10.830866170855556,62,10.693548387096774,12.9333018161203,47,12.361702127659573,34.0,16,34.0,0.3333333333333333,295952,0.0,0.0,34,0,0,4,0,0.0,28,32,16,252.0,54.0,14,3,16,1988,1.3426408469676971,29.423937898129225
13,16,0,0,0,10.000000000000002,20,10.0,10.830866170855556,0,,12.766064034098484,86,12.19767441860465,34.0,12,34.0,0.3333333333333333,291549,0.0,0.0,28,0,0,7,0,0.0,27,34,16,234.0,54.0,13,3,16,1657,1.2494767159223557,30.67341461405158
14,16,0,0,0,10.000000000000002,20,10.0,10.743103321518692,19,9.0,12.75635624925691,48,12.6875,34.0,15,34.0,0.3333333333333333,289181,0.0,0.0,26,0,0,4,0,0.0,26,30,14,252.0,36.0,14,2,14,1490,0.9611307308077812,31.63454534485936
15,14,0,0,0,10.000000000000002,20,10.0,10.743103321518692,0,,12.73073085426719,67,12.597014925373134,33.99999999999999,14,34.0,0.3333333333333333,286054,0.0,0.0,27,0,0,8,0,0.0,24,32,9,234.0,18.0,13,1,9,1520,0.6458505596965551,32.280395904555924
16,9,0,0,0,10.000000000000002,20,10.0,10.744261529723149,72,10.75,12.665164870562975,55,12.21818181818182,33.99999999999999,13,34.0,0.3333333333333333,281618,0.0,0.0,26,0,0,4,0,0.0,25,29,12,144.0,18.0,8,1,12,2088,0.8282328005880117,33.10862870514393
17,12,0,0,0,10.000000000000002,20,10.0,11.046399059627205,9,24.0,12.6556795956568,30,12.533333333333333,33.99999999999999,13,34.0,0.3333333333333333,280290,0.0,0.0,27,0,0,4,0,0.0,24,28,12,198.0,18.0,11,1,12,1234,0.7585013620555401,33.86713006719947
18,12,0,0,0,10.000000000000002,20,10.0,11.189359695195655,38,12.526315789473687,12.647788625362143,108,12.620370370370368,33.99999999999999,20,34.0,0.3333333333333333,273293,0.0,0.0,37,0,0,7,0,0.0,25,32,12,198.0,18.0,11,1,12,2719,0.9536045156419276,34.820734582841396
19,12,0,0,0,10.000000000000002,20,10.0,11.141258926439107,71,10.901408450704226,12.598322677529685,51,12.176470588235292,33.99999999999999,14,34.0,0.3333333333333333,268945,0.0,0.0,27,0,0,4,0,0.0,25,29,12,198.0,18.0,11,1,12,2071,0.9410383459180592,35.76177292875945
20,12,0,0,0,10.000000000000002,20,10.0,11.081406496048048,11,9.0,12.543949451694699,86,12.267441860465114,33.99999999999999,20,34.0,0.3333333333333333,264080,0.0,0.0,35,0,0,7,0,0.0,22,29,11,198.0,18.0,11,1,11,2034,1.0308163836598396,36.792589312419295
21,11,0,0,0,10.000000000000002,20,10.0,11.40867960307984,10,23.0,12.435980525529713,96,11.90625,33.99999999999999,14,34.0,0.3333333333333333,258922,0.0,0.0,27,0,0,4,0,0.0,25,29,6,198.0,0.0,11,0,6,2049,0.7559308670461178,37.548520179465406
22,6,0,0,0,10.000000000000002,20,10.0,11.493614735735571,53,12.018867924528301,12.433846068574278,44,12.409090909090908,33.99999999999999,15,34.0,0.3333333333333333,255547,0.0,0.0,27,0,0,7,0,0.0,18,25,8,108.0,0.0,6,0,8,1893,0.7576895356178284,38.30620971508324
23,8,0,0,0,10.000000000000002,20,10.0,11.463308276960651,44,11.227272727272727,12.364301275023449,87,11.965517241379311,33.99999999999999,14,34.0,0.3333333333333333,250167,0.0,0.0,31,0,0,8,0,0.0,21,29,8,144.0,0.0,8,0,8,2211,0.4566503800451756,38.762860095128424
24,8,0,0,0,10.000000000000002,20,10.0,11.804553772668614,9,25.0,12.378105365526853,31,12.612903225806454,33.99999999999999,17,34.0,0.3333333333333333,248844,0.0,0.0,24,0,0,4,0,0.0,23,27,8,144.0,0.0,8,0,8,1394,0.5968552641570568,39.35971535928547
25,8,0,0,0,10.000000000000002,20,10.0,11.71990453879914,10,9.0,12.240565125926333,121,11.669421487603305,33.99999999999999,13,34.0,0.3333333333333333,241144,0.0,0.0,33,0,0,8,0,0.0,20,28,6,144.0,0.0,8,0,6,2144,0.4655528776347637,39.825268236920245
26,6,0,0,0,10.000000000000002,20,10.0,12.150820083825689,10,25.0,12.24402620958528,74,12.270270270270268,33.999999999999986,15,34.0,0.3333333333333333,237243,0.0,0.0,28,0,0,4,0,0.0,21,25,8,108.0,0.0,6,0,8,1868,0.3011109661310911,40.12637920305133
27,8,0,0,0,10.000000000000002,20,10.0,12.528360237699564,10,23.0,12.322091408986651,85,12.847058823529412,33.99999999999999,18,34.0,0.3333333333333333,232647,0.0,0.0,29,0,0,9,0,0.0,19,28,6,144.0,0.0,8,0,6,2134,0.3442194126546383,40.47059861570597
