index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,27.0,0,,40.0,0,,54.0,0,,0.125,376724,0.0,0.0,5,0,0,13,0,0.0,188,201,58,0.0,0.0,0,0,58,200,0.5979821681976318,0.5979821681976318
1,58,0,0,0,10.0,20,10.0,16.058823529411768,6,9.0,28.3,5,40.0,37.3,5,13.0,54.0,0,,0.2625,376007,0.0,0.0,16,0,0,12,0,0.0,38,50,31,634.0,214.0,40,18,31,519,1.1404246017336843,1.7384067699313164
2,31,0,0,0,10.0,20,10.0,15.76409185803758,2,9.0,29.47,5,40.0,23.19375,35,5.057142857142857,54.0,0,,0.4,373375,0.0,0.0,13,0,0,6,0,0.0,22,28,25,249.0,91.0,18,13,25,595,0.6204284019768238,2.35883517190814
3,25,0,0,0,10.0,20,10.0,15.039503156180006,6,9.833333333333334,29.47,0,,20.86611111111111,18,11.555555555555555,54.0,0,,0.45,372033,0.0,0.0,11,0,0,5,0,0.0,17,22,26,171.0,66.0,12,13,26,467,1.0659563019871712,3.424791473895312
4,26,0,0,0,10.0,20,10.0,16.464116505533315,13,21.30769230769231,30.523000000000003,5,40.0,15.654763779527556,46,6.478260869565218,54.0,20,54.0,0.5,369231,0.0,0.0,23,0,0,5,0,0.0,16,21,19,172.0,86.0,11,15,19,2055,0.5472544804215431,3.9720459543168554
5,19,0,0,0,10.0,20,10.0,16.464116505533315,0,,32.695092592592594,9,43.555555555555564,14.884535415079968,17,9.705882352941176,54.0,20,54.0,0.4125,369211,0.0,0.0,15,0,0,3,0,0.0,13,16,20,88.0,87.0,6,13,20,1837,0.4850188158452511,4.4570647701621064
6,20,0,0,0,10.0,20,10.0,17.883167904284292,9,26.0,35.27126996805112,14,44.214285714285715,13.757729970326409,20,7.1,54.0,20,54.0,0.4875,368695,0.0,0.0,20,0,0,5,0,0.0,16,21,19,157.0,58.0,11,9,19,2275,0.5069733019918203,4.964038072153926
7,19,0,0,0,10.0,20,10.0,17.59767709516669,26,17.0,38.58310247038065,23,46.69565217391305,13.376546624408395,17,10.588235294117649,54.0,20,54.0,0.5,367693,0.0,0.0,17,0,0,5,0,0.0,14,19,20,139.0,56.0,9,10,20,2976,0.4000231679528952,5.364061240106821
8,20,0,0,0,10.0,20,10.0,18.32825421789052,43,19.55813953488372,39.09868612569839,12,42.16666666666666,12.597255523305881,22,8.090909090909092,54.0,11,54.0,0.5,366162,0.0,0.0,20,0,0,4,0,0.0,17,21,20,147.0,56.0,10,10,20,2319,0.4934967141598463,5.857557954266668
9,20,0,0,0,10.000000000000002,20,10.0,18.32825421789052,0,,39.09868612569839,0,,12.043634318634414,8,2.75,53.99999999999999,14,54.0,0.5,366320,0.0,0.0,11,0,0,4,0,0.0,14,18,23,102.0,53.0,8,12,23,978,0.5056306850165129,6.36318863928318
