index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
118,OTHER,T23,0,4,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
148,OTHER,T40,0,5,10,0,-1,-1,SELLER,00T40@0,0,0,-1,-1,0
184,OTHER,T40,0,3,10,0,-1,-1,SELLER,00T40@0,0,0,-1,-1,0
40,OTHER,T23,0,2,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
13,OTHER,T23,0,3,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
78,OTHER,T40,0,3,10,0,-1,-1,SELLER,00T40@0,0,0,-1,-1,0
291,T41,T41,1,5,16,-1,-1,1,02T41@1,05T41@2,17,-1,-1,-1,2
288,T41,T40,1,10,24,-1,-1,1,05T41@2,06T40@3,17,-1,-1,-1,3
286,T41,T40,1,4,43,-1,-1,1,02T41@1,04T40@2,17,-1,-1,-1,2
280,T40,T40,1,2,22,1,-1,1,04T40@2,06T40@3,17,1,-1,-1,3
277,T35,T40,1,1,15,1,-1,1,03T35@1,04T40@2,17,1,-1,-1,2
276,T41,T41,1,1,22,1,-1,1,05T41@2,07T41@3,17,1,-1,-1,3
274,T35,T40,1,1,15,1,-1,1,03T35@1,04T40@2,17,1,-1,-1,2
273,T41,T41,1,1,15,1,-1,1,02T41@1,05T41@2,17,1,-1,-1,2
264,T35,T40,1,1,15,1,-1,1,03T35@1,04T40@2,17,1,-1,-1,2
79,OTHER,T40,1,3,10,0,-1,-1,SELLER,00T40@0,0,1,-1,-1,0
254,T35,T41,1,1,15,1,-1,1,03T35@1,05T41@2,17,1,-1,-1,2
248,T35,T41,1,1,15,1,-1,1,03T35@1,05T41@2,17,1,-1,-1,2
241,T23,T41,1,4,1,1,-1,1,01T23@0,02T41@1,9,1,-1,-1,1
238,T41,T40,1,1,22,1,-1,1,05T41@2,06T40@3,17,1,-1,-1,3
234,T35,T40,1,5,16,1,-1,1,03T35@1,04T40@2,17,1,-1,-1,2
169,OTHER,T40,1,1,10,0,-1,-1,SELLER,00T40@0,0,1,-1,-1,0
137,OTHER,T23,1,6,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
135,OTHER,T40,1,5,10,0,-1,-1,SELLER,00T40@0,0,1,-1,-1,0
256,T23,T41,1,5,3,1,-1,1,01T23@0,02T41@1,12,1,-1,-1,1
32,OTHER,T40,1,4,10,0,-1,-1,SELLER,00T40@0,0,1,-1,-1,0
58,OTHER,T23,1,1,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
72,OTHER,T23,2,4,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
281,T41,T40,2,4,43,1,-1,1,02T41@1,04T40@2,17,2,-1,-1,2
272,T23,T41,2,1,1,1,-1,1,01T23@0,02T41@1,11,2,-1,-1,1
331,T23,T41,2,3,4,2,-1,2,01T23@0,02T41@1,16,2,-1,-1,1
24,OTHER,T23,2,4,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
285,T40,T35,2,10,31,-1,-1,1,00T40@0,03T35@1,17,-1,-1,-1,1
245,T35,T41,2,1,15,1,-1,1,03T35@1,05T41@2,17,2,-1,-1,2
263,T40,T41,2,5,10,1,-1,1,00T40@0,02T41@1,17,2,-1,-1,1
176,OTHER,T40,2,4,10,0,-1,-1,SELLER,00T40@0,0,2,-1,-1,0
104,OTHER,T40,2,4,10,0,-1,-1,SELLER,00T40@0,0,2,-1,-1,0
228,T23,T41,2,1,2,1,-1,1,01T23@0,02T41@1,14,2,-1,-1,1
157,OTHER,T23,2,4,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
240,T40,T40,3,5,65,1,-1,1,04T40@2,06T40@3,17,3,-1,-1,3
55,OTHER,T40,3,5,10,0,-1,-1,SELLER,00T40@0,0,3,-1,-1,0
282,T41,T40,3,4,43,1,-1,1,02T41@1,04T40@2,17,3,-1,-1,2
141,OTHER,T23,3,2,10,0,-1,-1,SELLER,01T23@0,0,3,-1,-1,0
393,T23,T35,3,60,3,-1,-1,3,01T23@0,03T35@1,12,-1,-1,-1,1
275,T41,T40,3,5,65,1,-1,1,05T41@2,06T40@3,17,3,-1,-1,3
66,OTHER,T40,3,3,10,0,-1,-1,SELLER,00T40@0,0,3,-1,-1,0
173,OTHER,T23,3,5,10,0,-1,-1,SELLER,01T23@0,0,3,-1,-1,0
262,T35,T40,3,1,15,1,-1,1,03T35@1,04T40@2,17,3,-1,-1,2
11,OTHER,T23,3,2,10,0,-1,-1,SELLER,01T23@0,0,3,-1,-1,0
227,T23,T41,3,5,1,1,-1,1,01T23@0,02T41@1,8,3,-1,-1,1
388,T40,T35,3,31,10,-1,-1,3,00T40@0,03T35@1,16,-1,-1,-1,1
53,OTHER,T40,3,3,10,0,-1,-1,SELLER,00T40@0,0,3,-1,-1,0
386,T41,T41,3,4,29,-1,-1,3,02T41@1,05T41@2,2,-1,-1,-1,2
389,T23,T35,3,31,8,-1,-1,3,01T23@0,03T35@1,16,-1,-1,-1,1
390,T41,T41,3,4,29,-1,-1,3,02T41@1,05T41@2,2,-1,-1,-1,2
358,T40,T41,3,8,65,3,-1,3,04T40@2,07T41@3,17,3,-1,-1,3
347,T23,T41,3,3,15,3,-1,3,01T23@0,02T41@1,2,3,-1,-1,1
352,T41,T41,3,1,15,3,-1,3,02T41@1,05T41@2,17,3,-1,-1,2
392,T41,T40,3,4,29,-1,-1,3,02T41@1,04T40@2,2,-1,-1,-1,2
323,T41,T40,3,5,65,2,-1,2,05T41@2,06T40@3,17,3,-1,-1,3
440,T40,T35,4,29,20,-1,-1,4,00T40@0,03T35@1,2,-1,-1,-1,1
12,OTHER,T40,4,1,10,0,-1,-1,SELLER,00T40@0,0,4,-1,-1,0
441,T41,T41,4,1,15,-1,-1,4,02T41@1,05T41@2,17,-1,-1,-1,2
442,T41,T40,4,1,15,-1,-1,4,02T41@1,04T40@2,17,-1,-1,-1,2
8,OTHER,T23,4,1,10,0,-1,-1,SELLER,01T23@0,0,4,-1,-1,0
99,T40,OTHER,4,4,54,0,-1,-1,06T40@3,BUYER,0,4,-1,-1,4
88,OTHER,T23,4,4,10,0,-1,-1,SELLER,01T23@0,0,4,-1,-1,0
443,T41,T41,4,1,15,-1,-1,4,02T41@1,05T41@2,17,-1,-1,-1,2
371,T40,T40,4,8,65,3,-1,3,04T40@2,06T40@3,17,4,-1,-1,3
444,T41,T40,4,5,16,-1,-1,4,02T41@1,04T40@2,17,-1,-1,-1,2
446,T23,T35,4,60,7,-1,-1,4,01T23@0,03T35@1,15,-1,-1,-1,1
356,T41,T40,4,5,65,3,-1,3,05T41@2,06T40@3,17,4,-1,-1,3
97,T40,OTHER,4,4,54,0,-1,-1,06T40@3,BUYER,0,4,-1,-1,4
242,T41,T40,4,4,43,1,-1,1,02T41@1,04T40@2,17,4,-1,-1,2
343,T41,T40,4,5,16,3,-1,3,02T41@1,04T40@2,17,4,-1,-1,2
22,T40,OTHER,4,2,54,0,-1,-1,06T40@3,BUYER,0,4,-1,-1,4
73,OTHER,T40,4,5,10,0,-1,-1,SELLER,00T40@0,0,4,-1,-1,0
129,T41,OTHER,4,3,54,0,-1,-1,07T41@3,BUYER,0,4,-1,-1,4
301,T23,T41,4,4,6,2,-1,2,01T23@0,02T41@1,17,4,-1,-1,1
311,T40,T41,4,5,65,2,-1,2,04T40@2,07T41@3,17,4,-1,-1,3
120,OTHER,T40,4,5,10,0,-1,-1,SELLER,00T40@0,0,4,-1,-1,0
394,T41,T40,4,5,16,-1,-1,3,02T41@1,04T40@2,17,-1,-1,-1,2
420,T23,T35,4,6,2,4,-1,4,01T23@0,03T35@1,16,4,-1,-1,1
