index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
391,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
167,OTHER,T20,0,4,10,0,-1,-1,SELLER,00T20@0,0,0,-1,-1,0
550,OTHER,T35,0,1,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
480,OTHER,T35,0,5,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
88,OTHER,T35,0,3,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
300,OTHER,T20,0,5,10,0,-1,-1,SELLER,00T20@0,0,0,-1,-1,0
361,OTHER,T35,1,4,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
379,OTHER,T20,1,3,10,0,-1,-1,SELLER,00T20@0,0,1,-1,-1,0
590,T35,T22,1,3,13,1,-1,1,03T35@1,05T22@2,17,1,-1,-1,2
397,OTHER,T35,1,2,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
627,T22,T22,1,5,40,-1,-1,1,02T22@1,05T22@2,17,-1,-1,-1,2
618,T22,T23,1,1,70,-1,-1,1,05T22@2,06T23@3,13,-1,-1,-1,3
608,T35,T22,1,5,9,1,-1,1,01T35@0,02T22@1,17,1,-1,-1,1
190,OTHER,T35,1,2,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
593,T35,T22,1,4,13,1,-1,1,03T35@1,05T22@2,17,1,-1,-1,2
592,T35,T41,1,6,13,1,-1,1,03T35@1,04T41@2,17,1,-1,-1,2
80,OTHER,T20,1,1,10,0,-1,-1,SELLER,00T20@0,0,1,-1,-1,0
589,T35,T41,1,5,14,1,-1,1,03T35@1,04T41@2,17,1,-1,-1,2
62,OTHER,T35,1,3,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
569,T35,T22,1,3,13,1,-1,1,03T35@1,05T22@2,17,1,-1,-1,2
157,OTHER,T20,1,3,10,0,-1,-1,SELLER,00T20@0,0,1,-1,-1,0
181,OTHER,T35,1,2,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
571,T35,T41,1,7,13,1,-1,1,03T35@1,04T41@2,17,1,-1,-1,2
570,T35,T22,1,4,13,1,-1,1,03T35@1,05T22@2,17,1,-1,-1,2
624,T41,T23,2,10,76,-1,-1,1,04T41@2,06T23@3,8,-1,-1,-1,3
408,OTHER,T20,2,4,10,0,-1,-1,SELLER,00T20@0,0,2,-1,-1,0
641,T35,T22,2,4,13,2,-1,2,03T35@1,05T22@2,17,2,-1,-1,2
52,OTHER,T20,2,3,10,0,-1,-1,SELLER,00T20@0,0,2,-1,-1,0
657,T22,T35,2,4,19,2,-1,2,05T22@2,07T35@3,17,2,-1,-1,3
19,OTHER,T35,2,1,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
114,OTHER,T20,2,1,10,0,-1,-1,SELLER,00T20@0,0,2,-1,-1,0
672,T41,T23,2,9,75,-1,-1,2,04T41@2,06T23@3,10,-1,-1,-1,3
676,T22,T35,2,4,19,-1,-1,2,05T22@2,07T35@3,17,-1,-1,-1,3
303,OTHER,T35,2,4,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
295,OTHER,T35,2,5,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
663,T35,T22,2,5,10,2,-1,2,01T35@0,02T22@1,17,2,-1,-1,1
668,T22,T22,2,5,40,-1,-1,2,02T22@1,05T22@2,17,-1,-1,-1,2
667,T41,T35,2,10,56,-1,-1,2,04T41@2,07T35@3,17,-1,-1,-1,3
577,T35,T22,2,5,10,1,-1,1,01T35@0,02T22@1,17,2,-1,-1,1
594,T35,T22,2,5,9,1,-1,1,01T35@0,02T22@1,17,2,-1,-1,1
615,T41,T23,2,10,67,-1,-1,1,04T41@2,06T23@3,15,-1,-1,-1,3
583,T35,T22,2,5,10,1,-1,1,01T35@0,02T22@1,17,2,-1,-1,1
469,OTHER,T35,2,2,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
166,OTHER,T20,3,2,10,0,-1,-1,SELLER,00T20@0,0,3,-1,-1,0
187,OTHER,T35,3,1,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
666,T22,T41,3,5,40,-1,-1,2,02T22@1,04T41@2,17,-1,-1,-1,2
