index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
728,OTHER,T23,0,1,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
377,OTHER,T23,0,2,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
686,OTHER,T35,0,1,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
177,OTHER,T23,0,1,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
742,OTHER,T35,0,1,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
569,OTHER,T23,0,3,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
558,OTHER,T23,0,1,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
408,OTHER,T35,0,3,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
439,OTHER,T35,0,2,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
610,OTHER,T35,0,2,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
290,OTHER,T23,0,3,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
592,OTHER,T35,1,3,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
862,T23,T40,1,5,2,1,-1,1,01T23@0,02T40@1,12,1,-1,-1,1
903,T35,T40,1,1,11,1,-1,1,00T35@0,02T40@1,17,1,-1,-1,1
163,OTHER,T23,1,1,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
904,T22,T35,1,4,43,-1,-1,1,03T22@1,05T35@2,17,-1,-1,-1,2
188,OTHER,T35,1,1,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
341,OTHER,T23,1,1,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
853,T35,T22,1,1,11,1,-1,1,00T35@0,03T22@1,17,1,-1,-1,1
914,T40,T41,1,4,43,-1,-1,1,02T40@1,04T41@2,17,-1,-1,-1,2
319,OTHER,T23,1,2,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
45,OTHER,T23,1,3,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
578,OTHER,T35,1,1,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
164,OTHER,T23,1,1,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
900,T23,T22,1,5,1,1,-1,1,01T23@0,03T22@1,8,1,-1,-1,1
358,OTHER,T35,1,2,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
616,OTHER,T23,1,1,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
440,OTHER,T23,1,2,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
880,T35,T40,1,1,11,1,-1,1,00T35@0,02T40@1,17,1,-1,-1,1
256,OTHER,T35,1,1,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
76,OTHER,T35,1,1,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
894,T23,T40,1,1,1,1,-1,1,01T23@0,02T40@1,9,1,-1,-1,1
872,T35,T40,1,1,11,1,-1,1,00T35@0,02T40@1,17,1,-1,-1,1
898,T35,T22,1,1,11,1,-1,1,00T35@0,03T22@1,17,1,-1,-1,1
936,T23,T40,2,3,5,2,-1,2,01T23@0,02T40@1,14,2,-1,-1,1
920,T35,T22,2,1,11,2,-1,2,00T35@0,03T22@1,17,2,-1,-1,1
395,OTHER,T23,2,3,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
717,OTHER,T23,2,1,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
591,OTHER,T23,2,2,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
907,T22,T41,2,4,43,-1,-1,1,03T22@1,04T41@2,17,-1,-1,-1,2
8,OTHER,T23,2,3,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
860,T23,T22,2,3,4,1,-1,1,01T23@0,03T22@1,15,2,-1,-1,1
97,OTHER,T35,2,2,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
893,T23,T22,2,2,1,1,-1,1,01T23@0,03T22@1,8,2,-1,-1,1
383,OTHER,T23,2,1,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
932,T35,T40,2,1,11,2,-1,2,00T35@0,02T40@1,17,2,-1,-1,1
874,T23,T40,2,5,2,1,-1,1,01T23@0,02T40@1,14,2,-1,-1,1
229,OTHER,T35,2,2,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
143,OTHER,T35,2,1,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
237,OTHER,T23,2,2,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
314,OTHER,T23,2,2,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
501,OTHER,T35,2,1,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
948,T35,T40,2,1,11,2,-1,2,00T35@0,02T40@1,17,2,-1,-1,1
244,T35,OTHER,3,2,39,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
635,T41,OTHER,3,1,39,0,-1,-1,04T41@2,BUYER,0,3,-1,-1,3
676,OTHER,T35,3,1,10,0,-1,-1,SELLER,00T35@0,0,3,-1,-1,0
749,T41,OTHER,3,3,39,0,-1,-1,04T41@2,BUYER,0,3,-1,-1,3
933,T23,T40,3,4,5,2,-1,2,01T23@0,02T40@1,14,3,-1,-1,1
882,T35,T22,3,1,11,1,-1,1,00T35@0,03T22@1,17,3,-1,-1,1
692,OTHER,T35,3,2,10,0,-1,-1,SELLER,00T35@0,0,3,-1,-1,0
289,T41,OTHER,3,2,39,0,-1,-1,04T41@2,BUYER,0,3,-1,-1,3
