index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
82,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
363,OTHER,T37,0,2,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
365,OTHER,T37,0,1,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
143,OTHER,T35,0,3,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
151,OTHER,T37,0,2,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
73,OTHER,T37,0,1,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
158,OTHER,T37,0,2,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
163,OTHER,T37,0,5,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
162,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
509,T37,T18,1,3,20,-1,-1,1,00T37@0,03T18@1,9,-1,-1,-1,1
129,OTHER,T37,1,2,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
500,T35,T18,1,2,20,1,-1,1,01T35@0,03T18@1,10,1,-1,-1,1
189,OTHER,T37,1,2,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
515,T35,T37,1,1,27,-1,-1,1,07T35@3,08T37@4,17,-1,-1,-1,4
516,T35,T37,1,4,11,-1,-1,1,01T35@0,02T37@1,17,-1,-1,-1,1
364,OTHER,T35,1,2,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
160,OTHER,T37,1,2,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
467,T35,T22,1,1,28,1,-1,1,07T35@3,09T22@4,17,1,-1,-1,4
514,T35,T18,1,2,20,-1,-1,1,01T35@0,03T18@1,10,-1,-1,-1,1
218,OTHER,T35,1,2,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
124,OTHER,T37,1,4,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
529,T37,T18,1,3,20,-1,-1,1,00T37@0,03T18@1,9,-1,-1,-1,1
527,T35,T22,1,11,26,-1,-1,1,07T35@3,09T22@4,17,-1,-1,-1,4
309,OTHER,T35,1,2,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
321,OTHER,T37,1,2,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
