,balance,assets,bankrupt,agent_id,step
0,24886.0,230.0,False,00T37@0,0.0
1,26048.0,278.457883796892,False,00T37@0,5.0
2,27117.0,375.2651392639296,False,00T37@0,10.0
3,28179.0,543.7534995276084,False,00T37@0,15.0
4,29390.0,427.5884772279901,False,00T37@0,20.0
5,29869.0,1111.0813352909186,False,00T37@0,25.0
6,31257.0,756.733746650188,False,00T37@0,30.0
7,31516.0,1580.9163022927655,False,00T37@0,35.0
8,32553.0,1592.437258949033,False,00T37@0,40.0
9,33894.0,1253.6294632798124,False,00T37@0,45.0
10,34543.0,1614.3042162574138,False,00T37@0,50.0
11,35771.0,1488.5999504894605,False,00T37@0,55.0
12,37031.0,1152.0268090845173,False,00T37@0,60.0
13,37918.0,1324.654463004084,False,00T37@0,65.0
14,38263.0,1615.0241386056098,False,00T37@0,70.0
15,24926.0,168.0,False,01T22@0,0.0
16,24506.0,1268.0604770860139,False,01T22@0,5.0
17,26652.0,305.26513926392965,False,01T22@0,10.0
18,27320.0,667.1918744095103,False,01T22@0,15.0
19,28770.0,276.82962950519106,False,01T22@0,20.0
20,29514.0,674.8977789641931,False,01T22@0,25.0
21,30455.0,809.1640872547505,False,01T22@0,30.0
22,32045.0,313.2426744114708,False,01T22@0,35.0
23,32816.0,278.6803484213932,False,01T22@0,40.0
24,33953.0,310.8482139612298,False,01T22@0,45.0
25,33633.0,1433.993255034427,False,01T22@0,50.0
26,35418.0,335.2461398816427,False,01T22@0,55.0
27,35679.0,1072.2970502957862,False,01T22@0,60.0
28,37351.0,465.8617852016336,False,01T22@0,65.0
29,37866.0,548.4987640547354,False,01T22@0,70.0
30,34521.0,0.0,False,02T22@1,0.0
31,34053.0,580.2253766890237,False,02T22@1,5.0
32,32045.0,2143.467901284842,False,02T22@1,10.0
33,32362.0,2501.115164237872,False,02T22@1,15.0
34,32305.0,2845.1580382734332,False,02T22@1,20.0
35,29721.0,3232.1755963146397,False,02T22@1,25.0
36,28965.0,3544.616717232367,False,02T22@1,30.0
37,29203.0,4181.889066585802,False,02T22@1,35.0
38,28234.0,5868.202194927658,False,02T22@1,40.0
39,29888.0,5011.745690680373,False,02T22@1,45.0
40,30584.0,5222.653480249372,False,02T22@1,50.0
41,28951.0,7407.37621620147,False,02T22@1,55.0
42,29059.0,7549.118752564138,False,02T22@1,60.0
43,30782.0,6685.609194562439,False,02T22@1,65.0
44,30129.0,8039.445687646319,False,02T22@1,70.0
45,34521.0,0.0,False,03T22@1,0.0
46,33988.0,799.5008184799298,False,03T22@1,5.0
47,32747.0,1144.1964641529314,False,03T22@1,10.0
48,28783.0,3285.097652025885,False,03T22@1,15.0
49,28150.0,4106.270794908192,False,03T22@1,20.0
50,28431.0,3950.8080421234613,False,03T22@1,25.0
51,28402.0,4092.1975626948906,False,03T22@1,30.0
52,23187.0,6833.929887443404,False,03T22@1,35.0
53,23072.0,7302.000649688944,False,03T22@1,40.0
54,20904.0,10045.57740424892,False,03T22@1,45.0
55,21374.0,10102.443479316733,False,03T22@1,50.0
56,21915.0,10268.306678372508,False,03T22@1,55.0
57,21638.0,11296.159439783063,False,03T22@1,60.0
58,20422.0,13289.427403503436,False,03T22@1,65.0
59,20038.0,14341.299211396212,False,03T22@1,70.0
60,49802.0,0.0,False,04T22@2,0.0
61,49369.0,824.4,False,04T22@2,5.0
62,48974.0,4431.34809590804,False,04T22@2,10.0
63,48761.0,7570.595934789742,False,04T22@2,15.0
64,52640.0,7622.8796854914945,False,04T22@2,20.0
65,51170.0,10635.838244561979,False,04T22@2,25.0
66,50715.0,11400.189306832352,False,04T22@2,30.0
67,53191.0,12446.610317267883,False,04T22@2,35.0
68,54956.0,12455.594052280532,False,04T22@2,40.0
69,53650.0,16176.048668214076,False,04T22@2,45.0
70,49772.0,18852.060901917204,False,04T22@2,50.0
71,46648.0,23310.48672588456,False,04T22@2,55.0
72,47777.0,22995.47137824037,False,04T22@2,60.0
73,44940.0,25758.117368357583,False,04T22@2,65.0
74,44752.0,27043.118956145,False,04T22@2,70.0
75,49802.0,0.0,False,05T35@2,0.0
76,48911.0,767.4640462681714,False,05T35@2,5.0
77,42543.0,6181.61512626592,False,05T35@2,10.0
78,33045.0,15476.749143286635,False,05T35@2,15.0
79,21603.0,26802.671745296168,False,05T35@2,20.0
80,10379.0,38051.37445759155,False,05T35@2,25.0
81,2109.0,44882.30900745416,False,05T35@2,30.0
82,-51873.72222222222,51031.49039790699,True,05T35@2,35.0
83,-51873.72222222222,50489.6090201619,True,05T35@2,40.0
84,-51873.72222222222,50508.02717042368,True,05T35@2,45.0
85,-51873.72222222222,50086.420067084364,True,05T35@2,50.0
86,-51873.72222222222,49940.52779851674,True,05T35@2,55.0
87,-51873.72222222222,49236.339794426356,True,05T35@2,60.0
88,-51873.72222222222,49920.591256814085,True,05T35@2,65.0
89,-51873.72222222222,49987.97568732823,True,05T35@2,70.0
90,68417.0,0.0,False,06T35@3,0.0
91,65822.0,458.0,False,06T35@3,5.0
92,61780.0,3110.5859511973317,False,06T35@3,10.0
93,52738.0,10570.404215750308,False,06T35@3,15.0
94,50416.0,13426.125094316474,False,06T35@3,20.0
95,43106.0,17495.598618613407,False,06T35@3,25.0
96,36031.0,23847.441705992627,False,06T35@3,30.0
97,32675.0,25637.584699931747,False,06T35@3,35.0
98,23769.0,32679.91522945811,False,06T35@3,40.0
99,19441.0,35862.31223886838,False,06T35@3,45.0
100,10066.0,43835.118821906486,False,06T35@3,50.0
101,3319.0,47371.798614362306,False,06T35@3,55.0
102,-3839.0,50569.53933866692,False,06T35@3,60.0
103,-68818.0,56481.613613837195,True,06T35@3,65.0
104,-68818.0,56481.613613837195,True,06T35@3,70.0
105,68417.0,0.0,False,07T23@3,0.0
106,63489.0,0.0,False,07T23@3,5.0
107,58011.0,2412.2911458265016,False,07T23@3,10.0
108,49691.0,6369.346130003391,False,07T23@3,15.0
109,36961.0,15841.406857315205,False,07T23@3,20.0
110,31725.0,18412.706610718138,False,07T23@3,25.0
111,21599.0,26324.178975161,False,07T23@3,30.0
112,9932.0,35332.46967049417,False,07T23@3,35.0
113,6945.0,34626.803796319444,False,07T23@3,40.0
114,934.0,38717.37010642877,False,07T23@3,45.0
115,-46966.83333333334,44378.810218147184,True,07T23@3,50.0
116,-46966.83333333334,44002.53839996953,True,07T23@3,55.0
