index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
134,OTHER,T41,0,3,10,0,-1,-1,SELLER,01T41@0,0,0,-1,-1,0
245,OTHER,T41,0,3,10,0,-1,-1,SELLER,01T41@0,0,0,-1,-1,0
476,OTHER,T40,0,2,10,0,-1,-1,SELLER,00T40@0,0,0,-1,-1,0
404,OTHER,T41,0,1,10,0,-1,-1,SELLER,01T41@0,0,0,-1,-1,0
240,OTHER,T40,0,1,10,0,-1,-1,SELLER,00T40@0,0,0,-1,-1,0
224,OTHER,T40,0,1,10,0,-1,-1,SELLER,00T40@0,0,0,-1,-1,0
158,OTHER,T41,0,1,10,0,-1,-1,SELLER,01T41@0,0,0,-1,-1,0
32,OTHER,T40,0,2,10,0,-1,-1,SELLER,00T40@0,0,0,-1,-1,0
188,OTHER,T40,0,3,10,0,-1,-1,SELLER,00T40@0,0,0,-1,-1,0
175,OTHER,T41,0,3,10,0,-1,-1,SELLER,01T41@0,0,0,-1,-1,0
667,T22,T23,1,1,39,-1,-1,1,03T22@1,05T23@2,13,-1,-1,-1,2
154,OTHER,T41,1,2,10,0,-1,-1,SELLER,01T41@0,0,1,-1,-1,0
385,OTHER,T40,1,2,10,0,-1,-1,SELLER,00T40@0,0,1,-1,-1,0
633,T23,T23,1,5,7,1,-1,1,02T23@1,05T23@2,10,1,-1,-1,2
607,T23,T35,1,1,2,1,-1,1,02T23@1,04T35@2,11,1,-1,-1,2
364,OTHER,T40,1,1,10,0,-1,-1,SELLER,00T40@0,0,1,-1,-1,0
355,OTHER,T40,1,1,10,0,-1,-1,SELLER,00T40@0,0,1,-1,-1,0
179,OTHER,T40,1,4,10,0,-1,-1,SELLER,00T40@0,0,1,-1,-1,0
437,OTHER,T40,1,1,10,0,-1,-1,SELLER,00T40@0,0,1,-1,-1,0
417,OTHER,T41,1,2,10,0,-1,-1,SELLER,01T41@0,0,1,-1,-1,0
622,T23,T35,1,8,1,1,-1,1,02T23@1,04T35@2,11,1,-1,-1,2
51,OTHER,T40,1,1,10,0,-1,-1,SELLER,00T40@0,0,1,-1,-1,0
372,OTHER,T41,1,2,10,0,-1,-1,SELLER,01T41@0,0,1,-1,-1,0
675,T41,T22,1,2,8,-1,-1,1,01T41@0,03T22@1,17,-1,-1,-1,1
589,T23,T23,1,2,9,1,-1,1,02T23@1,05T23@2,16,1,-1,-1,2
565,T23,T35,1,5,7,1,-1,1,02T23@1,04T35@2,15,1,-1,-1,2
647,T23,T23,1,3,7,1,-1,1,02T23@1,05T23@2,13,1,-1,-1,2
652,T23,T23,1,1,5,1,-1,1,02T23@1,05T23@2,9,1,-1,-1,2
638,T23,T23,1,3,2,1,-1,1,02T23@1,05T23@2,15,1,-1,-1,2
18,OTHER,T40,1,4,10,0,-1,-1,SELLER,00T40@0,0,1,-1,-1,0
654,T23,T23,1,4,16,1,-1,1,02T23@1,05T23@2,13,1,-1,-1,2
275,OTHER,T41,2,1,10,0,-1,-1,SELLER,01T41@0,0,2,-1,-1,0
724,T41,T23,2,10,15,-1,-1,2,01T41@0,02T23@1,8,-1,-1,-1,1
620,T23,T35,2,2,1,1,-1,1,02T23@1,04T35@2,13,2,-1,-1,2
723,T41,T23,2,11,15,-1,-1,2,01T41@0,02T23@1,8,-1,-1,-1,1
74,OTHER,T41,2,1,10,0,-1,-1,SELLER,01T41@0,0,2,-1,-1,0
81,OTHER,T41,2,4,10,0,-1,-1,SELLER,01T41@0,0,2,-1,-1,0
676,T40,T23,2,17,30,-1,-1,1,00T40@0,02T23@1,10,-1,-1,-1,1
672,T40,T22,2,19,22,-1,-1,1,00T40@0,03T22@1,17,-1,-1,-1,1
637,T23,T35,2,3,6,1,-1,1,02T23@1,04T35@2,16,2,-1,-1,2
721,T22,T23,2,2,21,-1,-1,2,03T22@1,05T23@2,10,-1,-1,-1,2
222,OTHER,T41,2,2,10,0,-1,-1,SELLER,01T41@0,0,2,-1,-1,0
218,OTHER,T40,2,4,10,0,-1,-1,SELLER,00T40@0,0,2,-1,-1,0
583,T23,T35,2,9,3,1,-1,1,02T23@1,04T35@2,12,2,-1,-1,2
717,T41,T23,2,5,11,-1,-1,2,01T41@0,02T23@1,16,-1,-1,-1,1
596,T23,T35,2,11,4,1,-1,1,02T23@1,04T35@2,13,2,-1,-1,2
711,T23,T23,2,6,6,2,-1,2,02T23@1,05T23@2,13,2,-1,-1,2
611,T23,T35,2,4,1,1,-1,1,02T23@1,04T35@2,9,2,-1,-1,2
729,T40,T22,2,29,15,-1,-1,2,00T40@0,03T22@1,2,-1,-1,-1,1
90,OTHER,T40,2,1,10,0,-1,-1,SELLER,00T40@0,0,2,-1,-1,0
271,OTHER,T41,2,1,10,0,-1,-1,SELLER,01T41@0,0,2,-1,-1,0
29,OTHER,T40,2,3,10,0,-1,-1,SELLER,00T40@0,0,2,-1,-1,0
660,T23,T35,2,7,1,1,-1,1,02T23@1,04T35@2,7,2,-1,-1,2
266,OTHER,T40,2,3,10,0,-1,-1,SELLER,00T40@0,0,2,-1,-1,0
641,T23,T23,3,3,15,1,-1,1,02T23@1,05T23@2,11,3,-1,-1,2
616,T23,T23,3,3,13,1,-1,1,02T23@1,05T23@2,12,3,-1,-1,2
274,T23,OTHER,3,1,30,0,-1,-1,05T23@2,BUYER,0,3,-1,-1,3
207,OTHER,T40,3,3,10,0,-1,-1,SELLER,00T40@0,0,3,-1,-1,0
