index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
132,OTHER,T35,0,3,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
59,OTHER,T15,0,4,10,0,-1,-1,SELLER,00T15@0,0,0,-1,-1,0
222,OTHER,T15,0,1,10,0,-1,-1,SELLER,00T15@0,0,0,-1,-1,0
66,OTHER,T15,0,2,10,0,-1,-1,SELLER,00T15@0,0,0,-1,-1,0
261,OTHER,T35,0,1,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
29,OTHER,T15,0,4,10,0,-1,-1,SELLER,00T15@0,0,0,-1,-1,0
322,OTHER,T35,0,5,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
408,T35,T35,1,6,16,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
411,T35,T35,1,6,16,1,-1,1,02T35@1,05T35@2,17,1,-1,-1,2
257,OTHER,T35,1,4,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
389,T35,T35,1,9,16,1,-1,1,02T35@1,05T35@2,17,1,-1,-1,2
288,OTHER,T15,1,4,10,0,-1,-1,SELLER,00T15@0,0,1,-1,-1,0
443,T35,T35,1,10,16,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
206,OTHER,T15,1,1,10,0,-1,-1,SELLER,00T15@0,0,1,-1,-1,0
18,OTHER,T35,1,5,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
386,T35,T35,1,10,16,1,-1,1,02T35@1,05T35@2,17,1,-1,-1,2
440,T35,T35,1,6,16,1,-1,1,02T35@1,05T35@2,17,1,-1,-1,2
393,T15,T35,1,9,25,1,-1,1,00T15@0,03T35@1,17,1,-1,-1,1
446,T15,T35,1,9,25,-1,-1,1,00T15@0,02T35@1,17,-1,-1,-1,1
371,T35,T35,1,8,16,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
161,OTHER,T35,1,1,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
382,T35,T26,1,7,16,1,-1,1,03T35@1,04T26@2,17,1,-1,-1,2
192,OTHER,T35,1,1,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
449,T35,T35,1,11,14,-1,-1,1,02T35@1,05T35@2,17,-1,-1,-1,2
266,OTHER,T15,1,4,10,0,-1,-1,SELLER,00T15@0,0,1,-1,-1,0
362,T35,T35,1,8,16,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
439,T35,T35,1,8,16,1,-1,1,02T35@1,05T35@2,17,1,-1,-1,2
396,T35,T35,1,9,16,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
122,OTHER,T15,2,2,10,0,-1,-1,SELLER,00T15@0,0,2,-1,-1,0
464,T35,T26,2,1,15,2,-1,2,03T35@1,04T26@2,17,2,-1,-1,2
428,T35,T26,2,1,15,1,-1,1,02T35@1,04T26@2,17,2,-1,-1,2
471,T35,T35,2,3,9,2,-1,2,01T35@0,02T35@1,17,2,-1,-1,1
501,T35,T35,2,23,10,-1,-1,2,01T35@0,02T35@1,17,-1,-1,-1,1
498,T35,T35,2,38,9,-1,-1,2,01T35@0,03T35@1,16,-1,-1,-1,1
323,OTHER,T35,2,3,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
493,T35,T35,2,3,9,2,-1,2,01T35@0,03T35@1,17,2,-1,-1,1
475,T35,T35,2,2,9,2,-1,2,01T35@0,03T35@1,17,2,-1,-1,1
369,T35,T35,2,9,14,1,-1,1,02T35@1,05T35@2,17,2,-1,-1,2
399,T35,T26,2,7,16,1,-1,1,03T35@1,04T26@2,17,2,-1,-1,2
497,T35,T35,2,3,9,2,-1,2,01T35@0,03T35@1,17,2,-1,-1,1
422,T35,T35,2,11,14,1,-1,1,03T35@1,05T35@2,17,2,-1,-1,2
442,T35,T26,2,1,15,1,-1,1,03T35@1,04T26@2,17,2,-1,-1,2
441,T35,T35,2,8,14,1,-1,1,02T35@1,05T35@2,17,2,-1,-1,2
15,OTHER,T15,2,3,10,0,-1,-1,SELLER,00T15@0,0,2,-1,-1,0
436,T35,T35,2,9,14,1,-1,1,03T35@1,05T35@2,17,2,-1,-1,2
204,OTHER,T35,2,5,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
409,T35,T35,2,11,14,1,-1,1,02T35@1,05T35@2,17,2,-1,-1,2
5,OTHER,T35,2,3,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
447,T15,T35,2,11,25,-1,-1,1,00T15@0,02T35@1,17,-1,-1,-1,1
169,OTHER,T15,2,4,10,0,-1,-1,SELLER,00T15@0,0,2,-1,-1,0
205,OTHER,T15,3,2,10,0,-1,-1,SELLER,00T15@0,0,3,-1,-1,0
528,T35,T35,3,4,9,3,-1,3,01T35@0,03T35@1,17,3,-1,-1,1
72,T35,OTHER,3,2,42,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
165,OTHER,T35,3,3,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
499,T15,T35,3,25,8,-1,-1,2,00T15@0,02T35@1,17,-1,-1,-1,1
395,T35,T35,3,10,14,1,-1,1,02T35@1,05T35@2,17,3,-1,-1,2
94,OTHER,T15,3,4,10,0,-1,-1,SELLER,00T15@0,0,3,-1,-1,0
272,OTHER,T15,3,5,10,0,-1,-1,SELLER,00T15@0,0,3,-1,-1,0
233,T35,OTHER,3,3,42,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
182,T35,OTHER,3,3,42,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
73,T26,OTHER,3,1,42,0,-1,-1,04T26@2,BUYER,0,3,-1,-1,3
500,T35,T35,3,25,8,-1,-1,2,01T35@0,02T35@1,17,-1,-1,-1,1
514,T35,T26,3,7,16,3,-1,3,02T35@1,04T26@2,17,3,-1,-1,2
377,T35,T35,3,11,16,1,-1,1,03T35@1,05T35@2,17,3,-1,-1,2
42,T26,OTHER,3,5,42,0,-1,-1,04T26@2,BUYER,0,3,-1,-1,3
129,OTHER,T15,3,1,10,0,-1,-1,SELLER,00T15@0,0,3,-1,-1,0
90,OTHER,T15,3,3,10,0,-1,-1,SELLER,00T15@0,0,3,-1,-1,0
457,T35,T26,3,1,15,2,-1,2,02T35@1,04T26@2,17,3,-1,-1,2
365,T35,T35,3,10,14,1,-1,1,03T35@1,05T35@2,17,3,-1,-1,2
151,OTHER,T15,3,2,10,0,-1,-1,SELLER,00T15@0,0,3,-1,-1,0
461,T35,T26,3,7,16,2,-1,2,02T35@1,04T26@2,17,3,-1,-1,2
505,T35,T26,3,1,15,3,-1,3,02T35@1,04T26@2,17,3,-1,-1,2
125,T26,OTHER,3,3,42,0,-1,-1,04T26@2,BUYER,0,3,-1,-1,3
375,T35,T26,3,7,14,1,-1,1,03T35@1,04T26@2,17,3,-1,-1,2
374,T35,T35,3,11,14,1,-1,1,02T35@1,05T35@2,17,3,-1,-1,2
148,T35,OTHER,3,3,42,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
462,T35,T35,4,10,16,2,-1,2,03T35@1,05T35@2,17,4,-1,-1,2
415,T35,T35,4,9,14,1,-1,1,03T35@1,05T35@2,17,4,-1,-1,2
216,T26,OTHER,4,1,42,0,-1,-1,04T26@2,BUYER,0,4,-1,-1,3
316,T35,OTHER,4,2,42,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
308,OTHER,T35,4,2,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
318,T35,OTHER,4,5,42,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
225,T35,OTHER,4,2,42,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
170,OTHER,T35,4,4,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
221,OTHER,T35,4,4,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
390,T35,T35,4,12,14,1,-1,1,03T35@1,05T35@2,17,4,-1,-1,2
419,T35,T35,4,8,16,1,-1,1,02T35@1,05T35@2,17,4,-1,-1,2
317,OTHER,T15,4,4,10,0,-1,-1,SELLER,00T15@0,0,4,-1,-1,0
444,T35,T35,4,8,16,1,-1,1,02T35@1,05T35@2,17,4,-1,-1,2
481,T15,T35,4,22,25,2,-1,2,00T15@0,03T35@1,17,4,-1,-1,1
361,T35,T35,4,8,16,1,-1,1,03T35@1,05T35@2,17,4,-1,-1,2
557,T35,T26,4,1,15,4,-1,4,03T35@1,04T26@2,17,4,-1,-1,2
551,T35,T26,4,1,15,4,-1,4,03T35@1,04T26@2,17,4,-1,-1,2
384,T15,T35,4,22,25,1,-1,1,00T15@0,03T35@1,17,4,-1,-1,1
511,T35,T35,4,11,14,3,-1,3,02T35@1,05T35@2,17,4,-1,-1,2
259,OTHER,T15,4,4,10,0,-1,-1,SELLER,00T15@0,0,4,-1,-1,0
564,T15,T35,4,9,25,-1,-1,4,00T15@0,02T35@1,17,-1,-1,-1,1
380,T35,T35,4,9,16,1,-1,1,02T35@1,05T35@2,17,4,-1,-1,2
526,T35,T26,4,1,15,3,-1,3,03T35@1,04T26@2,17,4,-1,-1,2
548,T35,T35,4,4,9,4,-1,4,01T35@0,02T35@1,17,4,-1,-1,1
234,OTHER,T15,4,2,10,0,-1,-1,SELLER,00T15@0,0,4,-1,-1,0
385,T35,T35,4,11,16,1,-1,1,03T35@1,05T35@2,17,4,-1,-1,2
49,T26,OTHER,4,2,42,0,-1,-1,04T26@2,BUYER,0,4,-1,-1,3
543,T35,T26,4,1,15,4,-1,4,02T35@1,04T26@2,17,4,-1,-1,2
494,T35,T35,4,10,14,2,-1,2,02T35@1,05T35@2,17,4,-1,-1,2
523,T35,T35,4,11,14,3,-1,3,03T35@1,05T35@2,17,4,-1,-1,2
