index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,21.0,0,,35.0,0,,47.0,0,,0.0125,318920,0.0,0.0,8,0,0,70,0,0.0,337,407,2,0.0,0.0,0,0,2,200,0.12314114160835744,0.12314114160835744
1,2,0,0,0,10.0,20,10.0,17.0,0,,21.0,0,,35.0,0,,47.0,0,,0.0125,318720,0.0,0.0,8,0,0,4,0,0.0,11,15,2,0.0,6.0,0,2,2,200,0.08333690464496613,0.20647804625332355
2,2,0,0,0,10.0,20,10.0,17.0,0,,21.0,0,,35.0,0,,47.0,0,,0.05,318520,0.0,0.0,8,0,0,7,0,0.0,8,15,2,0.0,6.0,0,2,2,200,0.08950502797961235,0.2959830742329359
3,2,0,0,0,10.0,20,10.0,17.0,0,,21.0,0,,35.0,0,,47.0,0,,0.0375,318320,0.0,0.0,8,0,0,7,0,0.0,8,15,2,0.0,6.0,0,2,2,200,0.0756886824965477,0.3716717567294836
4,2,0,0,0,10.0,20,10.0,17.0,0,,21.0,0,,35.0,0,,47.0,20,47.0,0.0375,317779,0.0,0.0,15,0,0,8,0,0.0,7,15,2,0.0,6.0,0,2,2,1140,0.08542287163436413,0.4570946283638477
5,2,0,0,0,10.0,20,10.0,17.0,0,,21.0,0,,35.0,0,,47.0,20,47.0,0.05,317239,0.0,0.0,16,0,0,1,0,0.0,14,15,2,0.0,6.0,0,2,2,1140,0.09127493761479856,0.5483695659786463
6,2,0,0,0,10.0,20,10.0,17.0,0,,21.0,0,,35.0,0,,47.0,17,47.0,0.0125,316773,0.0,0.0,15,0,0,1,0,0.0,15,16,2,0.0,6.0,0,2,2,999,0.0959213636815548,0.6442909296602011
7,2,0,0,0,10.0,20,10.0,17.0,0,,21.0,0,,35.0,0,,47.0,12,47.0,0.05,316412,0.0,0.0,13,0,0,2,0,0.0,13,15,2,0.0,6.0,0,2,2,764,0.10404639318585396,0.748337322846055
8,2,0,0,0,10.0,20,10.0,17.0,0,,21.0,0,,35.0,0,,47.0,9,47.0,0.0625,316107,0.0,0.0,12,0,0,4,0,0.0,12,16,2,0.0,6.0,0,2,2,623,0.10540349967777728,0.8537408225238323
9,2,0,0,0,10.000000000000002,20,10.0,17.0,0,,21.0,0,,35.0,0,,47.0,10,47.0,0.05,315794,0.0,0.0,12,0,0,1,0,0.0,15,16,2,0.0,6.0,0,2,2,670,0.17414513044059274,1.027885952964425
10,2,0,0,0,10.000000000000002,20,10.0,17.0,0,,21.0,0,,35.0,0,,47.0,11,47.0,0.0375,315467,0.0,0.0,11,0,0,3,0,0.0,12,15,2,0.0,6.0,0,2,2,717,0.046417377889156335,1.0743033308535814
11,2,0,0,0,10.000000000000002,20,10.0,17.0,0,,21.0,0,,35.0,0,,47.0,9,47.0,0.025,315167,0.0,0.0,12,0,0,4,0,0.0,12,16,2,3.0,3.0,1,1,2,623,0.11366600543260574,1.1879693362861872
12,2,0,0,0,10.000000000000002,20,10.0,17.0,0,,21.0,0,,35.0,0,,47.00000000000001,11,47.0,0.025,314832,0.0,0.0,11,0,0,3,0,0.0,12,15,2,0.0,6.0,0,2,2,717,0.11857575550675392,1.3065450917929409
13,2,0,0,0,10.000000000000002,20,10.0,17.0,0,,21.0,0,,35.0,0,,47.00000000000002,8,47.0,0.0375,314554,0.0,0.0,10,0,0,2,0,0.0,13,15,2,0.0,6.0,0,2,2,576,0.1180675532668829,1.424612645059824
14,2,0,0,0,10.000000000000002,20,10.0,17.0,0,,21.0,0,,35.0,0,,47.00000000000002,11,47.0,0.05,314208,0.0,0.0,14,0,0,4,0,0.0,11,15,2,0.0,6.0,0,2,2,717,0.12676155753433704,1.551374202594161
15,2,0,0,0,10.000000000000002,20,10.0,17.0,0,,21.0,0,,35.0,0,,47.00000000000001,9,47.0,0.0375,313902,0.0,0.0,12,0,0,3,0,0.0,13,16,2,0.0,6.0,0,2,2,623,0.13043574430048466,1.6818099468946457
16,2,0,0,0,10.000000000000002,20,10.0,17.0,0,,21.0,0,,35.0,0,,47.00000000000001,12,47.0,0.0375,313560,0.0,0.0,12,0,0,3,0,0.0,11,14,2,0.0,6.0,0,2,2,764,0.13392682559788227,1.815736772492528
17,2,0,0,0,10.000000000000002,20,10.0,17.0,0,,21.0,0,,35.0,0,,47.0,10,47.0,0.025,313248,0.0,0.0,12,0,0,2,0,0.0,13,15,2,0.0,6.0,0,2,2,670,0.04609169997274876,1.8618284724652767
18,2,0,0,0,10.000000000000002,20,10.0,17.0,0,,21.0,0,,35.0,0,,47.0,10,47.0,0.0375,312932,0.0,0.0,11,0,0,3,0,0.0,12,15,2,0.0,6.0,0,2,2,670,0.13948566280305386,2.0013141352683306
