index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
83,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
68,OTHER,T23,0,3,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
155,OTHER,T23,0,2,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
126,OTHER,T23,0,2,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
82,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
10,OTHER,T35,0,1,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
117,OTHER,T35,0,1,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
93,OTHER,T23,0,1,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
55,OTHER,T35,0,3,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
94,OTHER,T23,0,3,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
270,T20,T23,1,2,57,1,-1,1,06T20@3,08T23@4,8,1,-1,-1,4
231,T35,T22,1,5,11,1,-1,1,01T35@0,02T22@1,7,1,-1,-1,1
33,OTHER,T23,1,2,10,0,-1,-1,SELLER,00T23@0,0,1,-1,-1,0
264,T35,T22,1,2,13,1,-1,1,01T35@0,03T22@1,17,1,-1,-1,1
127,OTHER,T23,1,3,10,0,-1,-1,SELLER,00T23@0,0,1,-1,-1,0
275,T20,T23,1,5,57,1,-1,1,06T20@3,08T23@4,5,1,-1,-1,4
62,OTHER,T35,1,4,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
190,T20,T23,1,4,57,1,-1,1,06T20@3,08T23@4,2,1,-1,-1,4
223,T22,T22,1,1,23,1,-1,1,05T22@2,07T22@3,10,1,-1,-1,3
71,OTHER,T23,1,1,10,0,-1,-1,SELLER,00T23@0,0,1,-1,-1,0
237,T23,T22,1,5,2,1,-1,1,00T23@0,03T22@1,3,1,-1,-1,1
278,T37,T20,1,2,35,-1,-1,1,04T37@2,06T20@3,5,-1,-1,-1,3
239,T22,T22,1,1,14,1,-1,1,02T22@1,05T22@2,7,1,-1,-1,2
240,T20,T23,1,2,57,1,-1,1,06T20@3,08T23@4,5,1,-1,-1,4
