index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,29.0,0,,41.0,0,,0.16666666666666666,203304,0.0,0.0,10,0,0,7,0,0.0,461,468,158,0.0,0.0,0,0,158,200,6.107091328129172,6.107091328129172
1,158,0,0,0,10.0,20,10.0,13.833333333333336,9,8.0,26.714285714285715,4,1.0,41.0,0,,0.26666666666666666,202845,0.0,0.0,17,0,0,6,0,0.0,43,49,29,543.0,846.0,31,127,29,276,7.894645404070616,14.001736732199788
2,29,0,0,0,10.0,20,10.0,13.715725806451616,1,8.0,24.09572301425662,5,1.0,41.0,0,,0.11666666666666665,202470,0.0,0.0,11,0,0,1,0,0.0,26,27,27,120.0,57.0,10,19,27,213,4.736168794333935,18.737905526533726
3,27,0,0,0,10.0,20,10.0,13.590490797546014,1,8.0,22.54818930829661,8,14.0,41.0,20,41.0,0.16666666666666666,201946,0.0,0.0,18,0,0,2,0,0.0,24,26,31,84.0,71.0,8,19,31,1140,4.945113819092511,23.683019345626235
4,31,0,0,0,10.0,20,10.0,14.96676361342771,16,18.5,21.495256472101627,9,16.0,41.0,20,41.0,0.3333333333333333,201160,0.0,0.0,21,0,0,3,0,0.0,29,32,30,204.0,68.0,13,18,30,1460,4.659217454493046,28.34223680011928
5,30,0,0,0,10.0,20,10.0,15.547569481430706,35,16.4,21.2186214330322,18,20.444444444444443,41.0,20,41.0,0.3333333333333333,200207,0.0,0.0,23,0,0,1,0,0.0,27,28,28,147.0,78.0,9,21,28,1962,5.10183822363615,33.44407502375543
6,28,0,0,0,10.0,20,10.0,15.547569481430706,0,,23.363681406783982,11,35.36363636363637,41.0,20,41.0,0.2833333333333333,199650,0.0,0.0,20,0,0,0,0,0.0,25,25,26,162.0,71.0,9,19,26,1409,4.993666497990488,38.43774152174592
7,26,0,0,0,10.0,20,10.0,15.804869657233507,41,16.29268292682927,24.50395941928277,15,29.466666666666665,41.00000000000001,20,41.0,0.31666666666666665,198318,0.0,0.0,24,0,0,1,0,0.0,20,21,29,93.0,90.0,6,20,29,2130,5.946111503988504,44.383853025734425
8,29,0,0,0,10.0,20,10.0,16.41533434829542,50,17.72,25.526641196290434,4,44.0,41.00000000000001,20,41.0,0.3333333333333333,197124,0.0,0.0,22,0,0,1,0,0.0,27,28,24,147.0,74.0,9,20,24,2082,2.1579653937369585,46.541818419471376
9,24,0,0,0,10.000000000000002,20,10.0,16.599625490143918,45,17.177777777777774,30.485779663405342,24,44.66666666666666,41.00000000000001,20,41.0,0.3333333333333333,195655,0.0,0.0,23,0,0,2,0,0.0,22,24,27,96.0,81.0,7,17,27,2865,5.7369541209191075,52.27877254039049
10,27,0,0,0,10.000000000000002,20,10.0,16.40655090824853,23,15.0,30.0411242819795,26,28.615384615384613,41.00000000000001,20,41.0,0.3333333333333333,194137,0.0,0.0,24,0,0,3,0,0.0,22,25,29,129.0,101.0,8,19,29,2109,1.1342258770018816,53.412998417392366
11,29,0,0,0,10.000000000000002,20,10.0,16.871130539787195,13,23.0,30.0411242819795,0,,41.0,20,41.0,0.3,193631,0.0,0.0,18,0,0,3,0,0.0,22,25,28,147.0,90.0,9,20,28,1319,5.812782412394881,59.225780829787254
12,28,0,0,0,10.000000000000002,20,10.0,17.23727003001841,43,18.65116279069768,33.97833619655673,71,39.43661971830985,41.00000000000001,20,41.0,0.3333333333333333,189396,0.0,0.0,26,0,0,2,0,0.0,25,27,26,117.0,72.0,9,19,26,4622,6.0872967466712,65.31307757645845
13,26,0,0,0,10.000000000000002,20,10.0,17.913755741920614,38,21.263157894736842,35.831058276866344,80,39.3625,41.00000000000001,20,41.0,0.31666666666666665,183608,0.0,0.0,27,0,0,2,0,0.0,24,26,25,114.0,66.0,8,18,25,4977,5.902026848867536,71.21510442532599
14,25,0,0,0,10.000000000000002,20,10.0,17.676473198888115,30,16.066666666666666,36.26263549475967,75,37.46666666666667,41.00000000000001,20,41.0,0.31666666666666665,178144,0.0,0.0,24,0,0,1,0,0.0,21,22,22,108.0,72.0,6,19,22,4312,5.982351243495941,77.19745566882193
15,22,0,0,0,10.000000000000002,20,10.0,17.74470165036115,17,18.58823529411765,36.97043225667603,36,42.0,41.00000000000001,20,41.0,0.3333333333333333,176374,0.0,0.0,19,0,0,5,0,0.0,19,24,22,111.0,60.0,7,15,22,2848,5.2420864310115585,82.43954209983349
16,22,0,0,0,10.000000000000002,20,10.0,17.785909992866568,16,18.3125,35.987156438468425,137,34.1021897810219,41.00000000000001,20,41.0,0.3333333333333333,161303,0.0,0.0,31,0,0,4,0,0.0,21,25,22,96.0,59.0,7,15,22,5985,5.153328439220786,87.59287053905426
17,22,0,0,0,10.000000000000002,20,10.0,17.785909992866568,0,,36.033902574049065,94,36.21276595744681,41.0,20,41.0,0.3333333333333333,153928,0.0,0.0,26,0,0,2,0,0.0,21,23,24,90.0,66.0,5,17,24,4424,3.666303237900138,91.2591737769544
18,24,0,0,0,10.000000000000002,20,10.0,17.68825285557925,2,8.0,36.033902574049065,0,,41.0,20,41.0,0.3333333333333333,153388,0.0,0.0,19,0,0,1,0,0.0,23,24,27,111.0,66.0,7,17,27,1036,4.49438683874905,95.75356061570345
19,27,0,0,0,10.000000000000002,20,10.0,17.967271831737612,10,23.0,36.24608158425221,34,38.79411764705883,41.00000000000001,20,41.0,0.3333333333333333,152324,0.0,0.0,21,0,0,3,0,0.0,23,26,29,147.0,69.0,9,18,29,2569,4.813354222103953,100.56691483780743
20,29,0,0,0,10.000000000000002,20,10.0,18.253637578698388,51,19.215686274509803,36.24608158425221,0,,41.00000000000001,20,41.0,0.3333333333333333,151428,0.0,0.0,18,0,0,3,0,0.0,21,24,24,96.0,80.0,7,22,24,2000,4.894877890124917,105.46179272793232
21,24,0,0,0,10.000000000000002,20,10.0,18.277381337487,73,18.342465753424662,35.97012509975961,5,14.0,41.00000000000001,20,41.0,0.3333333333333333,149617,0.0,0.0,22,0,0,1,0,0.0,24,25,21,96.0,66.0,7,17,21,2429,1.5240503437817097,106.98584307171404
22,21,0,0,0,10.000000000000002,20,10.0,18.153453632093502,3,8.0,34.66022706485785,23,14.0,41.0,20,41.0,0.3333333333333333,149061,0.0,0.0,19,0,0,1,0,0.0,23,24,23,93.0,45.0,6,15,23,1366,4.5077109318226585,111.4935540035367
23,23,0,0,0,10.000000000000002,20,10.0,18.153453632093502,0,,34.49763436722785,21,31.809523809523807,41.0,20,41.0,0.3333333333333333,148226,0.0,0.0,22,0,0,3,0,0.0,21,24,21,93.0,66.0,6,17,21,1688,3.6028977502137423,115.09645175375044
24,21,0,0,0,10.000000000000002,20,10.0,18.565288640524614,35,21.2,35.61641208218846,114,38.868421052631575,41.0,20,41.0,0.3333333333333333,137451,0.0,0.0,28,0,0,2,0,0.0,21,23,23,93.0,47.0,6,15,23,6193,4.732474101707338,119.82892585545778
25,23,0,0,0,10.000000000000002,20,10.0,18.47537932956961,2,8.0,34.592615703039435,31,21.354838709677423,41.0,20,41.0,0.3333333333333333,135975,0.0,0.0,22,0,0,1,0,0.0,22,23,24,144.0,45.0,8,15,24,1698,4.3586715925484905,124.18759744800629
26,24,0,0,0,10.000000000000002,20,10.0,18.73736202145785,13,23.0,34.592615703039435,0,,41.0,20,41.0,0.3333333333333333,135457,0.0,0.0,17,0,0,0,0,0.0,21,21,28,90.0,57.0,5,19,28,1319,4.19332311861217,128.38092056661844
27,28,0,0,0,10.000000000000002,17,10.0,19.06691194073792,36,20.916666666666668,34.66783518324964,85,35.01176470588236,41.0,20,41.0,0.3333333333333333,130043,0.0,0.0,22,0,0,0,0,0.0,25,25,28,126.0,62.0,7,21,28,4719,4.675028895959258,133.0559494625777
28,28,0,0,0,10.000000000000002,7,10.0,18.611774422450065,27,15.0,35.6260110306681,44,44.90909090909091,41.0,20,41.0,0.3333333333333333,127597,0.0,0.0,16,0,0,2,0,0.0,20,22,28,111.0,63.0,7,21,28,3271,4.6107784770429125,137.66672793962059
29,28,0,0,0,10.000000000000002,20,10.0,18.611774422450065,0,,36.080194092766526,22,44.81818181818182,41.0,20,41.0,0.2833333333333333,126637,0.0,0.0,20,0,0,1,0,0.0,22,23,28,108.0,65.0,6,22,28,2006,4.934690598398447,142.60141853801906
30,28,0,0,0,10.000000000000002,20,10.0,18.760947215079288,10,22.0,36.582363465714934,70,39.457142857142856,41.0,20,41.0,0.3333333333333333,121985,0.0,0.0,24,0,0,1,0,0.0,24,25,29,117.0,63.0,7,21,29,4002,4.5618590880185375,147.1632776260376
31,29,0,0,0,10.000000000000002,20,10.0,19.09774993758852,22,22.227272727272727,37.257908115530064,38,44.78947368421053,41.0,20,41.0,0.3,120493,0.0,0.0,23,0,0,3,0,0.0,23,26,28,144.0,63.0,8,21,28,3211,4.798091212287545,151.96136883832511
32,28,0,0,0,10.000000000000002,20,10.0,19.39191921531296,18,22.722222222222218,38.014478024097976,45,45.0,41.0,20,41.0,0.3333333333333333,118122,0.0,0.0,24,0,0,3,0,0.0,23,26,30,144.0,60.0,8,20,30,3454,5.527638388797642,157.48900722712278
33,30,0,0,0,10.000000000000002,20,10.0,19.69315049819951,33,21.51515151515152,38.84441044012435,109,42.0,41.0,20,41.0,0.3333333333333333,108393,0.0,0.0,26,0,0,3,0,0.0,22,25,30,144.0,66.0,8,22,30,6308,5.091623436659575,162.58063066378236
34,30,0,0,0,10.000000000000002,20,10.0,19.928582456794775,18,22.66666666666667,39.41932360478177,60,43.93333333333333,41.0,20,41.0,0.3333333333333333,89060,0.0,0.0,20,0,0,2,2,582.4003099173552,24,26,32,144.0,66.0,8,22,32,3806,6.07704034820199,168.65767101198438
35,32,0,0,1,10.000000000000002,20,10.0,19.928582456794775,0,,39.41932360478177,0,,41.0,20,41.0,0.3333333333333333,108356,0.0,0.125,15,0,0,3,5,781.0174471992655,27,30,31,171.0,66.0,10,22,31,1020,5.243801962584257,173.9014729745686
36,31,0,0,0,10.000000000000002,20,10.0,19.928582456794775,0,,39.41932360478177,0,,41.00000000000001,20,41.0,0.3333333333333333,107653,0.0,0.125,19,0,0,0,7,1675.7618917540792,18,18,26,126.0,71.0,7,24,26,1020,5.803315188735724,179.70478816330433
37,26,0,0,0,10.000000000000004,20,10.0,19.928582456794775,0,,39.41932360478177,0,,41.00000000000001,20,41.0,0.3,107145,0.0,0.125,17,0,0,0,3,1856.8426580112725,19,19,25,99.0,60.0,6,20,25,1020,5.422167673707008,185.1269558370113
38,25,0,0,0,10.000000000000004,20,10.0,19.928582456794775,0,,39.41932360478177,0,,41.00000000000001,20,41.0,0.3333333333333333,106677,0.0,0.125,17,0,0,0,1,107.97578053259872,15,15,21,54.0,66.0,3,22,21,1020,5.062246572226286,190.1892024092376
