index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
157,OTHER,T34,0,4,10,0,-1,-1,SELLER,00T34@0,0,0,-1,-1,0
213,OTHER,T23,0,3,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
91,OTHER,T34,0,3,10,0,-1,-1,SELLER,00T34@0,0,0,-1,-1,0
63,OTHER,T34,0,2,10,0,-1,-1,SELLER,00T34@0,0,0,-1,-1,0
197,OTHER,T34,0,1,10,0,-1,-1,SELLER,00T34@0,0,0,-1,-1,0
3,OTHER,T34,0,2,10,0,-1,-1,SELLER,00T34@0,0,0,-1,-1,0
64,OTHER,T23,0,2,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
153,OTHER,T23,0,3,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
69,OTHER,T23,1,4,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
260,T23,T22,1,1,2,1,-1,1,05T23@2,07T22@3,9,1,-1,-1,3
44,OTHER,T23,1,3,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
206,OTHER,T34,1,3,10,0,-1,-1,SELLER,00T34@0,0,1,-1,-1,0
251,T35,T22,1,7,22,1,-1,1,06T35@3,08T22@4,17,1,-1,-1,4
244,T35,T23,1,6,43,1,-1,1,06T35@3,09T23@4,10,1,-1,-1,4
240,T35,T22,1,4,22,1,-1,1,06T35@3,08T22@4,17,1,-1,-1,4
275,T22,T23,1,4,44,1,-1,1,07T22@3,09T23@4,10,1,-1,-1,4
263,T35,T22,1,4,24,1,-1,1,06T35@3,08T22@4,17,1,-1,-1,4
269,T35,T23,1,8,43,1,-1,1,06T35@3,09T23@4,11,1,-1,-1,4
127,OTHER,T23,1,1,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
5,OTHER,T23,1,4,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
7,OTHER,T34,1,1,10,0,-1,-1,SELLER,00T34@0,0,1,-1,-1,0
179,OTHER,T23,1,1,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
166,OTHER,T34,1,3,10,0,-1,-1,SELLER,00T34@0,0,1,-1,-1,0
189,OTHER,T34,2,1,10,0,-1,-1,SELLER,00T34@0,0,2,-1,-1,0
273,T35,T23,2,4,42,1,-1,1,06T35@3,09T23@4,13,2,-1,-1,4
54,OTHER,T34,2,3,10,0,-1,-1,SELLER,00T34@0,0,2,-1,-1,0
4,OTHER,T23,2,5,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
277,T35,T23,2,13,37,1,-1,1,06T35@3,09T23@4,13,2,-1,-1,4
280,T34,T23,2,10,27,-1,-1,1,00T34@0,03T23@1,16,-1,-1,-1,1
124,OTHER,T34,2,4,10,0,-1,-1,SELLER,00T34@0,0,2,-1,-1,0
291,T22,T23,2,4,44,2,-1,2,07T22@3,09T23@4,9,2,-1,-1,4
297,T23,T35,2,1,1,2,-1,2,05T23@2,06T35@3,8,2,-1,-1,3
83,OTHER,T23,2,2,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
312,T22,T22,2,7,22,-1,-1,2,07T22@3,08T22@4,17,-1,-1,-1,4
310,T23,T35,2,29,5,-1,-1,2,05T23@2,06T35@3,13,-1,-1,-1,3
15,OTHER,T23,2,3,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
245,T23,T22,2,5,4,1,-1,1,05T23@2,07T22@3,11,2,-1,-1,3
111,OTHER,T23,2,2,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
238,T23,T22,2,3,6,1,-1,1,05T23@2,07T22@3,15,2,-1,-1,3
271,T35,T23,3,7,45,1,-1,1,06T35@3,09T23@4,6,3,-1,-1,4
108,OTHER,T23,3,1,10,0,-1,-1,SELLER,01T23@0,0,3,-1,-1,0
21,OTHER,T34,3,1,10,0,-1,-1,SELLER,00T34@0,0,3,-1,-1,0
276,T35,T22,3,7,24,1,-1,1,06T35@3,08T22@4,17,3,-1,-1,4
209,OTHER,T34,3,5,10,0,-1,-1,SELLER,00T34@0,0,3,-1,-1,0
139,OTHER,T34,3,2,10,0,-1,-1,SELLER,00T34@0,0,3,-1,-1,0
