index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
68,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
20,OTHER,T22,0,4,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
96,OTHER,T23,0,4,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
181,OTHER,T23,0,1,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
178,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
6,OTHER,T23,0,2,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
28,OTHER,T22,0,4,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
167,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
259,T22,T22,1,9,31,-1,-1,1,01T22@0,03T22@1,17,-1,-1,-1,1
218,T22,T22,1,1,16,1,-1,1,02T22@1,04T22@2,17,1,-1,-1,2
232,T23,T22,1,5,4,1,-1,1,00T23@0,02T22@1,14,1,-1,-1,1
102,OTHER,T22,1,2,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
72,OTHER,T23,1,3,10,0,-1,-1,SELLER,00T23@0,0,1,-1,-1,0
268,T35,T37,1,2,27,-1,-1,1,06T35@3,08T37@4,17,-1,-1,-1,4
244,T22,T35,1,4,46,1,-1,1,02T22@1,05T35@2,17,1,-1,-1,2
246,T23,T22,1,3,1,1,-1,1,00T23@0,02T22@1,11,1,-1,-1,1
254,T35,T37,1,4,27,-1,-1,1,06T35@3,08T37@4,17,-1,-1,-1,4
255,T22,T22,1,5,17,-1,-1,1,03T22@1,04T22@2,17,-1,-1,-1,2
256,T22,T22,1,4,46,-1,-1,1,03T22@1,04T22@2,17,-1,-1,-1,2
215,T23,T22,1,5,1,1,-1,1,00T23@0,02T22@1,7,1,-1,-1,1
