index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,trading_price_5,sold_quantity_5,unit_price_5,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,33.0,0,,45.0,0,,61.0,0,,73.0,0,,0.0,1041090,0.0,0.0,6,0,0,0,0,0.0,603,603,72,0.0,0.0,0,0,72,200,13.885897882282734,13.885897882282734
1,72,0,0,0,10.0,20,10.0,16.79245283018868,8,4.375,33.0,0,,45.0,0,,47.88135593220339,14,5.7142857142857135,73.0,0,,0.08,1039546,0.0,0.0,10,0,0,19,0,0.0,66,85,41,955.0,0.0,72,0,41,315,5.799282619729638,19.68518050201237
2,41,0,0,0,10.0,20,10.0,15.810055865921786,6,8.0,33.0,0,,40.53846153846154,7,11.857142857142858,37.952243125904495,16,5.0,73.0,0,,0.14,1037396,0.0,0.0,16,0,0,7,0,0.0,46,53,29,533.0,3.0,40,1,29,411,5.116421611979604,24.801602113991976
3,29,0,0,0,10.0,20,10.0,15.509094318394899,5,12.6,33.765957446808514,2,51.0,35.69554455445544,34,29.029411764705888,33.040715944801214,11,5.2727272727272725,73.0,0,,0.05,1033513,0.0,0.0,15,0,0,8,0,0.0,30,38,23,341.0,15.0,24,5,23,1410,7.212477518245577,32.014079632237554
4,23,0,0,0,10.0,20,10.0,15.953415640853136,7,19.0,33.765957446808514,0,,33.95876058849754,17,26.529411764705888,29.15826514550352,11,5.909090909090909,73.0,0,,0.06999999999999999,1031154,0.0,0.0,17,0,0,6,0,0.0,27,33,21,293.0,6.0,21,2,21,849,7.242472345009446,39.256551977247
5,21,0,0,0,10.0,20,10.0,15.755844784970995,5,13.8,34.724604966139964,2,55.0,30.76764226208841,10,5.0,20.88668077847881,33,3.5454545454545454,73.0,20,73.0,0.18,1026885,0.0,0.0,26,0,0,6,0,0.0,26,32,23,276.0,6.0,19,2,23,2006,8.257245695218444,47.51379767246544
6,23,0,0,0,10.0,20,10.0,13.740496378265936,16,7.5625,36.073477956613026,3,54.0,31.08009973401221,6,35.333333333333336,18.94769291360563,13,5.230769230769232,73.0,20,73.0,0.15,1025110,0.0,0.0,32,0,0,5,0,0.0,28,33,24,312.0,6.0,21,2,24,2223,8.5836899895221,56.09748766198754
7,24,0,0,0,10.0,20,10.0,13.778356455840232,10,14.0,35.13590312001906,16,32.875,27.793263120041875,37,20.783783783783786,15.287246531234624,55,8.999999999999998,73.0,20,73.0,0.1,1013761,0.0,0.0,34,0,0,5,0,0.0,31,36,23,333.0,3.0,23,1,23,3590,10.148268060758712,66.24575572274625
8,23,0,0,0,10.0,20,10.0,11.895897173369551,18,5.4444444444444455,38.762190600553645,9,58.555555555555564,25.49412321895491,28,16.928571428571427,15.01840132410973,9,11.0,73.0,20,73.0,0.15,1009803,0.0,0.0,31,0,0,9,0,0.0,25,34,25,306.0,6.0,21,2,25,2858,9.296429013833405,75.54218473657966
9,25,0,0,0,10.000000000000002,20,10.0,11.675194822805109,19,10.842105263157897,39.617902450332096,2,62.0,25.49412321895491,0,,13.640813779671323,28,7.2857142857142865,73.0,20,73.0,0.11,1006120,0.0,0.0,27,0,0,7,0,0.0,30,37,23,350.0,3.0,24,1,23,2194,9.42509044893086,84.96727518551052
