index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,25.0,0,,37.0,0,,52.0,0,,0.0,312194,0.0,0.0,9,0,0,21,0,0.0,307,328,44,0.0,0.0,0,0,44,200,1.0733074285089972,1.0733074285089972
1,44,0,0,0,10.0,20,10.0,15.0,0,,25.0,0,,33.875,11,21.09090909090909,52.0,0,,0.0125,311432,0.0,0.0,15,0,0,8,0,0.0,54,62,28,572.0,15.0,43,1,28,432,0.7710875310003757,1.8443949595093727
2,28,0,0,0,10.0,20,10.0,14.62,5,11.2,23.38888888888889,9,15.333333333333336,24.090163934426233,35,10.0,52.0,0,,0.1375,308379,0.0,0.0,22,0,0,2,0,0.0,34,36,15,241.0,37.0,18,10,15,744,0.5196955204010011,2.3640904799103737
3,15,0,0,0,10.0,20,10.0,13.350980392156858,6,3.8333333333333335,22.868506493506487,13,20.923076923076927,22.228860936408104,9,6.333333333333332,52.0,0,,0.1875,307289,0.0,0.0,17,0,0,2,0,0.0,25,27,18,137.0,15.0,10,5,18,552,0.5407989080995321,2.9048893880099063
4,18,0,0,0,10.0,20,10.0,12.314538310412571,5,2.8,22.176706128133702,2,3.0,21.14088846513763,36,18.805555555555557,52.0,20,52.0,0.1875,305081,0.0,0.0,31,0,0,1,0,0.0,33,34,16,166.0,15.0,13,5,16,1937,0.6099218819290401,3.5148112699389458
5,16,0,0,0,10.0,20,10.0,10.827829607463476,11,4.636363636363637,22.176706128133702,0,,21.10526552109312,25,20.96,52.0,20,52.0,0.2,303171,0.0,0.0,27,0,0,2,0,0.0,26,28,17,118.0,21.0,9,7,17,1815,0.3724813908338547,3.8872926607728
6,17,0,0,0,10.0,20,10.0,10.639300581250358,1,1.0,23.146266638935103,6,31.5,19.704461193925823,10,3.7,52.0,13,52.0,0.1125,302719,0.0,0.0,22,0,0,1,0,0.0,29,30,15,158.0,18.0,11,6,15,1103,0.4330696910619736,4.320362351834774
7,15,0,0,0,10.0,20,10.0,9.54307287393198,10,4.4,26.012763115082343,12,38.41666666666666,19.58516366332177,4,16.25,51.99999999999999,17,52.0,0.175,302023,0.0,0.0,29,0,0,0,0,0.0,29,29,15,122.0,18.0,9,6,15,1654,0.3512609302997589,4.671623282134533
8,15,0,0,0,10.0,20,10.0,9.54307287393198,0,,26.38447956791061,12,28.16666666666667,22.992265435602864,22,39.13636363636363,51.99999999999999,15,52.0,0.1,300560,0.0,0.0,26,0,0,3,0,0.0,27,30,19,151.0,24.0,10,5,19,2179,0.4505883641541004,5.1222116462886325
9,19,0,0,0,10.000000000000002,20,10.0,9.402375955956431,3,7.0,27.052275081501477,4,37.5,25.961981992022423,11,56.63636363636363,51.99999999999999,16,52.0,0.1375,300065,0.0,0.0,27,0,0,1,0,0.0,31,32,20,164.0,25.0,12,7,20,1826,0.4534579813480377,5.575669627636671
