index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
395,OTHER,T35,0,3,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
739,OTHER,T15,0,1,10,0,-1,-1,SELLER,00T15@0,0,0,-1,-1,0
164,OTHER,T15,0,4,10,0,-1,-1,SELLER,00T15@0,0,0,-1,-1,0
883,OTHER,T15,0,1,10,0,-1,-1,SELLER,00T15@0,0,0,-1,-1,0
880,OTHER,T15,0,1,10,0,-1,-1,SELLER,00T15@0,0,0,-1,-1,0
869,OTHER,T35,0,1,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
382,OTHER,T15,0,1,10,0,-1,-1,SELLER,00T15@0,0,0,-1,-1,0
626,OTHER,T15,0,2,10,0,-1,-1,SELLER,00T15@0,0,0,-1,-1,0
85,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
292,OTHER,T15,0,3,10,0,-1,-1,SELLER,00T15@0,0,0,-1,-1,0
581,OTHER,T35,0,1,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
700,OTHER,T35,1,2,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
899,OTHER,T15,1,1,10,0,-1,-1,SELLER,00T15@0,0,1,-1,-1,0
169,OTHER,T35,1,2,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
1151,T35,T35,1,10,15,1,-1,1,02T35@1,05T35@2,17,1,-1,-1,2
1125,T35,T35,1,8,15,1,-1,1,02T35@1,05T35@2,17,1,-1,-1,2
556,OTHER,T35,1,1,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
717,OTHER,T35,1,3,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
1124,T35,T35,1,7,17,1,-1,1,02T35@1,05T35@2,17,1,-1,-1,2
845,OTHER,T35,1,1,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
1182,T35,T35,1,8,17,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
321,OTHER,T35,1,1,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
1171,T35,T35,1,7,17,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
1207,T35,T35,1,10,15,1,-1,1,02T35@1,05T35@2,17,1,-1,-1,2
1222,T35,T35,1,7,17,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
1230,T35,T35,1,10,17,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
418,OTHER,T15,1,3,10,0,-1,-1,SELLER,00T15@0,0,1,-1,-1,0
827,OTHER,T15,1,1,10,0,-1,-1,SELLER,00T15@0,0,1,-1,-1,0
579,OTHER,T15,1,2,10,0,-1,-1,SELLER,00T15@0,0,1,-1,-1,0
920,OTHER,T35,1,2,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
100,OTHER,T35,1,1,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
1135,T35,T35,2,7,15,1,-1,1,02T35@1,05T35@2,17,2,-1,-1,2
1312,T35,T35,2,5,10,2,-1,2,01T35@0,02T35@1,17,2,-1,-1,1
419,OTHER,T35,2,2,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
1289,T35,T35,2,9,10,2,-1,2,01T35@0,03T35@1,17,2,-1,-1,1
1280,T35,T35,2,10,10,2,-1,2,01T35@0,03T35@1,17,2,-1,-1,1
727,OTHER,T15,2,2,10,0,-1,-1,SELLER,00T15@0,0,2,-1,-1,0
542,OTHER,T35,2,1,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
730,OTHER,T15,2,2,10,0,-1,-1,SELLER,00T15@0,0,2,-1,-1,0
935,OTHER,T35,2,1,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
1264,T35,T35,2,8,10,2,-1,2,01T35@0,03T35@1,17,2,-1,-1,1
1329,T35,T35,2,31,11,-1,-1,2,01T35@0,02T35@1,17,-1,-1,-1,1
692,OTHER,T15,2,2,10,0,-1,-1,SELLER,00T15@0,0,2,-1,-1,0
1118,T35,T35,2,7,17,1,-1,1,03T35@1,05T35@2,17,2,-1,-1,2
1246,T35,T35,2,10,15,1,-1,1,02T35@1,05T35@2,17,2,-1,-1,2
1261,T35,T35,2,8,10,2,-1,2,01T35@0,02T35@1,17,2,-1,-1,1
338,OTHER,T15,2,2,10,0,-1,-1,SELLER,00T15@0,0,2,-1,-1,0
257,OTHER,T15,2,1,10,0,-1,-1,SELLER,00T15@0,0,2,-1,-1,0
410,OTHER,T15,2,2,10,0,-1,-1,SELLER,00T15@0,0,2,-1,-1,0
1254,T15,T35,2,10,31,-1,-1,1,00T15@0,02T35@1,17,-1,-1,-1,1
600,OTHER,T35,2,1,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
245,OTHER,T15,2,1,10,0,-1,-1,SELLER,00T15@0,0,2,-1,-1,0
1175,T35,T35,2,10,17,1,-1,1,03T35@1,05T35@2,17,2,-1,-1,2
1333,T35,T35,2,25,12,-1,-1,2,01T35@0,03T35@1,17,-1,-1,-1,1
1332,T35,T35,2,11,10,-1,-1,2,01T35@0,03T35@1,17,-1,-1,-1,1
131,OTHER,T35,2,3,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
1245,T35,T35,2,7,17,1,-1,1,02T35@1,05T35@2,17,2,-1,-1,2
870,OTHER,T35,3,1,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
810,T34,OTHER,3,1,43,0,-1,-1,04T34@2,BUYER,0,3,-1,-1,3
873,T35,OTHER,3,1,43,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
1202,T35,T35,3,10,17,1,-1,1,03T35@1,05T35@2,17,3,-1,-1,2
521,T34,OTHER,3,1,43,0,-1,-1,04T34@2,BUYER,0,3,-1,-1,3
1177,T35,T35,3,8,17,1,-1,1,03T35@1,05T35@2,17,3,-1,-1,2
1271,T35,T35,3,10,10,2,-1,2,01T35@0,02T35@1,17,3,-1,-1,1
1270,T35,T35,3,5,11,2,-1,2,01T35@0,03T35@1,17,3,-1,-1,1
1183,T35,T35,3,10,17,1,-1,1,02T35@1,05T35@2,17,3,-1,-1,2
109,T34,OTHER,3,5,43,0,-1,-1,04T34@2,BUYER,0,3,-1,-1,3
763,OTHER,T35,3,2,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
1250,T35,T35,3,7,15,1,-1,1,03T35@1,05T35@2,17,3,-1,-1,2
260,OTHER,T35,3,4,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
602,OTHER,T15,3,3,10,0,-1,-1,SELLER,00T15@0,0,3,-1,-1,0
585,OTHER,T15,3,2,10,0,-1,-1,SELLER,00T15@0,0,3,-1,-1,0
300,T35,OTHER,3,2,43,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
580,OTHER,T35,3,1,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
284,T34,OTHER,3,2,43,0,-1,-1,04T34@2,BUYER,0,3,-1,-1,3
14,OTHER,T15,3,1,10,0,-1,-1,SELLER,00T15@0,0,3,-1,-1,0
336,OTHER,T15,3,1,10,0,-1,-1,SELLER,00T15@0,0,3,-1,-1,0
1377,T35,T35,3,11,10,-1,-1,3,01T35@0,03T35@1,17,-1,-1,-1,1
1363,T35,T35,3,10,10,3,-1,3,01T35@0,03T35@1,17,3,-1,-1,1
263,OTHER,T15,3,1,10,0,-1,-1,SELLER,00T15@0,0,3,-1,-1,0
25,T34,OTHER,3,1,43,0,-1,-1,04T34@2,BUYER,0,3,-1,-1,3
569,T35,OTHER,3,2,43,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
241,T35,OTHER,3,4,43,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
1335,T15,T35,3,10,31,-1,-1,2,00T15@0,03T35@1,17,-1,-1,-1,1
1164,T35,T35,3,8,15,1,-1,1,02T35@1,05T35@2,17,3,-1,-1,2
1326,T35,T35,3,21,12,-1,-1,2,01T35@0,02T35@1,17,-1,-1,-1,1
753,OTHER,T15,3,2,10,0,-1,-1,SELLER,00T15@0,0,3,-1,-1,0
1320,T35,T35,3,10,10,2,-1,2,01T35@0,03T35@1,17,3,-1,-1,1
353,T34,OTHER,3,1,43,0,-1,-1,04T34@2,BUYER,0,3,-1,-1,3
1143,T35,T35,3,7,15,1,-1,1,02T35@1,05T35@2,17,3,-1,-1,2
