index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,23.0,0,,33.0,0,,42.0,0,,53.0,0,,0.2375,441134,0.0,0.0,7,0,0,28,0,0.0,254,282,110,0.0,0.0,0,0,110,200,5.143185615539551,5.143185615539551
1,110,0,0,0,10.0,20,10.0,24.42592592592593,9,31.555555555555557,34.306122448979586,4,49.0,40.326530612244895,4,21.5,53.0,0,,0.3875,440568,0.0,0.0,13,0,0,54,0,0.0,52,106,68,1674.0,96.0,93,17,68,766,6.254738051444293,11.397923666983845
2,68,0,0,0,10.0,20,10.0,24.42592592592593,0,,35.52806652806653,4,49.0,36.595281306715066,11,21.63636363636364,53.0,0,,0.3125,439721,0.0,0.0,12,0,0,31,0,0.0,22,53,62,657.0,87.0,39,29,62,634,2.9918625913560386,14.389786258339882
3,62,0,0,0,10.0,20,10.0,24.42592592592593,0,,36.667582998519784,4,49.0,33.03601195156471,14,20.428571428571427,53.0,0,,0.3125,438755,0.0,0.0,10,0,0,21,0,0.0,29,50,60,684.0,72.0,38,24,60,682,2.814739748835564,17.204526007175446
4,60,0,0,0,10.0,20,10.0,25.779151943462896,8,34.0,37.727046240415795,4,49.0,27.195016260365467,63,21.88888888888889,53.0,20,53.0,0.475,432398,0.0,0.0,23,0,0,15,0,0.0,34,49,56,633.0,72.0,36,24,56,3107,2.8819129057228565,20.086438912898306
5,56,0,0,0,10.0,20,10.0,26.996981251986018,12,32.166666666666664,37.727046240415795,0,,26.689891570021253,14,22.785714285714285,53.0,20,53.0,0.3625,431680,0.0,0.0,19,0,0,21,0,0.0,29,50,58,665.0,71.0,37,19,58,1965,3.1892596390098333,23.275698551908132
6,58,0,0,0,10.0,20,10.0,26.79931075421297,4,24.0,38.70933386196245,4,49.0,25.74547753047369,28,22.035714285714285,53.00000000000001,17,53.0,0.325,429626,0.0,0.0,18,0,0,20,0,0.0,28,48,54,630.0,69.0,35,23,54,2010,2.448568252846598,25.72426680475473
7,54,0,0,0,10.0,20,10.0,26.53988979437159,4,23.0,37.53681771963714,12,33.5,25.389330796195203,16,22.625,53.00000000000001,12,53.0,0.4,428104,0.0,0.0,20,0,0,24,0,0.0,24,48,55,630.0,57.0,35,19,55,1692,3.4579135831445456,29.18218038789928
8,55,0,0,0,10.0,20,10.0,27.080050600042444,19,28.578947368421048,36.78887090103992,10,33.2,28.76857064404632,75,34.45333333333333,53.00000000000001,11,53.0,0.6875,420639,0.0,0.0,28,0,0,20,0,0.0,29,49,51,648.0,57.0,36,19,51,4242,2.0807824488729243,31.262962836772203
9,51,0,0,0,10.000000000000002,20,10.0,26.61324885614445,10,23.6,36.61210980918715,2,32.0,29.868808067788827,93,32.01075268817204,53.0,17,53.0,0.525,409883,0.0,0.0,26,0,0,31,0,0.0,18,49,54,648.0,45.0,36,15,54,4378,2.3946253247559066,33.65758816152811
