index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
177,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
179,OTHER,T22,0,3,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
321,OTHER,T22,0,1,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
92,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
95,OTHER,T22,0,7,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
362,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
389,OTHER,T22,0,2,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
398,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
545,T22,T37,1,5,8,-1,-1,1,00T22@0,03T37@1,17,-1,-1,-1,1
508,T23,T35,1,7,1,1,-1,1,05T23@2,06T35@3,7,1,-1,-1,3
85,OTHER,T22,1,3,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
107,OTHER,T22,1,3,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
541,T37,T23,1,2,49,-1,-1,1,03T37@1,05T23@2,12,-1,-1,-1,2
539,T22,T37,1,5,8,-1,-1,1,00T22@0,03T37@1,17,-1,-1,-1,1
524,T23,T35,1,6,1,1,-1,1,04T23@2,06T35@3,9,1,-1,-1,3
523,T23,T35,1,8,3,1,-1,1,05T23@2,06T35@3,10,1,-1,-1,3
44,OTHER,T22,1,2,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
516,T23,T22,1,7,7,1,-1,1,04T23@2,07T22@3,13,1,-1,-1,3
513,T23,T22,1,8,13,1,-1,1,05T23@2,07T22@3,16,1,-1,-1,3
49,OTHER,T22,1,1,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
452,T23,T35,1,3,3,1,-1,1,04T23@2,06T35@3,14,1,-1,-1,3
529,T23,T22,1,1,1,1,-1,1,04T23@2,07T22@3,8,1,-1,-1,3
361,OTHER,T22,1,1,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
87,OTHER,T22,1,3,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
470,T23,T35,1,1,1,1,-1,1,04T23@2,06T35@3,9,1,-1,-1,3
319,OTHER,T22,1,3,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
459,T23,T22,1,1,5,1,-1,1,05T23@2,07T22@3,16,1,-1,-1,3
467,T23,T35,1,1,5,1,-1,1,04T23@2,06T35@3,12,1,-1,-1,3
218,OTHER,T22,1,1,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
124,OTHER,T22,1,1,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
238,OTHER,T22,1,1,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
