index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
25,OTHER,T35,0,4,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
170,OTHER,T35,0,5,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
181,OTHER,T35,0,3,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
214,OTHER,T35,0,1,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
242,OTHER,T35,0,7,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
323,T35,T22,1,1,11,1,-1,1,00T35@0,03T22@1,17,1,-1,-1,1
332,T35,T22,1,1,11,1,-1,1,01T35@0,02T22@1,17,1,-1,-1,1
334,T35,T22,1,1,11,1,-1,1,01T35@0,03T22@1,17,1,-1,-1,1
336,T35,T22,1,1,11,1,-1,1,01T35@0,03T22@1,17,1,-1,-1,1
337,T35,T22,1,1,11,1,-1,1,00T35@0,02T22@1,17,1,-1,-1,1
339,T35,T22,1,1,11,1,-1,1,01T35@0,03T22@1,17,1,-1,-1,1
340,T35,T22,1,1,11,1,-1,1,00T35@0,03T22@1,17,1,-1,-1,1
306,T35,T22,1,1,11,1,-1,1,00T35@0,02T22@1,17,1,-1,-1,1
49,OTHER,T35,1,4,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
321,T35,T22,1,1,11,1,-1,1,01T35@0,02T22@1,17,1,-1,-1,1
59,OTHER,T35,1,4,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
229,OTHER,T35,1,3,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
94,OTHER,T35,1,2,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
163,OTHER,T35,1,4,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
305,T35,T22,1,1,11,1,-1,1,01T35@0,02T22@1,17,1,-1,-1,1
343,T35,T22,1,1,11,1,-1,1,00T35@0,03T22@1,17,1,-1,-1,1
347,T22,T22,1,3,17,-1,-1,1,03T22@1,04T22@2,17,-1,-1,-1,2
234,OTHER,T35,1,3,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
316,T35,T22,1,1,11,1,-1,1,00T35@0,02T22@1,17,1,-1,-1,1
