index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
250,OTHER,T23,0,4,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
123,OTHER,T23,0,1,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
214,OTHER,T23,0,1,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
373,OTHER,T23,0,1,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
384,OTHER,T23,0,1,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
409,OTHER,T23,0,1,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
219,OTHER,T23,0,2,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
162,OTHER,T23,0,1,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
205,OTHER,T23,0,1,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
340,OTHER,T23,0,1,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
429,OTHER,T23,0,3,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
266,OTHER,T23,0,1,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
204,OTHER,T23,0,2,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
82,OTHER,T23,1,2,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
83,OTHER,T23,1,2,10,0,-1,-1,SELLER,00T23@0,0,1,-1,-1,0
443,OTHER,T23,1,1,10,0,-1,-1,SELLER,00T23@0,0,1,-1,-1,0
46,OTHER,T23,1,2,10,0,-1,-1,SELLER,00T23@0,0,1,-1,-1,0
372,OTHER,T23,1,2,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
224,OTHER,T23,1,2,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
550,T23,T22,1,1,4,1,-1,1,01T23@0,03T22@1,14,1,-1,-1,1
155,OTHER,T23,1,2,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
480,OTHER,T23,1,2,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
301,OTHER,T23,1,1,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
201,OTHER,T23,1,2,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
587,T23,T07,1,8,2,-1,-1,1,02T23@1,04T07@2,9,-1,-1,-1,2
586,T22,T07,1,5,40,-1,-1,1,03T22@1,04T07@2,17,-1,-1,-1,2
585,T23,T07,1,8,4,-1,-1,1,02T23@1,04T07@2,13,-1,-1,-1,2
583,T23,T07,1,4,3,-1,-1,1,02T23@1,04T07@2,13,-1,-1,-1,2
328,OTHER,T23,1,2,10,0,-1,-1,SELLER,00T23@0,0,1,-1,-1,0
571,T23,T22,1,4,3,1,-1,1,00T23@0,03T22@1,14,1,-1,-1,1
574,T23,T22,1,3,1,1,-1,1,00T23@0,03T22@1,10,1,-1,-1,1
275,OTHER,T23,2,1,10,0,-1,-1,SELLER,00T23@0,0,2,-1,-1,0
331,OTHER,T23,2,1,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
17,OTHER,T23,2,1,10,0,-1,-1,SELLER,00T23@0,0,2,-1,-1,0
560,T23,T22,2,5,1,1,-1,1,01T23@0,03T22@1,11,2,-1,-1,1
229,OTHER,T23,2,3,10,0,-1,-1,SELLER,00T23@0,0,2,-1,-1,0
122,OTHER,T23,2,1,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
125,OTHER,T23,2,1,10,0,-1,-1,SELLER,00T23@0,0,2,-1,-1,0
561,T23,T22,2,1,1,1,-1,1,01T23@0,03T22@1,8,2,-1,-1,1
76,OTHER,T23,2,1,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
562,T23,T22,2,4,2,1,-1,1,01T23@0,03T22@1,10,2,-1,-1,1
563,T23,T07,2,9,1,1,-1,1,02T23@1,04T07@2,8,2,-1,-1,2
136,OTHER,T23,2,1,10,0,-1,-1,SELLER,00T23@0,0,2,-1,-1,0
565,T23,T22,2,2,2,1,-1,1,00T23@0,03T22@1,12,2,-1,-1,1
147,OTHER,T23,2,3,10,0,-1,-1,SELLER,00T23@0,0,2,-1,-1,0
9,OTHER,T23,2,2,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
615,T23,T22,2,5,1,2,-1,2,00T23@0,03T22@1,7,2,-1,-1,1
553,T23,T07,2,8,1,1,-1,1,02T23@1,04T07@2,16,2,-1,-1,2
590,T23,T22,2,2,1,2,-1,2,00T23@0,03T22@1,8,2,-1,-1,1
29,OTHER,T23,2,1,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
5,OTHER,T23,2,1,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
256,OTHER,T23,2,2,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
276,OTHER,T23,2,1,10,0,-1,-1,SELLER,00T23@0,0,2,-1,-1,0
579,T22,T07,2,5,40,-1,-1,1,03T22@1,04T07@2,17,-1,-1,-1,2
257,T24,OTHER,3,4,35,0,-1,-1,05T24@2,BUYER,0,3,-1,-1,3
344,OTHER,T23,3,1,10,0,-1,-1,SELLER,00T23@0,0,3,-1,-1,0
440,T24,OTHER,3,1,35,0,-1,-1,05T24@2,BUYER,0,3,-1,-1,3
128,T24,OTHER,3,3,35,0,-1,-1,05T24@2,BUYER,0,3,-1,-1,3
293,OTHER,T23,3,1,10,0,-1,-1,SELLER,00T23@0,0,3,-1,-1,0
422,T07,OTHER,3,1,35,0,-1,-1,04T07@2,BUYER,0,3,-1,-1,3
414,OTHER,T23,3,2,10,0,-1,-1,SELLER,01T23@0,0,3,-1,-1,0
322,T07,OTHER,3,2,35,0,-1,-1,04T07@2,BUYER,0,3,-1,-1,3
458,T24,OTHER,3,1,35,0,-1,-1,05T24@2,BUYER,0,3,-1,-1,3
555,T23,T07,3,11,1,1,-1,1,02T23@1,04T07@2,7,3,-1,-1,2
421,OTHER,T23,3,3,10,0,-1,-1,SELLER,00T23@0,0,3,-1,-1,0
258,OTHER,T23,3,1,10,0,-1,-1,SELLER,00T23@0,0,3,-1,-1,0
370,T24,OTHER,3,1,35,0,-1,-1,05T24@2,BUYER,0,3,-1,-1,3
142,T07,OTHER,3,2,35,0,-1,-1,04T07@2,BUYER,0,3,-1,-1,3
45,OTHER,T23,3,3,10,0,-1,-1,SELLER,01T23@0,0,3,-1,-1,0
66,OTHER,T23,3,1,10,0,-1,-1,SELLER,01T23@0,0,3,-1,-1,0
187,OTHER,T23,3,2,10,0,-1,-1,SELLER,00T23@0,0,3,-1,-1,0
225,T24,OTHER,3,1,35,0,-1,-1,05T24@2,BUYER,0,3,-1,-1,3
611,T23,T07,3,10,3,2,-1,2,02T23@1,04T07@2,11,3,-1,-1,2
62,T24,OTHER,3,4,35,0,-1,-1,05T24@2,BUYER,0,3,-1,-1,3
619,T22,T07,3,5,40,-1,-1,2,03T22@1,04T07@2,17,-1,-1,-1,2
390,OTHER,T23,3,2,10,0,-1,-1,SELLER,01T23@0,0,3,-1,-1,0
240,OTHER,T23,3,4,10,0,-1,-1,SELLER,00T23@0,0,3,-1,-1,0
616,T23,T22,4,2,7,2,-1,2,01T23@0,03T22@1,15,4,-1,-1,1
472,T24,OTHER,4,1,35,0,-1,-1,05T24@2,BUYER,0,4,-1,-1,3
312,T07,OTHER,4,1,35,0,-1,-1,04T07@2,BUYER,0,4,-1,-1,3
450,OTHER,T23,4,3,10,0,-1,-1,SELLER,00T23@0,0,4,-1,-1,0
554,T23,T22,4,5,1,1,-1,1,00T23@0,03T22@1,7,4,-1,-1,1
600,T23,T07,4,24,19,2,-1,2,02T23@1,04T07@2,2,4,-1,-1,2
575,T23,T07,4,9,4,1,-1,1,02T23@1,04T07@2,13,4,-1,-1,2
453,T07,OTHER,4,1,35,0,-1,-1,04T07@2,BUYER,0,4,-1,-1,3
302,T07,OTHER,4,3,35,0,-1,-1,04T07@2,BUYER,0,4,-1,-1,3
121,T24,OTHER,4,1,35,0,-1,-1,05T24@2,BUYER,0,4,-1,-1,3
261,OTHER,T23,4,3,10,0,-1,-1,SELLER,01T23@0,0,4,-1,-1,0
462,OTHER,T23,4,1,10,0,-1,-1,SELLER,00T23@0,0,4,-1,-1,0
578,T23,T07,4,9,4,1,-1,1,02T23@1,04T07@2,13,4,-1,-1,2
271,OTHER,T23,4,1,10,0,-1,-1,SELLER,01T23@0,0,4,-1,-1,0
305,OTHER,T23,4,2,10,0,-1,-1,SELLER,00T23@0,0,4,-1,-1,0
144,T07,OTHER,4,2,35,0,-1,-1,04T07@2,BUYER,0,4,-1,-1,3
592,T23,T22,4,4,1,2,-1,2,01T23@0,03T22@1,12,4,-1,-1,1
313,OTHER,T23,4,1,10,0,-1,-1,SELLER,01T23@0,0,4,-1,-1,0
638,T23,T07,4,10,22,3,-1,3,02T23@1,04T07@2,2,4,-1,-1,2
459,OTHER,T23,4,1,10,0,-1,-1,SELLER,00T23@0,0,4,-1,-1,0
297,OTHER,T23,4,2,10,0,-1,-1,SELLER,00T23@0,0,4,-1,-1,0
198,OTHER,T23,4,1,10,0,-1,-1,SELLER,00T23@0,0,4,-1,-1,0
353,OTHER,T23,4,1,10,0,-1,-1,SELLER,00T23@0,0,4,-1,-1,0
