index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,23.0,0,,35.0,0,,41.0,0,,0.2333333333333333,159018,0.0,0.0,9,0,0,112,0,0.0,285,397,114,0.0,0.0,0,0,114,200,2.6265296470373865,2.6265296470373865
1,114,0,0,0,10.0,20,10.0,22.3125,3,12.0,35.0,0,,41.0,0,,0.3833333333333333,158818,0.0,0.0,11,0,0,6,0,0.0,38,44,47,504.0,528.0,28,86,47,236,5.304111743345857,7.930641390383244
2,47,0,0,0,10.0,20,10.0,22.079185520361985,1,12.0,35.0,0,,41.0,0,,0.35000000000000003,158618,0.0,0.0,10,0,0,2,0,0.0,20,22,43,75.0,141.0,5,42,43,212,4.312433136627078,12.243074527010322
3,43,0,0,0,10.0,20,10.0,24.228239464356047,11,32.0,36.0625,3,52.0,41.0,20,41.0,0.5499999999999999,158096,0.0,0.0,20,0,0,1,0,0.0,23,24,42,96.0,123.0,7,36,42,1528,5.249543493613602,17.492618020623922
4,42,0,0,0,10.0,20,10.0,23.966404008393642,1,12.0,36.82142857142857,10,40.1,41.0,16,41.0,0.5,157859,0.0,0.0,18,0,0,4,0,0.0,17,21,34,78.0,123.0,6,36,34,1269,5.439974011853337,22.93259203247726
5,34,0,0,0,10.0,20,10.0,23.422869380765714,2,12.0,35.04026967930029,7,22.857142857142854,41.00000000000001,16,41.0,0.4666666666666666,157518,0.0,0.0,18,0,0,1,0,0.0,17,18,37,39.0,108.0,3,31,37,1040,5.399469187483192,28.33206121996045
6,37,0,0,0,10.0,20,10.0,25.36743642792925,8,35.0,32.002377795711325,20,24.5,41.00000000000001,16,41.0,0.6166666666666666,156495,0.0,0.0,19,0,0,2,0,0.0,22,24,34,117.0,102.0,8,29,34,1626,5.5960832238197336,33.928144443780184
7,34,0,0,0,10.0,20,10.0,25.36743642792925,0,,30.13624858546217,4,1.0,41.00000000000001,18,41.0,0.3833333333333333,156100,0.0,0.0,17,0,0,0,0,0.0,22,22,32,78.0,84.0,6,28,32,942,5.807489827275276,39.73563427105546
8,32,0,0,0,10.0,20,10.0,29.438546525681527,49,33.0,36.37042523719092,22,53.31818181818182,41.00000000000001,14,41.0,0.6666666666666666,155288,0.0,0.0,20,0,0,0,0,0.0,21,21,24,54.0,85.0,3,29,24,3564,6.887042371556162,46.622676642611616
9,24,0,0,0,10.000000000000002,20,10.0,29.438546525681527,0,,35.31786610354776,11,28.272727272727273,41.00000000000001,15,41.0,0.6,155036,0.0,0.0,17,0,0,0,0,0.0,19,19,26,36.0,70.0,2,22,26,1126,6.006353555247188,52.62903019785881
10,26,0,0,0,10.000000000000002,20,10.0,31.338917640593692,38,35.473684210526315,35.61990683843645,50,36.08,41.00000000000001,14,41.0,0.65,153166,0.0,0.0,20,0,0,1,0,0.0,18,19,26,39.0,74.0,3,23,26,3926,5.534817807376385,58.1638480052352
11,26,0,0,0,10.000000000000002,20,10.0,31.55219946521884,16,33.0,37.91509424040167,19,51.631578947368425,41.00000000000001,17,41.0,0.6666666666666666,152737,0.0,0.0,18,0,0,0,0,0.0,20,20,28,36.0,87.0,2,24,28,2406,1.9401202648878095,60.103968270123005
12,28,0,0,0,10.000000000000002,20,10.0,32.633000481441286,36,36.0,37.26853334159576,34,35.0,41.00000000000001,13,41.0,0.6666666666666666,151610,0.0,0.0,14,0,0,0,0,0.0,16,16,24,0.0,84.0,0,28,24,3219,5.568101093173027,65.67206936329603
13,24,0,0,0,10.000000000000002,20,10.0,33.05844701989895,56,34.07142857142857,37.26853334159576,0,,41.00000000000001,14,41.0,0.6666666666666666,151357,0.0,0.0,17,0,0,0,0,0.0,20,20,22,21.0,66.0,2,22,22,2682,1.9996989518404007,67.67176831513643
14,22,0,0,0,10.000000000000002,20,10.0,33.1155417871329,11,34.0,39.17435226366853,52,44.230769230769226,41.00000000000001,14,41.0,0.6666666666666666,149888,0.0,0.0,18,0,0,1,0,0.0,18,19,25,42.0,54.0,4,18,25,3448,5.583026882261038,73.25479519739747
15,25,0,0,0,10.000000000000002,20,10.0,33.1155417871329,0,,38.27254029037111,8,19.0,41.00000000000001,14,41.0,0.6666666666666666,149891,0.0,0.0,15,0,0,1,0,0.0,20,21,28,57.0,63.0,4,21,28,926,6.012814301997423,79.26760949939491
16,28,0,0,0,10.000000000000004,15,10.0,33.38756772245004,17,36.0,40.717541615236314,56,47.75,41.00000000000001,17,41.0,0.6666666666666666,147047,0.0,0.0,18,0,0,0,0,0.0,22,22,31,93.0,66.0,6,22,31,4133,5.912525000050664,85.18013449944556
17,31,0,0,0,10.000000000000004,0,,33.38756772245004,0,,43.960635708263986,91,50.92307692307693,41.0,12,41.0,0.43333333333333335,140043,0.0,0.0,10,0,0,0,0,0.0,23,23,33,111.0,88.0,7,24,33,5126,6.116778299212456,91.29691279865801
18,33,0,0,0,10.000000000000004,0,,33.38756772245004,0,,43.78362718548921,11,39.63636363636363,41.0,16,41.0,0.3333333333333333,140056,0.0,0.0,8,0,0,2,0,0.0,24,26,39,150.0,69.0,10,23,39,1092,2.061118660494685,93.3580314591527
19,39,0,0,0,10.000000000000004,0,,33.44616937767759,28,33.785714285714285,41.97032606029975,15,12.733333333333333,41.0,14,41.0,0.3333333333333333,139860,0.0,0.0,10,0,0,1,0,0.0,27,28,38,168.0,85.0,11,28,38,1711,6.1519706547260276,99.51000211387873
20,38,0,0,0,10.000000000000004,0,,33.40372461540421,18,33.0,41.273459892042816,4,1.0,40.99999999999999,15,41.0,0.3333333333333333,139812,0.0,0.0,8,0,0,0,0,0.0,25,25,32,168.0,82.0,11,27,32,1213,6.186978051438928,105.69698016531765
21,32,0,0,0,10.000000000000004,0,,33.420732811904585,5,34.0,39.7564540180624,12,13.0,40.99999999999999,15,41.0,0.3333333333333333,139703,0.0,0.0,10,0,0,2,0,0.0,24,26,27,117.0,71.0,9,23,27,941,6.314287455752492,112.01126762107016
22,27,0,0,0,10.000000000000004,0,,33.485906324252824,20,34.0,42.03120125257102,36,54.75,40.99999999999999,17,41.0,0.3333333333333333,139025,0.0,0.0,12,0,0,0,0,0.0,17,17,23,21.0,74.0,2,25,23,3348,6.08863765001297,118.09990527108313
23,23,0,0,0,10.000000000000004,0,,33.87639288508652,20,37.0,42.56657859825385,10,54.0,41.0,14,41.0,0.3333333333333333,138761,0.0,0.0,12,0,0,0,0,0.0,20,20,24,54.0,74.0,3,20,24,1854,2.736841468140483,120.8367467392236
24,24,0,0,0,10.000000000000004,0,,33.974502223210074,35,34.42857142857143,42.719859212957566,3,53.0,41.00000000000001,20,41.0,0.3333333333333333,137740,0.0,0.0,16,0,0,0,0,0.0,11,11,25,36.0,70.0,2,22,25,2184,2.4004395995289087,123.23718633875252
25,25,0,0,0,10.000000000000004,0,,34.37038164309421,40,36.125,40.99188869798488,53,35.0,41.0,16,41.0,0.3333333333333333,134777,0.0,0.0,15,0,0,0,0,0.0,12,12,25,72.0,63.0,4,21,25,3956,2.5289372354745865,125.76612357422708
26,25,0,0,0,10.000000000000004,20,10.0,34.68394896817164,20,37.75,42.73636405110287,37,52.78378378378378,41.0,15,41.0,0.6166666666666667,132547,0.0,0.0,20,0,0,0,0,0.0,10,10,22,36.0,66.0,2,23,22,3523,2.5607255715876818,128.32684914581478
27,22,0,0,0,10.000000000000002,20,10.0,35.22230257478039,25,39.4,41.72114617629929,34,35.0,40.99999999999999,20,41.0,0.6666666666666666,131285,0.0,0.0,23,0,0,0,0,0.0,5,5,19,90.0,51.0,5,17,19,3195,2.645959312096238,130.972808457911
28,19,0,0,0,10.000000000000002,20,10.0,35.626631745967494,34,37.970588235294116,42.19076586139956,55,44.18181818181818,41.0,20,41.0,0.6666666666666666,128124,0.0,0.0,26,0,0,0,0,0.0,2,2,14,36.0,50.0,2,17,14,4741,6.232167951762676,137.20497640967372
29,14,0,0,0,10.000000000000002,20,10.0,35.87921935066929,21,38.38095238095238,44.67993490157346,80,52.75,41.0,20,41.0,0.6666666666666666,122374,0.0,0.0,21,0,0,0,0,0.0,1,1,15,18.0,39.0,1,13,15,6046,2.5246238186955448,139.72960022836924
30,15,0,0,0,10.000000000000002,20,10.0,35.79225609303037,10,34.0,45.44395459155025,42,51.0,41.0,20,41.0,0.6666666666666666,120770,0.0,0.0,18,0,0,0,0,0.0,2,2,20,36.0,39.0,2,13,20,3502,6.0976187493652105,145.82721897773442
31,20,0,0,0,10.000000000000002,20,10.0,35.555717920035,18,33.0,44.624460310863704,10,19.0,41.0,20,41.0,0.6666666666666666,120836,0.0,0.0,18,0,0,0,0,0.0,3,3,18,54.0,50.0,3,17,18,1804,2.6920583266764884,148.5192773044109
32,18,0,0,0,10.000000000000002,20,10.0,35.555717920035,0,,44.624460310863704,0,,41.0,20,41.0,0.6166666666666667,120758,0.0,0.0,16,0,0,0,0,0.0,4,4,18,72.0,40.0,4,14,18,1020,6.322108855471015,154.84138615988198
33,18,0,0,0,10.000000000000002,20,10.0,35.555717920035,0,,45.63283801783557,35,54.0,41.0,20,41.0,0.6666666666666666,120249,0.0,0.0,20,0,0,0,0,0.0,1,1,16,18.0,49.0,1,17,16,2910,6.212060108780861,161.0534462686628
34,16,0,0,0,10.000000000000002,20,10.0,35.358399204995116,16,33.0,46.18555259691986,33,51.09090909090909,41.0,20,41.0,0.6666666666666666,119042,0.0,0.0,21,0,0,0,0,0.0,2,2,17,36.0,42.0,2,14,17,3234,2.589962230995297,163.64340849965808
