index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
129,OTHER,T22,0,4,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
230,OTHER,T35,0,2,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
42,OTHER,T35,0,8,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
249,OTHER,T35,0,4,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
11,OTHER,T35,0,2,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
419,T35,T35,1,7,12,1,-1,1,03T35@1,05T35@2,18,1,-1,-1,2
421,T35,T35,1,6,12,1,-1,1,03T35@1,05T35@2,18,1,-1,-1,2
137,OTHER,T22,1,3,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
443,T35,T35,1,9,12,1,-1,1,03T35@1,05T35@2,18,1,-1,-1,2
447,T35,T35,1,7,12,1,-1,1,03T35@1,05T35@2,18,1,-1,-1,2
448,T35,T07,1,3,12,-1,-1,1,03T35@1,04T07@2,18,-1,-1,-1,2
430,T35,T35,1,7,12,1,-1,1,03T35@1,05T35@2,18,1,-1,-1,2
57,OTHER,T35,1,4,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
453,T24,T07,1,5,1,-1,-1,1,02T24@1,04T07@2,2,-1,-1,-1,2
454,T35,T07,1,4,12,-1,-1,1,03T35@1,04T07@2,18,-1,-1,-1,2
456,T35,T07,1,4,12,-1,-1,1,03T35@1,04T07@2,18,-1,-1,-1,2
457,T35,T35,1,11,12,-1,-1,1,03T35@1,05T35@2,18,-1,-1,-1,2
459,T35,T07,1,3,13,-1,-1,1,03T35@1,04T07@2,18,-1,-1,-1,2
460,T22,T35,1,9,28,-1,-1,1,01T22@0,03T35@1,18,-1,-1,-1,1
418,T35,T35,1,7,13,1,-1,1,03T35@1,05T35@2,18,1,-1,-1,2
24,OTHER,T35,1,5,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
437,T35,T35,1,7,12,1,-1,1,03T35@1,05T35@2,18,1,-1,-1,2
207,OTHER,T22,1,1,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
274,OTHER,T22,1,7,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
219,OTHER,T35,2,3,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
67,OTHER,T22,2,4,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
452,T35,T07,2,4,13,-1,-1,1,03T35@1,04T07@2,18,-1,-1,-1,2
470,T35,T35,2,7,9,2,-1,2,00T35@0,03T35@1,18,2,-1,-1,1
504,T24,T07,2,1,1,-1,-1,2,02T24@1,04T07@2,2,-1,-1,-1,2
485,T35,T35,2,8,12,2,-1,2,03T35@1,05T35@2,18,2,-1,-1,2
243,OTHER,T35,2,3,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
497,T35,T35,2,17,11,-1,-1,2,00T35@0,03T35@1,18,-1,-1,-1,1
499,T35,T07,2,5,12,-1,-1,2,03T35@1,04T07@2,18,-1,-1,-1,2
232,OTHER,T35,2,6,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
505,T35,T07,2,5,12,-1,-1,2,03T35@1,04T07@2,18,-1,-1,-1,2
156,OTHER,T22,2,4,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
408,T35,T35,2,7,13,1,-1,1,03T35@1,05T35@2,18,2,-1,-1,2
500,T35,T07,3,5,12,-1,-1,2,03T35@1,04T07@2,18,-1,-1,-1,2
343,T07,OTHER,3,6,37,-1,-1,-1,04T07@2,BUYER,0,-1,-1,-1,3
6,OTHER,T35,3,5,10,0,-1,-1,SELLER,00T35@0,0,3,-1,-1,0
200,T35,OTHER,3,6,37,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
461,T35,T07,3,4,13,-1,-1,1,03T35@1,04T07@2,18,-1,-1,-1,2
305,T07,OTHER,3,1,37,-1,-1,-1,04T07@2,BUYER,0,-1,-1,-1,3
506,T22,T35,3,5,11,-1,-1,2,01T22@0,03T35@1,18,-1,-1,-1,1
54,OTHER,T35,3,4,10,0,-1,-1,SELLER,00T35@0,0,3,-1,-1,0
481,T35,T35,3,7,10,2,-1,2,00T35@0,03T35@1,18,3,-1,-1,1
51,OTHER,T22,3,2,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
269,OTHER,T22,3,3,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
484,T35,T35,3,10,9,2,-1,2,00T35@0,03T35@1,18,3,-1,-1,1
398,T35,T07,3,5,12,1,-1,1,03T35@1,04T07@2,18,3,-1,-1,2
530,T24,T07,3,1,1,-1,-1,3,02T24@1,04T07@2,2,-1,-1,-1,2
425,T35,T35,3,9,12,1,-1,1,03T35@1,05T35@2,18,3,-1,-1,2
508,T35,T35,3,22,9,-1,-1,2,00T35@0,03T35@1,18,-1,-1,-1,1
495,T22,T35,3,10,28,-1,-1,2,01T22@0,03T35@1,18,-1,-1,-1,1
186,OTHER,T22,3,6,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
414,T35,T07,3,5,12,1,-1,1,03T35@1,04T07@2,18,3,-1,-1,2
502,T35,T07,3,5,12,-1,-1,2,03T35@1,04T07@2,18,-1,-1,-1,2
531,T22,T35,3,164,18,-1,-1,3,01T22@0,03T35@1,2,-1,-1,-1,1
177,T35,OTHER,3,7,37,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
507,T35,T07,4,5,12,-1,-1,2,03T35@1,04T07@2,18,-1,-1,-1,2
69,OTHER,T22,4,4,10,0,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
496,T35,T07,4,5,12,-1,-1,2,03T35@1,04T07@2,18,-1,-1,-1,2
518,T35,T07,4,1,12,3,-1,3,03T35@1,04T07@2,18,4,-1,-1,2
503,T35,T07,4,4,13,-1,-1,2,03T35@1,04T07@2,18,-1,-1,-1,2
93,OTHER,T22,4,5,10,0,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
455,T35,T07,4,5,13,-1,-1,1,03T35@1,04T07@2,18,-1,-1,-1,2
345,T07,OTHER,4,4,37,-1,-1,-1,04T07@2,BUYER,0,-1,-1,-1,3
159,OTHER,T35,4,7,10,0,-1,-1,SELLER,00T35@0,0,4,-1,-1,0
400,T35,T35,4,8,13,1,-1,1,03T35@1,05T35@2,18,4,-1,-1,2
403,T35,T35,4,6,13,1,-1,1,03T35@1,05T35@2,18,4,-1,-1,2
147,T35,OTHER,4,6,37,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
409,T35,T07,4,5,12,1,-1,1,03T35@1,04T07@2,18,4,-1,-1,2
188,T35,OTHER,4,2,37,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
300,T07,OTHER,4,4,37,-1,-1,-1,04T07@2,BUYER,0,-1,-1,-1,3
560,T24,T07,4,1,1,-1,-1,4,02T24@1,04T07@2,2,-1,-1,-1,2
39,OTHER,T22,4,2,10,0,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
543,T35,T35,4,7,12,4,-1,4,03T35@1,05T35@2,18,4,-1,-1,2
47,OTHER,T35,4,2,10,0,-1,-1,SELLER,00T35@0,0,4,-1,-1,0
559,T22,T35,4,351,18,-1,-1,4,01T22@0,03T35@1,2,-1,-1,-1,1
128,T35,OTHER,4,4,37,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
299,T07,OTHER,5,2,37,-1,-1,-1,04T07@2,BUYER,0,-1,-1,-1,3
312,T07,OTHER,5,7,37,-1,-1,-1,04T07@2,BUYER,0,-1,-1,-1,3
158,OTHER,T35,5,3,10,0,-1,-1,SELLER,00T35@0,0,5,-1,-1,0
