index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,trading_price_5,sold_quantity_5,unit_price_5,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,22.0,0,,29.0,0,,35.0,0,,46.0,0,,55.0,0,,0.0,639164,0.0,0.0,12,0,0,75,0,0.0,759,834,32,0.0,0.0,0,0,32,200,4.828196598216892,4.828196598216892
1,32,0,0,0,10.0,20,10.0,22.0,0,,26.0,6,3.5,33.3,5,18.0,49.9,5,85.0,55.0,0,,0.08,638257,0.0,0.0,16,0,0,6,0,0.0,33,39,13,179.0,152.0,15,17,13,736,31.829545732587576,36.65774233080447
2,13,0,0,0,10.0,20,10.0,22.0,0,,21.909849749582637,14,8.5,33.3,0,,48.85849056603774,8,43.0,55.0,0,,0.25999999999999995,637037,0.0,0.0,17,0,0,0,0,0.0,27,27,13,49.0,48.0,5,8,13,663,13.144407423213124,49.80214975401759
3,13,0,0,0,10.0,20,10.0,22.0,0,,15.719249798642275,33,5.606060606060606,29.179245283018865,8,6.0,49.99258649093905,13,54.153846153846146,55.0,0,,0.21,634546,0.0,0.0,18,0,0,0,0,0.0,29,29,13,57.0,62.0,4,9,13,1137,11.207871215417981,61.010020969435566
4,13,0,0,0,10.0,20,10.0,22.0,0,,16.31671511451125,4,28.0,29.179245283018865,0,,48.349207309693824,28,45.14285714285714,55.0,0,,0.16999999999999998,632385,0.0,0.0,17,0,0,3,0,0.0,26,29,11,78.0,38.0,5,8,11,1576,10.074251513928177,71.08427248336375
5,11,0,0,0,10.0,20,10.0,22.301886792452827,8,24.0,15.267069934557266,10,7.5,29.179245283018865,0,,48.349207309693824,0,,55.0,20,55.0,0.27,631938,0.0,0.0,27,0,0,5,0,0.0,21,26,11,44.0,31.0,5,6,11,1567,7.697513388469815,78.78178587183356
6,11,0,0,0,10.0,20,10.0,22.301886792452827,0,,13.370141590685687,20,6.2,26.711849192100534,8,12.0,48.349207309693824,0,,55.0,20,55.0,0.18,631105,0.0,0.0,23,0,0,5,0,0.0,18,23,13,39.0,70.0,3,8,13,1520,10.416608469560742,89.19839434139429
7,13,0,0,0,10.0,20,10.0,22.301886792452827,0,,13.451846397229874,11,14.090909090909092,25.385844748858446,9,18.0,48.349207309693824,0,,55.0,20,55.0,0.05,630677,0.0,0.0,32,0,0,0,0,0.0,27,27,11,51.0,44.0,4,9,11,1617,8.467511745169759,97.66590608656406
8,11,0,0,0,10.0,20,10.0,22.301886792452827,0,,13.213080846262343,4,8.0,25.385844748858446,0,,48.349207309693824,0,,55.0,20,55.0,0.04,630777,0.0,0.0,21,0,0,0,0,0.0,27,27,13,53.0,42.0,3,8,13,1332,10.714188285171987,108.38009437173605
9,13,0,0,0,10.000000000000002,20,10.0,22.301886792452827,0,,13.069906832238555,11,12.0,25.385844748858446,0,,48.349207309693824,0,,55.0,20,55.0,0.02,630315,0.0,0.0,27,0,0,0,0,0.0,28,28,13,75.0,37.0,6,7,13,1432,15.899697178974748,124.2797915507108
10,13,0,0,0,10.000000000000002,20,10.0,22.301886792452827,0,,12.616680304942669,13,9.692307692307693,25.204738879722953,8,24.0,48.349207309693824,0,,55.00000000000001,15,55.0,0.09,629326,0.0,0.0,26,0,0,0,0,0.0,27,27,13,54.0,42.0,5,8,13,1343,15.157520307227971,139.43731185793877
11,13,0,0,0,10.000000000000002,20,10.0,25.889081455805893,10,43.0,12.816128122073346,13,14.153846153846152,25.051987232012525,8,24.0,48.349207309693824,0,,55.00000000000001,16,55.0,0.13,628199,0.0,0.0,29,0,0,0,0,0.0,29,29,15,81.0,34.0,7,6,15,1886,21.486361149698496,160.92367300763726
12,15,0,0,0,10.000000000000002,20,10.0,25.889081455805893,0,,12.458037251693735,5,6.0,25.051987232012525,0,,47.77172622260607,9,43.0,55.00000000000001,15,55.0,0.26,627475,0.0,0.0,25,0,0,1,0,0.0,28,29,13,51.0,58.0,5,10,13,1442,23.69854501262307,184.6222180202604
13,13,0,0,0,10.000000000000002,20,10.0,27.143448990160536,6,38.0,12.458037251693735,0,,25.051987232012525,0,,48.082771590612104,8,51.0,55.0,15,55.0,0.08,627261,0.0,0.0,23,0,0,0,0,0.0,26,26,7,48.0,23.0,5,8,7,1661,14.341794161126018,198.96401218138638
14,7,0,0,0,10.000000000000002,20,10.0,27.143448990160536,0,,11.626008247817936,18,7.666666666666668,26.78746468928093,12,35.0,48.082771590612104,0,,55.0,14,55.0,0.1,625842,0.0,0.0,24,0,0,0,0,0.0,28,28,8,41.0,33.0,3,4,8,1528,11.415260719135404,210.37927290052173
15,8,0,0,0,10.000000000000002,20,10.0,27.143448990160536,0,,11.626008247817936,0,,26.78746468928093,0,,47.47173818569407,12,43.66666666666666,54.99999999999999,17,55.0,0.1,625433,0.0,0.0,28,0,0,0,0,0.0,25,25,9,17.0,37.0,2,6,9,1659,11.883964654058216,222.26323755458
16,9,0,0,0,10.000000000000002,20,10.0,27.143448990160536,0,,11.003993141821537,7,2.7142857142857144,27.40119057901593,5,35.0,47.47173818569407,0,,55.0,13,55.0,0.25,625090,0.0,0.0,23,0,0,0,0,0.0,25,25,12,42.0,37.0,3,6,12,1109,17.959285464137793,240.22252301871777
17,12,0,0,0,10.000000000000002,20,10.0,27.12436603089612,8,27.0,11.003993141821537,0,,27.54848697186027,13,28.23076923076923,47.53173075351717,10,48.0,55.0,17,55.0,0.28,624362,0.0,0.0,27,0,0,0,0,0.0,27,27,11,27.0,40.0,4,8,11,2198,11.07815557345748,251.30067859217525
18,11,0,0,0,10.000000000000002,20,10.0,28.322849214956108,19,31.73684210526316,11.003993141821537,0,,28.074019892517594,5,35.0,47.58419843170902,10,48.0,54.99999999999999,14,55.0,0.26,624019,0.0,0.0,21,0,0,0,0,0.0,27,27,11,38.0,33.0,4,7,11,2228,6.8805650006979695,258.1812435928732
19,11,0,0,0,10.000000000000002,20,10.0,28.39624218459668,8,29.0,10.27092740359127,8,2.0,29.0124316335314,10,35.0,47.63023279029091,10,48.0,54.99999999999999,16,55.0,0.27,623483,0.0,0.0,25,0,0,0,0,0.0,27,27,11,30.0,37.0,3,8,11,2158,8.239876611158254,266.42112020403147
20,11,0,0,0,10.000000000000002,20,10.0,28.587596349260718,9,30.0,10.27092740359127,0,,29.24667830526229,18,30.11111111111111,47.843610422515404,15,49.0,54.99999999999999,9,55.0,0.28,622801,0.0,0.0,24,0,0,3,0,0.0,26,29,11,59.0,34.0,5,6,11,2242,8.884929142892359,275.3060493469238
21,11,0,0,0,10.000000000000002,20,10.0,27.74180616390982,10,22.0,10.75401488823698,7,16.857142857142858,29.24667830526229,0,,47.87050649408585,18,48.0,54.99999999999999,15,55.0,0.18,621872,0.0,0.0,25,0,0,4,0,0.0,23,27,13,56.0,35.0,5,6,13,2227,9.878135228529572,285.1841845754534
22,13,0,0,0,10.000000000000002,20,10.0,27.311281918428435,7,23.0,11.185215904472091,16,13.5,29.24667830526229,0,,47.87050649408585,0,,54.99999999999999,15,55.0,0.22000000000000006,621045,0.0,0.0,25,0,0,6,0,0.0,21,27,11,57.0,40.0,5,8,11,1402,11.264613669365644,296.44879824481905
23,11,0,0,0,10.000000000000002,20,10.0,27.311281918428435,0,,11.874951966764867,10,18.2,28.583170413221445,11,24.0,47.87050649408585,0,,54.99999999999999,12,55.0,0.04,620383,0.0,0.0,25,0,0,4,0,0.0,23,27,11,59.0,36.0,5,6,11,1306,5.361616279929875,301.81041452474886
24,11,0,0,0,10.000000000000002,20,10.0,27.311281918428435,0,,11.877625870249936,2,12.0,28.206990157292985,7,24.0,47.87050649408585,0,,54.99999999999999,15,55.0,0.09,619882,0.0,0.0,23,0,0,0,0,0.0,29,29,11,70.0,34.0,6,5,11,1217,7.029521202668548,308.83993572741747
25,11,0,0,0,10.000000000000002,20,10.0,28.31285020606572,8,37.0,10.419814876590793,16,2.75,27.112218982560965,27,24.0,47.87050649408585,0,,54.99999999999998,15,55.0,0.0,617947,0.0,0.0,23,0,0,0,0,0.0,27,27,7,53.0,34.0,5,6,7,2013,7.144546838477254,315.9844825658947
26,7,0,0,0,10.000000000000002,20,10.0,28.31285020606572,0,,10.349392115809874,1,4.0,27.112218982560965,0,,47.87050649408585,0,,54.99999999999999,16,55.0,0.06999999999999999,617731,0.0,0.0,24,0,0,0,0,0.0,25,25,7,54.0,27.0,4,3,7,1084,5.694262718781829,321.6787452846765
27,7,0,0,0,10.000000000000002,20,10.0,28.740902986245853,7,33.0,10.090138970047164,3,3.0,27.112218982560965,0,,47.87050649408585,0,,54.99999999999999,17,55.0,0.11,617386,0.0,0.0,24,0,0,0,0,0.0,24,24,7,57.0,27.0,4,3,7,1375,6.809327764436603,328.4880730491132
28,7,0,0,0,10.000000000000002,20,10.0,30.897157478928328,17,39.647058823529406,9.116592566632038,13,3.3846153846153846,27.112218982560965,0,,47.87050649408585,0,,54.99999999999999,11,55.0,0.1,616590,0.0,0.0,24,0,0,0,0,0.0,31,31,7,58.0,27.0,4,3,7,1523,7.434534441679716,335.92260749079287
29,7,0,0,0,10.000000000000002,20,10.0,30.897157478928328,0,,9.116592566632038,0,,27.436218633745128,4,35.0,47.87050649408585,0,,54.99999999999999,14,55.0,0.16,616215,0.0,0.0,20,0,0,0,0,0.0,27,27,11,53.0,27.0,4,3,11,1110,9.583727357909085,345.50633484870195
30,11,0,0,0,10.000000000000002,20,10.0,31.336283942569853,6,37.0,8.992683765476219,2,4.0,27.844444532346806,5,35.0,47.8817999343276,9,48.0,54.99999999999998,16,55.0,0.27,616162,0.0,0.0,25,0,0,0,0,0.0,28,28,11,57.0,31.0,6,5,11,1917,12.5225821249187,358.0289169736206
31,11,0,0,0,10.000000000000002,20,10.0,31.57539252344285,14,32.857142857142854,9.857531509746623,9,17.0,28.24927174960888,5,35.0,47.89328942340745,10,48.0,54.99999999999999,15,55.0,0.19,615464,0.0,0.0,24,0,0,0,0,0.0,27,27,7,60.0,31.0,6,5,7,2293,12.82368889078498,370.8526058644056
32,7,0,0,0,10.000000000000002,20,10.0,31.57539252344285,0,,9.201162344976174,21,6.857142857142858,28.648533626781283,5,35.0,47.90369117706939,10,48.0,54.99999999999998,14,55.0,0.35,614378,0.0,0.0,27,0,0,0,0,0.0,27,27,11,53.0,27.0,4,3,11,1769,15.29249350167811,386.1450993660837
33,11,0,0,0,10.000000000000002,20,10.0,32.15850176660961,8,38.0,8.807206299999988,5,2.0,29.040183167383127,5,35.0,47.913102758001955,10,48.0,54.99999999999998,11,55.0,0.24,614103,0.0,0.0,22,0,0,0,0,0.0,28,28,11,54.0,37.0,4,7,11,1774,16.020385466516018,402.1654848325997
34,11,0,0,0,10.000000000000002,20,10.0,32.15850176660961,0,,8.621885123912405,2,1.0,29.42233301439473,5,35.0,47.92161399223976,10,48.0,54.99999999999998,18,55.0,0.22000000000000006,613725,0.0,0.0,25,0,0,0,0,0.0,30,30,15,56.0,15.0,6,5,15,1847,20.6650796290487,422.83056446164846
35,15,0,0,0,10.0,20,10.0,32.15850176660961,0,,8.621885123912405,0,,29.793288487925988,5,35.0,47.92930738792811,10,48.0,54.99999999999999,17,55.0,0.29,613466,0.0,0.0,22,0,0,1,0,0.0,31,32,11,81.0,14.0,9,6,11,1790,24.03996216133237,446.8705266229808
36,11,0,0,0,10.0,20,10.0,32.15850176660961,0,,8.025139965800475,10,3.5,29.27964569792098,17,27.235294117647058,47.93625857219943,10,48.0,54.99999999999999,16,55.0,0.48,612812,0.0,0.0,29,0,0,0,0,0.0,29,29,11,55.0,34.0,5,6,11,2058,21.503168562427163,468.373695185408
37,11,0,0,0,10.0,20,10.0,32.19083524171316,18,32.333333333333336,10.53028169483952,16,22.625,27.86888981760066,42,25.309523809523807,47.94253673484696,10,48.0,54.99999999999999,13,55.0,0.29,610423,0.0,0.0,32,0,0,0,0,0.0,31,31,15,63.0,10.0,7,4,15,3402,11.58637073636055,479.96006592176855
38,15,0,0,0,10.0,20,10.0,32.19083524171316,0,,11.20804168840685,15,15.0,27.30011486607367,35,25.57142857142857,47.94820506994566,10,48.0,54.99999999999999,9,55.0,0.27,608941,0.0,0.0,23,0,0,1,0,0.0,29,30,19,76.0,14.0,9,6,19,2295,16.125815531238914,496.0858814530074
39,19,0,0,0,10.0,20,10.0,31.214667671688446,21,27.142857142857146,11.20804168840685,0,,27.591251315599703,5,35.0,47.95332120864895,10,48.0,54.99999999999999,20,55.0,0.19,608710,0.0,0.0,27,0,0,3,0,0.0,32,35,11,74.0,23.0,10,9,11,2525,16.709655597805973,512.7955370508133
