,balance,assets,bankrupt,agent_id,step
0,21533.0,120.0,False,00T20@0,0.0
1,21073.0,580.0,False,00T20@0,5.0
2,20453.0,1200.0000000000002,False,00T20@0,10.0
3,19983.0,1670.0000000000002,False,00T20@0,15.0
4,19453.0,2200.0000000000005,False,00T20@0,20.0
5,18903.0,2750.0000000000005,False,00T20@0,25.0
6,18433.0,3220.0000000000005,False,00T20@0,30.0
7,17883.0,3770.0,False,00T20@0,35.0
8,17403.0,4249.999999999999,False,00T20@0,40.0
9,16903.0,4750.0,False,00T20@0,45.0
10,16493.0,5160.0,False,00T20@0,50.0
11,15993.0,5660.000000000001,False,00T20@0,55.0
12,15503.0,6150.000000000001,False,00T20@0,60.0
13,14983.0,6670.0,False,00T20@0,65.0
14,14413.0,7240.0,False,00T20@0,70.0
15,13903.0,7750.0,False,00T20@0,75.0
16,13403.0,8250.0,False,00T20@0,80.0
17,12863.0,8790.0,False,00T20@0,85.0
18,21573.0,160.0,False,01T22@0,0.0
19,22223.0,281.56562541082246,False,01T22@0,5.0
20,20954.0,226.81110259387947,False,01T22@0,10.0
21,19061.0,340.38781104396423,False,01T22@0,15.0
22,19771.0,607.4369430564773,False,01T22@0,20.0
23,20262.0,1166.6637160563546,False,01T22@0,25.0
24,21852.0,388.6201035386337,False,01T22@0,30.0
25,22648.0,251.7962300474896,False,01T22@0,35.0
26,23171.0,693.5694188947525,False,01T22@0,40.0
27,24476.0,333.77739056017225,False,01T22@0,45.0
28,25512.0,428.5494838960634,False,01T22@0,50.0
29,26175.0,717.0674386057614,False,01T22@0,55.0
30,27556.0,443.3950623311158,False,01T22@0,60.0
31,27630.0,1288.3224010722004,False,01T22@0,65.0
32,28941.0,1029.17159405143,False,01T22@0,70.0
33,30555.0,339.37324082367286,False,01T22@0,75.0
34,31329.0,345.192987895964,False,01T22@0,80.0
35,31474.0,1163.095985087624,False,01T22@0,85.0
36,31667.0,0.0,False,02T40@1,0.0
37,31182.0,400.0041534945863,False,02T40@1,5.0
38,30757.0,1666.3859312215975,False,02T40@1,10.0
39,25589.0,1348.665025903586,False,02T40@1,15.0
40,22164.0,3453.1752436269453,False,02T40@1,20.0
41,18719.0,3432.5698350867224,False,02T40@1,25.0
42,15684.0,4182.9449677829625,False,02T40@1,30.0
43,16168.0,4435.308113991819,False,02T40@1,35.0
44,16275.0,4471.577559467665,False,02T40@1,40.0
45,16015.0,5074.937574711657,False,02T40@1,45.0
46,13318.0,5926.098043625953,False,02T40@1,50.0
47,12764.0,6024.246704206643,False,02T40@1,55.0
48,10621.0,6324.571081728367,False,02T40@1,60.0
49,9986.0,6722.810284227134,False,02T40@1,65.0
50,6603.0,7938.1784157090915,False,02T40@1,70.0
51,6866.0,7886.341615552911,False,02T40@1,75.0
52,6698.0,8435.913501340181,False,02T40@1,80.0
53,6078.0,9290.402265176206,False,02T40@1,85.0
54,31667.0,0.0,False,03T35@1,0.0
55,25040.0,1159.5150019719474,False,03T35@1,5.0
56,17394.0,4394.465112756415,False,03T35@1,10.0
57,-15013.0,8043.7423659178085,False,03T35@1,15.0
58,-22799.222222222223,8136.00166133221,True,03T35@1,20.0
59,-22799.222222222223,8215.278188400262,True,03T35@1,25.0
60,-22799.222222222223,8047.314056683462,True,03T35@1,30.0
61,-22799.222222222223,7749.728413683846,True,03T35@1,35.0
62,-22799.222222222223,7871.249088428107,True,03T35@1,40.0
63,-22799.222222222223,7860.63371851677,True,03T35@1,45.0
64,-22799.222222222223,7992.820703920956,True,03T35@1,50.0
65,-22799.222222222223,7992.3840246897935,True,03T35@1,55.0
66,-22799.222222222223,8127.0432265719055,True,03T35@1,60.0
67,-22799.222222222223,8021.3826274249905,True,03T35@1,65.0
68,-22799.222222222223,8135.1676227953385,True,03T35@1,70.0
69,-22799.222222222223,8015.638770815737,True,03T35@1,75.0
70,-22799.222222222223,7899.845764718203,True,03T35@1,80.0
71,-22799.222222222223,7915.939696731795,True,03T35@1,85.0
72,49463.0,0.0,False,04T22@2,0.0
73,49844.0,1007.3914849345473,False,04T22@2,5.0
74,47404.0,3878.4020920965386,False,04T22@2,10.0
75,39863.0,11988.670276399404,False,04T22@2,15.0
76,37592.0,14733.919019093335,False,04T22@2,20.0
77,35028.0,18825.84210759443,False,04T22@2,25.0
78,33811.0,21283.818082498357,False,04T22@2,30.0
79,33281.0,22755.90809040915,False,04T22@2,35.0
80,31688.0,25399.858969040673,False,04T22@2,40.0
81,31193.0,26758.018297503615,False,04T22@2,45.0
82,29284.0,27718.312776995663,False,04T22@2,50.0
83,28961.0,28425.820907301197,False,04T22@2,55.0
84,27944.0,30471.582277765385,False,04T22@2,60.0
85,27349.0,31180.20348692785,False,04T22@2,65.0
86,23676.0,36003.816497789085,False,04T22@2,70.0
87,22823.0,36884.4475547558,False,04T22@2,75.0
88,20371.0,39327.891083043454,False,04T22@2,80.0
89,22336.0,37449.73579448711,False,04T22@2,85.0
90,49463.0,0.0,False,05T35@2,0.0
91,47734.0,1634.7995838474396,False,05T35@2,5.0
92,43945.0,4901.685838194062,False,05T35@2,10.0
93,34319.0,14259.966502127749,False,05T35@2,15.0
94,30842.0,17619.687595347386,False,05T35@2,20.0
95,25018.0,24140.421292072886,False,05T35@2,25.0
96,21366.0,28789.84064655584,False,05T35@2,30.0
97,19199.0,31402.960418654966,False,05T35@2,35.0
98,15447.0,35232.881928409886,False,05T35@2,40.0
99,11273.0,39653.67367735047,False,05T35@2,45.0
100,7681.0,39030.26538441002,False,05T35@2,50.0
101,4926.0,41053.98784253083,False,05T35@2,55.0
102,188.0,46155.14481412106,False,05T35@2,60.0
103,-13039.0,46914.875698895165,False,05T35@2,65.0
104,-57964.0,50174.13840857586,True,05T35@2,70.0
105,-57964.0,49172.280176117005,True,05T35@2,75.0
106,-57964.0,48087.15588083337,True,05T35@2,80.0
107,-57964.0,47346.86252910861,True,05T35@2,85.0
108,,,,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,,,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
