index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
45,OTHER,T35,0,1,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
99,OTHER,T35,0,4,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
4,OTHER,T35,0,1,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
147,OTHER,T22,0,3,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
240,OTHER,T22,0,3,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
139,OTHER,T35,0,5,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
298,OTHER,T22,0,3,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
464,T35,T35,1,7,12,1,-1,1,03T35@1,05T35@2,18,1,-1,-1,2
182,OTHER,T35,1,2,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
475,T35,T35,1,10,12,1,-1,1,03T35@1,05T35@2,18,1,-1,-1,2
474,T35,T35,1,5,12,1,-1,1,03T35@1,05T35@2,18,1,-1,-1,2
473,T35,T35,1,7,12,1,-1,1,03T35@1,05T35@2,18,1,-1,-1,2
242,OTHER,T22,1,2,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
344,OTHER,T35,1,3,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
362,OTHER,T22,1,6,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
461,T35,T35,1,6,12,1,-1,1,03T35@1,05T35@2,18,1,-1,-1,2
371,OTHER,T22,1,1,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
463,T35,T35,1,4,13,1,-1,1,03T35@1,05T35@2,18,1,-1,-1,2
32,OTHER,T35,1,3,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
484,T22,T35,1,10,22,-1,-1,1,01T22@0,03T35@1,18,-1,-1,-1,1
468,T35,T35,1,6,13,1,-1,1,03T35@1,05T35@2,18,1,-1,-1,2
450,T35,T17,1,5,12,1,-1,1,03T35@1,04T17@2,18,1,-1,-1,2
433,T35,T35,1,7,12,1,-1,1,03T35@1,05T35@2,18,1,-1,-1,2
449,T35,T17,1,5,12,1,-1,1,03T35@1,04T17@2,18,1,-1,-1,2
435,T35,T35,1,7,12,1,-1,1,03T35@1,05T35@2,18,1,-1,-1,2
488,T35,T17,1,93010,1,-1,-1,1,03T35@1,04T17@2,2,-1,-1,-1,2
208,OTHER,T35,1,3,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
326,OTHER,T22,2,3,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
511,T35,T35,2,5,8,2,-1,2,00T35@0,03T35@1,18,2,-1,-1,1
470,T35,T35,2,8,12,1,-1,1,03T35@1,05T35@2,18,2,-1,-1,2
498,T35,T35,2,4,8,2,-1,2,00T35@0,03T35@1,18,2,-1,-1,1
200,OTHER,T35,2,2,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
237,OTHER,T22,2,5,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
460,T35,T35,2,6,13,1,-1,1,03T35@1,05T35@2,18,2,-1,-1,2
519,T35,T35,2,14,9,-1,-1,2,00T35@0,03T35@1,18,-1,-1,-1,1
27,OTHER,T35,2,4,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
329,OTHER,T35,2,2,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
320,OTHER,T22,2,1,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
