,balance,assets,bankrupt,agent_id,step
0,26312.0,136.0,False,00T26@0,0.0
1,26353.0,434.7001624506847,False,00T26@0,5.0
2,26650.0,183.1916362283761,False,00T26@0,10.0
3,26412.0,677.9114743377422,False,00T26@0,15.0
4,26227.0,1294.5060124222646,False,00T26@0,20.0
5,25792.0,2169.634550493509,False,00T26@0,25.0
6,25700.0,2863.4020552823217,False,00T26@0,30.0
7,25700.0,3583.1142376216344,False,00T26@0,35.0
8,25500.0,4490.1468533920415,False,00T26@0,40.0
9,25862.0,4424.65359954808,False,00T26@0,45.0
10,26815.0,3147.107743282145,False,00T26@0,50.0
11,26463.0,4075.982531476495,False,00T26@0,55.0
12,27319.0,3086.247699874461,False,00T26@0,60.0
13,26918.0,4031.5772835724574,False,00T26@0,65.0
14,26981.0,4388.437074117636,False,00T26@0,70.0
15,26568.0,5235.459075681796,False,00T26@0,75.0
16,26316.0,6457.089176634406,False,00T26@0,80.0
17,25868.0,7521.893961259699,False,00T26@0,85.0
18,27274.0,5655.402151604252,False,00T26@0,90.0
19,26882.0,6631.6500546470015,False,00T26@0,95.0
20,26843.0,7228.421104874285,False,00T26@0,100.0
21,26408.0,7656.654375738701,False,00T26@0,105.0
22,26295.0,7945.3356349143705,False,00T26@0,110.0
23,26272.0,190.0,False,01T22@0,0.0
24,26681.0,399.10013419839163,False,01T22@0,5.0
25,26229.0,233.1916362283761,False,01T22@0,10.0
26,26621.0,444.1238721802523,False,01T22@0,15.0
27,27205.0,567.6454338952562,False,01T22@0,20.0
28,28197.0,337.7102214358849,False,01T22@0,25.0
29,28339.0,797.1118499657588,False,01T22@0,30.0
30,28709.0,1165.4248525845887,False,01T22@0,35.0
31,29477.0,1233.8754680282934,False,01T22@0,40.0
32,30483.0,985.8466911823973,False,01T22@0,45.0
33,30033.0,1788.5412067887264,False,01T22@0,50.0
34,31671.0,1101.649785891629,False,01T22@0,55.0
35,32333.0,1115.2264960615062,False,01T22@0,60.0
36,33539.0,812.0476939121039,False,01T22@0,65.0
37,34056.0,976.5026592329848,False,01T22@0,70.0
38,34937.0,818.1033358987138,False,01T22@0,75.0
39,35674.0,932.8747952840148,False,01T22@0,80.0
40,36518.0,880.7752939319032,False,01T22@0,85.0
41,36837.0,1147.4985376943825,False,01T22@0,90.0
42,37879.0,987.946162253385,False,01T22@0,95.0
43,38802.0,740.774583540018,False,01T22@0,100.0
44,38362.0,1612.2919017212994,False,01T22@0,105.0
45,38192.0,1901.2832539667472,False,01T22@0,110.0
46,38268.0,0.0,False,02T22@1,0.0
47,37783.0,621.9391251466636,False,02T22@1,5.0
48,36778.0,1523.0781564636468,False,02T22@1,10.0
49,36890.0,2120.697672732399,False,02T22@1,15.0
50,34551.0,2603.2366548089717,False,02T22@1,20.0
51,28739.0,3142.703507791957,False,02T22@1,25.0
52,27742.0,3167.6309115940508,False,02T22@1,30.0
53,24775.0,3452.488548481851,False,02T22@1,35.0
54,25064.0,3896.0837884618986,False,02T22@1,40.0
55,22413.0,5500.745939028884,False,02T22@1,45.0
56,19398.0,6566.514163327363,False,02T22@1,50.0
57,19223.0,7085.509310493813,False,02T22@1,55.0
58,18666.0,8344.322943334564,False,02T22@1,60.0
59,18757.0,9257.096574937455,False,02T22@1,65.0
60,17924.0,11107.30675670249,False,02T22@1,70.0
61,19966.0,10203.483484577842,False,02T22@1,75.0
62,19758.0,11706.552881376292,False,02T22@1,80.0
63,19993.0,11271.4769322864,False,02T22@1,85.0
64,17628.0,13828.370402937939,False,02T22@1,90.0
65,18501.0,14294.374038599908,False,02T22@1,95.0
66,19622.0,14114.551055461985,False,02T22@1,100.0
67,19608.0,14091.728979950756,False,02T22@1,105.0
68,19746.0,14468.007385073692,False,02T22@1,110.0
69,38268.0,0.0,False,03T35@1,0.0
70,29514.0,548.1002048291241,False,03T35@1,5.0
71,8409.0,3718.790215436035,False,03T35@1,10.0
72,-25838.80555555556,4885.362593982775,True,03T35@1,15.0
73,-25838.80555555556,5037.936843537032,True,03T35@1,20.0
74,-25838.80555555556,5181.91787645493,True,03T35@1,25.0
75,-25838.80555555556,5313.764811928027,True,03T35@1,30.0
76,-25838.80555555556,5533.382111841194,True,03T35@1,35.0
77,-25838.80555555556,5737.409868223164,True,03T35@1,40.0
78,-25838.80555555556,5623.935183003407,True,03T35@1,45.0
79,-25838.80555555556,4972.537640852174,True,03T35@1,50.0
80,-25838.80555555556,5266.61560452122,True,03T35@1,55.0
81,-25838.80555555556,4988.121221222328,True,03T35@1,60.0
82,-25838.80555555556,5219.373330278922,True,03T35@1,65.0
83,-25838.80555555556,5256.493037998833,True,03T35@1,70.0
84,-25838.80555555556,5307.183179035246,True,03T35@1,75.0
85,-25838.80555555556,5647.433080171394,True,03T35@1,80.0
86,-25838.80555555556,5730.9512990729345,True,03T35@1,85.0
87,-25838.80555555556,5278.4932733941605,True,03T35@1,90.0
88,-25838.80555555556,5433.703892393617,True,03T35@1,95.0
89,-25838.80555555556,5512.234401047781,True,03T35@1,100.0
90,-25838.80555555556,5229.6134760960085,True,03T35@1,105.0
91,-25838.80555555556,5063.417507932495,True,03T35@1,110.0
92,47593.0,0.0,False,04T37@2,0.0
93,47482.0,722.3189986676016,False,04T37@2,5.0
94,39520.0,8123.721832253458,False,04T37@2,10.0
95,36343.0,11733.061742721417,False,04T37@2,15.0
96,35997.0,13812.54186420962,False,04T37@2,20.0
97,34584.0,16678.840258744425,False,04T37@2,25.0
98,31838.0,19870.93683365201,False,04T37@2,30.0
99,29695.0,22236.34555258458,False,04T37@2,35.0
100,27850.0,24237.734082823004,False,04T37@2,40.0
101,26306.0,25657.68050790375,False,04T37@2,45.0
102,25262.0,26095.04080730868,False,04T37@2,50.0
103,24608.0,26137.831002844123,False,04T37@2,55.0
104,23905.0,26772.706430636845,False,04T37@2,60.0
105,21245.0,29463.534761448438,False,04T37@2,65.0
106,19869.0,30840.48695196093,False,04T37@2,70.0
107,17475.0,33374.551025270935,False,04T37@2,75.0
108,17431.0,33245.15333748605,False,04T37@2,80.0
109,15249.0,33882.60818166976,False,04T37@2,85.0
110,16315.0,32691.019496659912,False,04T37@2,90.0
111,14756.0,34629.86988665628,False,04T37@2,95.0
112,12731.0,36246.757789476746,False,04T37@2,100.0
113,13022.0,35036.385401419066,False,04T37@2,105.0
114,14429.0,33476.69503062241,False,04T37@2,110.0
115,47593.0,0.0,False,05T35@2,0.0
116,44982.0,2405.1941588943428,False,05T35@2,5.0
117,40242.0,7872.090183685966,False,05T35@2,10.0
118,34418.0,13348.524520275745,False,05T35@2,15.0
119,27661.0,20211.991965803143,False,05T35@2,20.0
120,19482.0,29594.588360078167,False,05T35@2,25.0
121,14768.0,34757.422000624654,False,05T35@2,30.0
122,9439.0,40774.55883237461,False,05T35@2,35.0
123,3950.0,46871.590021625314,False,05T35@2,40.0
124,-1224.0,50898.73764865602,False,05T35@2,45.0
125,-47512.0,49315.51276861505,True,05T35@2,50.0
126,-47512.0,47384.946208474124,True,05T35@2,55.0
127,-47512.0,47818.35300686802,True,05T35@2,60.0
128,-47512.0,48753.990258307196,True,05T35@2,65.0
129,-47512.0,49653.50561832279,True,05T35@2,70.0
130,-47512.0,51056.165851462785,True,05T35@2,75.0
131,-47512.0,51507.733069096306,True,05T35@2,80.0
132,-47512.0,48179.46555085997,True,05T35@2,85.0
133,-47512.0,48433.53173236532,True,05T35@2,90.0
134,-47512.0,50213.98977482785,True,05T35@2,95.0
135,-47512.0,50010.553201612274,True,05T35@2,100.0
136,-47512.0,48344.667149231056,True,05T35@2,105.0
137,-47512.0,48537.207578764835,True,05T35@2,110.0
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,,,,,
164,,,,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,,,,,
