index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,33.0,0,,43.0,0,,0.0,206976,0.0,0.0,7,0,0,71,0,0.0,338,409,35,0.0,0.0,0,0,35,200,0.3300114721059799,0.3300114721059799
1,35,0,0,0,10.0,20,10.0,20.375,3,11.0,33.0,0,,43.0,0,,0.1,206698,0.0,0.0,10,0,0,5,0,0.0,33,38,19,440.0,82.0,24,11,19,233,29.71080200001597,30.040813472121954
2,19,0,0,0,10.0,20,10.0,19.82867132867133,14,18.142857142857142,30.73584905660377,8,18.0,43.0,0,,0.4,206008,0.0,0.0,14,0,0,1,0,0.0,22,23,19,130.0,29.0,7,12,19,598,52.424975832924254,82.4657893050462
3,19,0,0,0,10.0,20,10.0,19.8931718061674,3,21.0,32.148936170212764,4,49.0,43.0,20,43.0,0.15,205937,0.0,0.0,17,0,0,1,0,0.0,19,20,26,109.0,37.0,6,13,26,1319,11.726316142827272,94.19210544787347
4,26,0,0,0,10.0,20,10.0,19.788090209684718,4,18.5,32.148936170212764,0,,43.0,20,43.0,0.10000000000000002,205661,0.0,0.0,17,0,0,3,0,0.0,21,24,31,166.0,62.0,10,16,31,1134,18.555824577808377,112.74793002568184
5,31,0,0,0,10.0,20,10.0,19.688486877716088,4,18.5,34.62112598569595,8,49.0,43.0,9,43.0,0.2333333333333333,205313,0.0,0.0,16,0,0,3,0,0.0,24,27,35,163.0,80.0,13,18,35,1053,28.88698713667691,141.63491716235873
6,35,0,0,0,10.0,20,10.0,19.76788282812628,3,21.0,35.78011191288128,4,50.0,43.0,11,43.0,0.15,205406,0.0,0.0,13,0,0,3,0,0.0,23,26,41,172.0,117.0,11,24,41,936,74.02296873740852,215.65788589976725
7,41,0,0,0,10.0,20,10.0,19.66353103625144,4,18.5,38.56814284256298,12,49.66666666666666,43.0,8,43.0,0.30000000000000004,204991,0.0,0.0,17,0,0,2,0,0.0,21,23,37,183.0,133.0,12,29,37,1214,76.62546958401798,292.28335548378533
8,37,0,0,0,10.0,20,10.0,18.848750247419925,9,14.888888888888891,39.80735632044952,19,43.31578947368421,42.99999999999999,10,43.0,0.45,204330,0.0,0.0,18,0,0,2,0,0.0,20,22,35,131.0,147.0,8,29,35,1587,81.79946732707322,374.08282281085854
9,35,0,0,0,10.000000000000002,20,10.0,17.106407244031818,16,11.9375,40.10249139869356,26,40.846153846153854,42.99999999999999,10,43.0,0.5,203483,0.0,0.0,20,0,0,7,0,0.0,18,25,32,136.0,146.0,10,25,32,1883,90.9929337259382,465.07575653679675
