index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,13,10.0,13.0,0,,19.0,0,,26.0,0,,0.21666666666666667,246466,0.0,0.0,8,0,0,286,0,0.0,620,906,142,0.0,0.0,0,0,142,130,7.731441872194409,7.731441872194409
1,142,0,0,0,10.0,15,10.0,12.625,3,7.0,16.866666666666667,15,10.466666666666667,26.0,0,,0.3,245894,0.0,0.0,15,0,0,14,0,0.0,74,88,93,1296.0,1095.0,72,70,93,328,6.161969125270844,13.893410997465253
2,93,0,0,0,10.0,20,10.0,12.625,0,,14.525842696629214,35,10.914285714285716,26.0,0,,0.5,244485,0.0,0.0,15,0,0,15,0,0.0,27,42,52,369.0,282.0,23,70,52,582,1.7429787795990703,15.636389777064323
3,52,0,0,0,10.0,15,10.0,12.625,0,,13.714346439957492,14,9.071428571428571,26.0,20,26.0,0.4166666666666667,244190,0.0,0.0,18,0,0,12,0,0.0,20,32,38,258.0,145.0,16,36,38,797,1.6212376039475205,17.257627381011847
4,38,0,0,0,10.0,12,10.0,15.669724770642205,44,18.65909090909091,13.335670067137507,30,12.266666666666667,26.0,20,26.0,0.5,243252,0.0,0.0,24,0,0,12,0,0.0,20,32,36,210.0,79.0,15,23,36,1829,1.983151871711016,19.24077925272286
5,36,0,0,0,10.0,9,10.0,15.669724770642205,0,,14.22641372424435,40,16.525,26.0,20,26.0,0.4166666666666667,242635,0.0,0.0,22,0,0,11,0,0.0,15,26,29,147.0,87.0,9,27,29,1271,1.4060641769319773,20.64684342965484
6,29,0,0,0,10.0,12,10.0,16.908419023136247,46,19.02173913043478,14.713183223229928,27,17.037037037037038,26.0,20,26.0,0.5,241595,0.0,0.0,27,0,0,10,0,0.0,19,29,27,180.0,72.0,10,19,27,1975,3.909773331135512,24.55661676079035
7,27,0,0,0,10.000000000000002,9,10.0,17.315735631471266,17,20.0,15.380796297919884,35,18.057142857142857,26.0,20,26.0,0.5,240816,0.0,0.0,21,0,0,12,0,0.0,14,26,19,129.0,68.0,8,19,19,1582,1.1047750655561686,25.66139182634652
8,19,0,0,0,10.000000000000002,10,10.0,17.571584924341387,18,19.222222222222218,16.57578683790108,72,19.19444444444445,26.0,20,26.0,0.4666666666666666,238792,0.0,0.0,27,0,0,10,0,0.0,17,27,16,147.0,45.0,9,10,16,2348,0.8738468401134014,26.53523866645992
9,16,0,0,0,10.000000000000002,9,10.0,18.124655780454678,42,19.714285714285715,16.648407038567886,74,16.85135135135135,26.0,20,26.0,0.5,236230,0.0,0.0,28,0,0,13,0,0.0,15,28,18,111.0,72.0,7,9,18,2685,1.00358484685421,27.538823513314128
10,18,0,0,0,10.000000000000002,13,10.0,18.298441158634084,32,19.09375,17.231326370767277,124,18.41935483870968,26.0,20,26.0,0.5,229841,0.0,0.0,27,0,0,10,0,0.0,19,29,21,162.0,42.0,9,9,21,3545,1.363341711461544,28.902165224775672
