,balance,assets,bankrupt,agent_id,step
0,13814.0,100.0,False,00T19@0,0.0
1,13254.0,660.0,False,00T19@0,5.0
2,12734.0,1180.0000000000002,False,00T19@0,10.0
3,12194.0,1720.0000000000002,False,00T19@0,15.0
4,11654.0,2260.0000000000005,False,00T19@0,20.0
5,11174.0,2740.0000000000005,False,00T19@0,25.0
6,10664.0,3249.9999999999995,False,00T19@0,30.0
7,10174.0,3740.0,False,00T19@0,35.0
8,9704.0,4210.0,False,00T19@0,40.0
9,9234.0,4680.000000000001,False,00T19@0,45.0
10,8794.0,5120.0,False,00T19@0,50.0
11,8254.0,5660.0,False,00T19@0,55.0
12,13814.0,180.0,False,01T26@0,0.0
13,13802.0,357.248010704728,False,01T26@0,5.0
14,14778.0,262.93408759248246,False,01T26@0,10.0
15,15494.0,242.01374612925582,False,01T26@0,15.0
16,16091.0,117.25838799872005,False,01T26@0,20.0
17,16403.0,212.86575250434086,False,01T26@0,25.0
18,16937.0,281.4712368061019,False,01T26@0,30.0
19,17820.0,298.3859346809851,False,01T26@0,35.0
20,18376.0,322.3107079074718,False,01T26@0,40.0
21,19124.0,354.77909717502763,False,01T26@0,45.0
22,19729.0,411.4408833902933,False,01T26@0,50.0
23,20266.0,483.8319531475357,False,01T26@0,55.0
24,16929.0,0.0,False,02T26@1,0.0
25,16681.0,264.0,False,02T26@1,5.0
26,15766.0,1035.173635036993,False,02T26@1,10.0
27,14603.0,2069.201374612925,False,02T26@1,15.0
28,13308.0,3286.7100655984636,False,02T26@1,20.0
29,12100.0,4435.214002226081,False,02T26@1,25.0
30,10837.0,5466.735618403051,False,02T26@1,30.0
31,9574.0,6495.677186936197,False,02T26@1,35.0
32,8353.0,7574.693212372243,False,02T26@1,40.0
33,7190.0,8611.911638870011,False,02T26@1,45.0
34,6040.0,9710.576353356115,False,02T26@1,50.0
35,5183.0,10428.0,False,02T26@1,55.0
36,16929.0,0.0,False,03T26@1,0.0
37,16749.0,440.0,False,03T26@1,5.0
38,15586.0,1474.8802262777447,False,03T26@1,10.0
39,14368.0,2625.2082476775536,False,03T26@1,15.0
40,13073.0,3843.9684535971837,False,03T26@1,20.0
41,11910.0,4875.214002226081,False,03T26@1,25.0
42,10492.0,6268.942473612205,False,03T26@1,30.0
43,9184.0,7432.449056298166,False,03T26@1,35.0
44,7873.0,8737.163194513163,False,03T26@1,40.0
45,6710.0,9771.381472090075,False,03T26@1,45.0
46,5605.0,10741.314031797674,False,03T26@1,50.0
47,4613.0,11781.36473440655,False,03T26@1,55.0
48,24210.0,0.0,False,04T19@2,0.0
49,23794.0,0.0,False,04T19@2,5.0
50,23093.0,0.0,False,04T19@2,10.0
51,22507.0,0.0,False,04T19@2,15.0
52,21856.0,0.0,False,04T19@2,20.0
53,21173.0,0.0,False,04T19@2,25.0
54,20543.0,0.0,False,04T19@2,30.0
55,19670.0,0.0,False,04T19@2,35.0
56,18861.0,0.0,False,04T19@2,40.0
57,18122.0,0.0,False,04T19@2,45.0
58,17263.0,0.0,False,04T19@2,50.0
59,16413.0,0.0,False,04T19@2,55.0
60,24210.0,0.0,False,05T19@2,0.0
61,23826.0,0.0,False,05T19@2,5.0
62,23137.0,0.0,False,05T19@2,10.0
63,22342.0,0.0,False,05T19@2,15.0
64,21661.0,0.0,False,05T19@2,20.0
65,20975.0,0.0,False,05T19@2,25.0
66,20212.0,0.0,False,05T19@2,30.0
67,19739.0,0.0,False,05T19@2,35.0
68,19141.0,0.0,False,05T19@2,40.0
69,18527.0,0.0,False,05T19@2,45.0
70,17984.0,0.0,False,05T19@2,50.0
71,17475.0,0.0,False,05T19@2,55.0
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
