index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
41,OTHER,T22,0,2,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
46,OTHER,T22,0,4,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
547,OTHER,T22,0,3,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
540,OTHER,T22,0,1,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
602,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
455,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
291,OTHER,T22,0,1,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
518,OTHER,T22,0,1,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
74,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
698,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
662,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
448,OTHER,T22,0,2,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
902,T22,T36,1,5,9,-1,-1,1,01T22@0,03T36@1,17,-1,-1,-1,1
839,T35,T35,1,3,19,1,-1,1,05T35@2,07T35@3,17,1,-1,-1,3
603,OTHER,T22,1,1,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
133,OTHER,T22,1,1,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
840,T35,T35,1,5,19,1,-1,1,05T35@2,06T35@3,17,1,-1,-1,3
771,T35,T35,1,5,19,1,-1,1,05T35@2,07T35@3,17,1,-1,-1,3
841,T35,T35,1,3,19,1,-1,1,05T35@2,06T35@3,17,1,-1,-1,3
853,T35,T35,1,5,19,1,-1,1,05T35@2,06T35@3,17,1,-1,-1,3
796,T36,T22,1,1,12,1,-1,1,03T36@1,04T22@2,17,1,-1,-1,2
900,T22,T15,1,5,9,-1,-1,1,01T22@0,02T15@1,17,-1,-1,-1,1
453,OTHER,T22,1,2,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
844,T35,T35,1,4,19,1,-1,1,05T35@2,07T35@3,17,1,-1,-1,3
454,OTHER,T22,1,2,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
776,T35,T35,1,4,19,1,-1,1,05T35@2,07T35@3,17,1,-1,-1,3
849,T35,T35,1,9,21,1,-1,1,05T35@2,07T35@3,17,1,-1,-1,3
113,OTHER,T22,1,1,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
292,OTHER,T22,1,1,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
786,T35,T35,1,1,19,1,-1,1,05T35@2,06T35@3,17,1,-1,-1,3
101,OTHER,T22,1,2,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
781,T35,T35,1,3,19,1,-1,1,05T35@2,06T35@3,17,1,-1,-1,3
857,T35,T35,1,2,20,1,-1,1,05T35@2,07T35@3,17,1,-1,-1,3
651,OTHER,T22,1,2,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
262,OTHER,T22,1,2,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
856,T35,T35,1,1,19,1,-1,1,05T35@2,06T35@3,17,1,-1,-1,3
832,T35,T35,1,3,19,1,-1,1,05T35@2,07T35@3,17,1,-1,-1,3
807,T22,T36,1,5,9,1,-1,1,01T22@0,03T36@1,17,1,-1,-1,1
872,T35,T35,1,5,19,1,-1,1,05T35@2,06T35@3,17,1,-1,-1,3
425,OTHER,T22,1,1,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
836,T35,T35,1,3,19,1,-1,1,05T35@2,06T35@3,17,1,-1,-1,3
894,T35,T35,1,4,19,1,-1,1,05T35@2,07T35@3,17,1,-1,-1,3
821,T35,T35,1,4,19,1,-1,1,05T35@2,07T35@3,17,1,-1,-1,3
824,T22,T35,1,3,19,1,-1,1,04T22@2,06T35@3,17,1,-1,-1,3
811,T15,T22,1,1,12,1,-1,1,02T15@1,04T22@2,17,1,-1,-1,2
526,OTHER,T22,1,2,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
234,OTHER,T22,1,1,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
244,OTHER,T22,1,2,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
136,OTHER,T22,2,1,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
4,OTHER,T22,2,1,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
409,OTHER,T22,2,1,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
287,OTHER,T22,2,2,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
873,T35,T35,2,9,21,1,-1,1,05T35@2,06T35@3,17,2,-1,-1,3
12,OTHER,T22,2,2,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
89,OTHER,T22,2,1,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
62,OTHER,T22,2,2,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
962,T15,T35,2,9,23,-1,-1,2,02T15@1,05T35@2,2,-1,-1,-1,2
935,T35,T35,2,2,19,2,-1,2,05T35@2,06T35@3,17,2,-1,-1,3
803,T36,T22,2,5,34,1,-1,1,03T36@1,04T22@2,17,2,-1,-1,2
213,OTHER,T22,2,1,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
858,T22,T36,2,5,10,1,-1,1,01T22@0,03T36@1,17,2,-1,-1,1
636,OTHER,T22,2,2,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
851,T15,T22,2,5,34,1,-1,1,02T15@1,04T22@2,17,2,-1,-1,2
904,T22,T36,2,10,28,-1,-1,1,01T22@0,03T36@1,17,-1,-1,-1,1
881,T22,T15,2,5,10,1,-1,1,01T22@0,02T15@1,17,2,-1,-1,1
924,T35,T35,2,4,19,2,-1,2,05T35@2,07T35@3,17,2,-1,-1,3
167,OTHER,T22,2,1,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
822,T22,T35,2,3,20,1,-1,1,04T22@2,07T35@3,17,2,-1,-1,3
659,OTHER,T22,2,1,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
44,OTHER,T22,2,5,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
956,T36,T35,2,9,23,-1,-1,2,03T36@1,05T35@2,2,-1,-1,-1,2
472,OTHER,T22,3,1,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
564,OTHER,T22,3,1,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
497,OTHER,T22,3,2,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
815,T22,T36,3,5,10,1,-1,1,00T22@0,03T36@1,17,3,-1,-1,1
805,T15,T22,3,5,34,1,-1,1,02T15@1,04T22@2,17,3,-1,-1,2
218,OTHER,T22,3,2,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
578,OTHER,T22,3,1,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
976,T35,T35,3,4,19,3,-1,3,05T35@2,06T35@3,17,3,-1,-1,3
240,OTHER,T22,3,2,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
958,T36,T22,3,5,34,-1,-1,2,03T36@1,04T22@2,17,-1,-1,-1,2
147,OTHER,T22,3,1,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
194,OTHER,T22,3,1,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
880,T22,T15,3,5,10,1,-1,1,01T22@0,02T15@1,17,3,-1,-1,1
996,T35,T35,3,4,19,3,-1,3,05T35@2,07T35@3,17,3,-1,-1,3
861,T35,T35,3,3,20,1,-1,1,05T35@2,07T35@3,17,3,-1,-1,3
895,T22,T35,3,5,56,1,-1,1,04T22@2,07T35@3,17,3,-1,-1,3
866,T36,T35,3,5,34,1,-1,1,03T36@1,05T35@2,17,3,-1,-1,2
679,OTHER,T22,3,2,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
883,T35,T35,3,2,20,1,-1,1,05T35@2,06T35@3,17,3,-1,-1,3
669,OTHER,T22,3,3,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
50,OTHER,T22,3,1,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
30,OTHER,T22,3,3,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
774,T35,T35,3,4,20,1,-1,1,05T35@2,07T35@3,17,3,-1,-1,3
955,T15,T35,4,5,34,2,-1,2,02T15@1,05T35@2,17,4,-1,-1,2
842,T22,T35,4,4,20,1,-1,1,04T22@2,07T35@3,17,4,-1,-1,3
1032,T22,T35,4,4,19,4,-1,4,04T22@2,06T35@3,17,4,-1,-1,3
973,T36,T22,4,5,34,3,-1,3,03T36@1,04T22@2,17,4,-1,-1,2
868,T35,T35,4,2,20,1,-1,1,05T35@2,06T35@3,17,4,-1,-1,3
646,T35,OTHER,4,1,48,0,-1,-1,06T35@3,BUYER,0,4,-1,-1,4
799,T35,T35,4,10,21,1,-1,1,05T35@2,06T35@3,17,4,-1,-1,3
592,OTHER,T22,4,2,10,0,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
241,T35,OTHER,4,2,48,0,-1,-1,07T35@3,BUYER,0,4,-1,-1,4
356,T35,OTHER,4,1,48,0,-1,-1,06T35@3,BUYER,0,4,-1,-1,4
1012,T15,T22,4,5,34,-1,-1,3,02T15@1,04T22@2,17,-1,-1,-1,2
131,OTHER,T22,4,2,10,0,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
49,OTHER,T22,4,1,10,0,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
1066,T22,T35,4,4,19,-1,-1,4,04T22@2,07T35@3,17,-1,-1,-1,3
