index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
46,OTHER,T23,0,2,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
178,OTHER,T23,0,1,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
341,OTHER,T37,0,5,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
185,OTHER,T37,0,2,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
249,OTHER,T23,0,2,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
266,OTHER,T23,0,2,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
97,OTHER,T23,0,3,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
223,OTHER,T23,0,1,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
102,OTHER,T37,0,1,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
146,OTHER,T37,0,1,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
202,OTHER,T37,1,2,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
21,OTHER,T23,1,2,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
367,T23,T22,1,5,3,1,-1,1,01T23@0,03T22@1,12,1,-1,-1,1
383,T22,T23,1,1,59,-1,-1,1,03T22@1,05T23@2,10,-1,-1,-1,2
203,OTHER,T23,1,2,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
385,T23,T12,1,10,3,-1,-1,1,01T23@0,02T12@1,12,-1,-1,-1,1
331,OTHER,T23,1,3,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
48,OTHER,T23,1,3,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
387,T23,T12,1,10,8,-1,-1,1,01T23@0,02T12@1,15,-1,-1,-1,1
320,OTHER,T37,1,2,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
389,T23,T12,1,10,3,-1,-1,1,01T23@0,02T12@1,11,-1,-1,-1,1
391,T23,T12,1,7,1,-1,-1,1,01T23@0,02T12@1,3,-1,-1,-1,1
215,OTHER,T23,1,1,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
109,OTHER,T37,1,4,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
107,OTHER,T37,1,1,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
358,T23,T22,2,1,1,1,-1,1,01T23@0,03T22@1,10,2,-1,-1,1
176,OTHER,T23,2,1,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
349,T22,T23,2,6,30,1,-1,1,03T22@1,05T23@2,9,2,-1,-1,2
263,OTHER,T37,2,1,10,0,-1,-1,SELLER,00T37@0,0,2,-1,-1,0
368,T23,T12,2,2,4,1,-1,1,01T23@0,02T12@1,13,2,-1,-1,1
381,T37,T22,2,10,34,-1,-1,1,00T37@0,03T22@1,17,-1,-1,-1,1
321,OTHER,T37,2,3,10,0,-1,-1,SELLER,00T37@0,0,2,-1,-1,0
338,OTHER,T23,2,2,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
261,OTHER,T37,2,1,10,0,-1,-1,SELLER,00T37@0,0,2,-1,-1,0
390,T12,T23,2,7,59,-1,-1,1,02T12@1,05T23@2,13,-1,-1,-1,2
307,OTHER,T23,2,2,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
138,OTHER,T37,2,1,10,0,-1,-1,SELLER,00T37@0,0,2,-1,-1,0
311,OTHER,T37,2,2,10,0,-1,-1,SELLER,00T37@0,0,2,-1,-1,0
17,OTHER,T23,2,2,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
428,T37,T22,2,18,23,-1,-1,2,00T37@0,03T22@1,2,-1,-1,-1,1
30,OTHER,T37,2,2,10,0,-1,-1,SELLER,00T37@0,0,2,-1,-1,0
426,T12,T23,2,2,48,-1,-1,2,02T12@1,05T23@2,14,-1,-1,-1,2
298,OTHER,T37,2,3,10,0,-1,-1,SELLER,00T37@0,0,2,-1,-1,0
160,OTHER,T23,3,2,10,0,-1,-1,SELLER,01T23@0,0,3,-1,-1,0
159,OTHER,T37,3,3,10,0,-1,-1,SELLER,00T37@0,0,3,-1,-1,0
74,OTHER,T37,3,1,10,0,-1,-1,SELLER,00T37@0,0,3,-1,-1,0
351,T23,T22,3,5,10,1,-1,1,01T23@0,03T22@1,17,3,-1,-1,1
114,OTHER,T23,3,5,10,0,-1,-1,SELLER,01T23@0,0,3,-1,-1,0
150,OTHER,T23,3,1,10,0,-1,-1,SELLER,01T23@0,0,3,-1,-1,0
94,T23,OTHER,3,4,45,0,-1,-1,05T23@2,BUYER,0,3,-1,-1,3
431,T23,T22,3,7,1,3,-1,3,01T23@0,03T22@1,2,3,-1,-1,1
436,T23,T22,3,5,5,3,-1,3,01T23@0,03T22@1,13,3,-1,-1,1
135,T23,OTHER,3,1,45,0,-1,-1,05T23@2,BUYER,0,3,-1,-1,3
198,OTHER,T23,3,1,10,0,-1,-1,SELLER,01T23@0,0,3,-1,-1,0
457,T23,T22,3,2,9,3,-1,3,01T23@0,03T22@1,2,3,-1,-1,1
372,T23,T22,3,1,1,1,-1,1,01T23@0,03T22@1,9,3,-1,-1,1
79,OTHER,T37,3,2,10,0,-1,-1,SELLER,00T37@0,0,3,-1,-1,0
