index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,22.0,0,,29.0,0,,39.0,0,,0.1111111111111111,240781,0.0,0.0,8,0,0,45,0,0.0,374,419,64,0.0,0.0,0,0,64,200,1.5347617100924251,1.5347617100924251
1,64,0,0,0,10.0,13,10.0,22.0,0,,29.0,0,,39.0,0,,0.1222222222222222,240651,0.0,0.0,7,0,0,41,0,0.0,32,73,44,716.0,21.0,57,7,44,130,6.758632984012365,8.293394694104789
2,44,0,0,0,9.999999999999998,20,10.0,22.45833333333333,3,29.33333333333333,27.80851063829787,2,1.0,39.0,0,,0.1888888888888889,240380,0.0,0.0,12,0,0,13,0,0.0,29,42,50,383.0,57.0,25,19,50,290,4.022639133036137,12.316033827140927
3,50,0,0,0,9.999999999999998,20,10.0,22.904761904761905,3,29.33333333333333,26.598194130925503,2,1.0,39.0,15,39.0,0.1888888888888889,239953,0.0,0.0,18,0,0,14,0,0.0,32,46,48,443.0,60.0,30,20,48,875,4.71814844943583,17.034182276576754
4,48,0,0,0,9.999999999999998,20,10.0,22.863240018357047,2,22.0,26.808454740864576,2,31.0,39.0,16,39.0,0.18888888888888888,239593,0.0,0.0,16,0,0,17,0,0.0,28,45,48,417.0,61.0,28,20,48,930,5.6783183477818975,22.71250062435865
5,48,0,0,0,9.999999999999998,20,10.0,23.847623895238534,4,33.5,26.808454740864576,0,,39.0,14,39.0,0.15555555555555556,239248,0.0,0.0,17,0,0,23,0,0.0,23,46,46,427.0,60.0,28,20,46,880,9.333563946187496,32.04606457054615
6,46,0,0,0,10.0,20,10.0,25.003607530720377,9,30.0,26.868507925308066,2,28.0,39.00000000000001,19,39.0,0.25555555555555554,238837,0.0,0.0,22,0,0,13,0,0.0,31,44,46,419.0,60.0,26,20,46,1267,10.427568221464751,42.473632792010896
7,46,0,0,0,10.0,20,10.0,25.92149716161447,20,27.9,26.982469967039908,4,28.0,39.00000000000001,15,39.0,0.32222222222222224,238499,0.0,0.0,27,0,0,13,0,0.0,32,45,46,445.0,51.0,29,17,46,1455,18.478226795792576,60.951859587803476
8,46,0,0,0,10.0,20,10.0,25.935189748408256,12,26.0,26.025527378750947,8,21.75,39.00000000000001,17,39.0,0.34444444444444444,238125,0.0,0.0,28,0,0,18,0,0.0,24,42,46,385.0,69.0,23,23,46,1349,4.193704307079315,65.1455638948828
9,46,0,0,0,10.0,20,10.0,26.68632343760085,8,32.5,26.462981949289627,6,29.33333333333333,39.0,14,39.0,0.2888888888888889,237795,0.0,0.0,21,0,0,23,0,0.0,26,49,46,452.0,45.0,31,15,46,1182,22.483528876677155,87.62909277155994
10,46,0,0,0,10.0,20,10.0,27.217027823923345,12,30.0,26.91613579533196,6,30.0,39.00000000000001,17,39.0,0.3111111111111111,237421,0.0,0.0,25,0,0,23,0,0.0,17,40,44,391.0,69.0,23,23,44,1403,11.095247743651269,98.72434051521122
11,44,0,0,0,10.0,20,10.0,28.996903599924774,8,44.0,27.30042739949344,6,30.0,39.0,20,39.0,0.2222222222222222,236985,0.0,0.0,25,0,0,20,0,0.0,23,43,46,412.0,48.0,28,16,46,1512,19.577037576586008,118.30137809179723
12,46,0,0,0,10.0,20,10.0,30.674655725043756,12,40.16666666666666,28.654802386681837,2,58.0,39.0,10,39.0,0.2,236678,0.0,0.0,21,0,0,13,0,0.0,28,41,46,408.0,63.0,25,21,46,1188,10.365570144727826,128.66694823652506
13,46,0,0,0,10.0,20,10.0,30.092587697496363,20,28.0,26.45731810984352,8,15.25,39.0,15,39.0,0.3111111111111111,236398,0.0,0.0,31,0,0,16,0,0.0,26,42,44,425.0,54.0,28,18,44,1467,20.739394323900346,149.40634256042543
14,44,0,0,0,10.0,20,10.0,29.768984181847127,14,27.857142857142854,23.252129802758063,11,10.454545454545457,39.0,15,39.0,0.3777777777777778,235916,0.0,0.0,31,0,0,13,0,0.0,36,49,46,414.0,42.0,30,14,46,1290,15.588729308918117,164.99507186934352
