,balance,assets,bankrupt,agent_id,step
0,1579.0,180.0,False,00T40@0,0.0
1,1951.0,59.31442131712007,False,00T40@0,5.0
2,1599.0,153.0,False,01T07@0,0.0
3,1659.0,356.57210658560035,False,01T07@0,5.0
4,2810.0,0.0,False,02T07@1,0.0
5,2210.0,692.31442131712,False,02T07@1,5.0
6,2810.0,0.0,False,03T40@1,0.0
7,2635.0,361.71428571428567,False,03T40@1,5.0
8,4173.0,0.0,False,04T07@2,0.0
9,3879.0,0.0,False,04T07@2,5.0
10,4173.0,0.0,False,05T40@2,0.0
11,3900.0,0.0,False,05T40@2,5.0
12,,,,,
13,,,,,
14,,,,,
15,,,,,
