index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,26.0,0,,43.0,0,,0.3,308374,0.0,0.0,8,0,0,40,0,0.0,376,416,110,0.0,0.0,0,0,110,200,4.581109808757901,4.581109808757901
1,110,0,0,0,10.0,20,10.0,16.0,0,,17.459854014598537,92,13.282608695652176,43.0,0,,0.5,300184,0.0,0.0,24,0,0,10,0,0.0,67,77,71,1044.0,381.0,58,52,71,1422,4.326280038803817,8.907389847561717
2,71,0,0,0,10.0,20,10.0,13.692307692307693,20,8.5,17.273983115886413,7,14.0,43.0,0,,0.6666666666666666,299767,0.0,0.0,13,0,0,12,0,0.0,29,41,39,402.0,270.0,24,47,39,468,4.781380284577608,13.688770132139325
3,39,0,0,0,10.0,20,10.0,13.692307692307693,0,,16.901205189222384,13,13.538461538461537,43.0,20,43.0,0.6666666666666666,299235,0.0,0.0,21,0,0,7,0,0.0,32,39,31,363.0,156.0,21,18,31,1236,2.5368845462799072,16.225654678419232
4,31,0,0,0,10.0,20,10.0,16.120805369127517,16,25.0,16.6785326711184,9,13.777777777777779,43.0,20,43.0,0.65,298785,0.0,0.0,22,0,0,3,0,0.0,30,33,28,255.0,75.0,15,16,28,1584,2.8774270936846733,19.103081772103906
5,28,0,0,0,10.0,20,10.0,17.30906847624923,14,23.0,17.024891364838666,26,18.53846153846154,43.0,20,43.0,0.43333333333333335,298255,0.0,0.0,23,0,0,4,0,0.0,27,31,23,222.0,57.0,14,14,23,1864,2.459780842065811,21.562862614169717
6,23,0,0,0,10.0,20,10.0,19.559694492831305,39,23.76923076923077,17.848264623276354,36,20.722222222222218,43.0,13,43.0,0.4833333333333333,297609,0.0,0.0,21,0,0,3,0,0.0,25,28,30,171.0,78.0,12,11,30,2432,2.060310835018754,23.62317344918847
7,30,0,0,0,10.0,20,10.0,20.549557572541016,66,22.060606060606066,17.478852268438935,12,13.0,43.0,14,43.0,0.6333333333333333,296949,0.0,0.0,24,0,0,2,0,0.0,30,32,30,240.0,120.0,15,15,30,2414,2.2946079932153225,25.917781442403797
8,30,0,0,0,10.0,20,10.0,21.206751466350557,55,23.0,17.95670490474646,40,19.65,43.0,20,43.0,0.65,294586,0.0,0.0,28,0,0,5,0,0.0,29,34,26,291.0,84.0,17,13,26,3111,2.276595942676068,28.19437738507986
9,26,0,0,0,10.000000000000002,20,10.0,22.12925629096001,114,23.62280701754386,22.497395750874414,81,31.66666666666666,43.0,13,43.0,0.6333333333333333,288265,0.0,0.0,28,0,0,2,0,0.0,28,30,31,252.0,96.0,14,12,31,6017,2.7389625906944275,30.933339975774288
