index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
103,OTHER,T22,0,3,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
169,OTHER,T35,0,5,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
35,OTHER,T35,0,6,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
46,OTHER,T22,0,6,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
105,OTHER,T35,1,4,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
199,OTHER,T35,1,6,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
171,OTHER,T22,1,6,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
380,T35,T07,1,5,10,-1,-1,1,01T35@0,03T07@1,17,-1,-1,-1,1
80,OTHER,T22,1,4,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
361,T35,T07,2,5,10,1,-1,1,01T35@0,03T07@1,17,2,-1,-1,1
376,T22,T07,2,5,9,1,-1,1,00T22@0,03T07@1,17,2,-1,-1,1
384,T07,T35,2,5,34,-1,-1,1,03T07@1,05T35@2,17,-1,-1,-1,2
366,T22,T07,2,5,9,1,-1,1,00T22@0,03T07@1,17,2,-1,-1,1
206,OTHER,T22,2,6,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
208,OTHER,T35,2,6,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
362,T35,T07,2,5,10,1,-1,1,01T35@0,03T07@1,17,2,-1,-1,1
261,OTHER,T35,2,4,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
408,T35,T07,2,5,9,-1,-1,2,01T35@0,03T07@1,17,-1,-1,-1,1
238,OTHER,T22,2,4,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
405,T35,T07,2,5,9,-1,-1,2,01T35@0,03T07@1,17,-1,-1,-1,1
192,OTHER,T22,3,4,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
113,T35,OTHER,3,6,32,0,-1,-1,04T35@2,BUYER,0,3,-1,-1,3
117,T35,OTHER,3,5,32,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
265,OTHER,T35,3,3,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
255,OTHER,T22,3,3,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
406,T07,T35,3,5,34,-1,-1,2,03T07@1,04T35@2,17,-1,-1,-1,2
381,T07,T35,3,5,34,-1,-1,1,03T07@1,05T35@2,17,-1,-1,-1,2
