index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,31.0,0,,43.0,0,,0.0,229644,0.0,0.0,7,0,0,86,0,0.0,177,263,28,0.0,0.0,0,0,28,200,1.2246442046016457,1.2246442046016457
1,28,0,0,0,10.0,20,10.0,18.0,0,,15.0625,51,1.0,43.0,0,,0.3,225838,0.0,0.0,17,0,0,15,0,0.0,24,39,24,204.0,19.0,23,5,24,251,1.4613416288048031,2.6859858334064484
2,24,0,0,0,10.0,20,10.0,17.306122448979593,4,9.5,10.274193548387098,50,2.0,43.0,0,,0.3,222056,0.0,0.0,20,0,0,5,0,0.0,30,35,28,260.0,54.0,19,5,28,338,1.5178146921098232,4.2038005255162725
3,28,0,0,0,10.0,20,10.0,16.677754677754677,4,9.75,8.29141976771747,46,3.0,43.0,10,43.0,0.3,219088,0.0,0.0,24,0,0,10,0,0.0,28,38,28,341.0,62.0,23,5,28,807,1.5191716831177473,5.722972208634019
4,28,0,0,0,10.0,20,10.0,16.091774159441744,4,9.75,7.53873614770419,47,5.1063829787234045,43.0,9,43.0,0.3333333333333333,216100,0.0,0.0,25,0,0,4,0,0.0,35,39,26,355.0,69.0,23,5,26,866,1.701955683529377,7.424927892163397
5,26,0,0,0,10.0,20,10.0,15.215543337245938,6,9.0,7.4317249982017195,49,7.040816326530613,43.00000000000001,3,43.0,0.3333333333333333,212735,0.0,0.0,24,0,0,9,0,0.0,28,37,24,324.0,69.0,21,5,24,728,1.551001014187932,8.975928906351328
6,24,0,0,0,10.0,20,10.0,13.948392331733832,12,9.333333333333334,7.5273916476133405,50,7.920000000000001,43.0,8,43.0,0.3333333333333333,209334,0.0,0.0,26,0,0,10,0,0.0,22,32,22,290.0,73.0,19,5,22,1052,1.5692460238933563,10.545174930244682
7,22,0,0,0,10.0,20,10.0,13.336239586847103,8,9.5,7.953816377361488,42,10.285714285714286,43.00000000000001,4,43.0,0.3333333333333333,206757,0.0,0.0,19,0,0,13,0,0.0,20,33,22,265.0,76.0,17,5,22,880,1.4941601753234863,12.03933510556817
8,22,0,0,0,10.0,20,10.0,13.336239586847103,0,,8.129476401381616,39,9.23076923076923,43.0,6,43.0,0.2,204523,0.0,0.0,17,0,0,15,0,0.0,17,32,22,265.0,77.0,17,5,22,818,1.4369868244975803,13.476321930065751
9,22,0,0,0,10.000000000000002,20,10.0,13.028273323919553,4,9.0,8.426610947547825,52,9.884615384615383,43.0,4,43.0,0.3333333333333333,200794,0.0,0.0,22,0,0,12,0,0.0,20,32,20,272.0,82.0,17,5,20,922,1.6581875700503588,15.13450950011611
