index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
117,OTHER,T02,0,4,10,0,-1,-1,SELLER,00T02@0,0,0,-1,-1,0
116,OTHER,T02,0,1,10,0,-1,-1,SELLER,00T02@0,0,0,-1,-1,0
187,OTHER,T29,0,1,10,0,-1,-1,SELLER,01T29@0,0,0,-1,-1,0
169,OTHER,T29,0,1,10,0,-1,-1,SELLER,01T29@0,0,0,-1,-1,0
43,OTHER,T02,0,1,10,0,-1,-1,SELLER,00T02@0,0,0,-1,-1,0
19,OTHER,T29,0,2,10,0,-1,-1,SELLER,01T29@0,0,0,-1,-1,0
83,OTHER,T02,0,3,10,0,-1,-1,SELLER,00T02@0,0,0,-1,-1,0
25,OTHER,T02,0,2,10,0,-1,-1,SELLER,00T02@0,0,0,-1,-1,0
35,OTHER,T02,0,2,10,0,-1,-1,SELLER,00T02@0,0,0,-1,-1,0
97,OTHER,T29,0,3,10,0,-1,-1,SELLER,01T29@0,0,0,-1,-1,0
28,OTHER,T02,1,2,10,0,-1,-1,SELLER,00T02@0,0,1,-1,-1,0
29,OTHER,T29,1,1,10,0,-1,-1,SELLER,01T29@0,0,1,-1,-1,0
418,T02,T12,1,1,1,-1,-1,1,08T02@3,10T12@4,2,-1,-1,-1,4
417,T02,T12,1,1,1,-1,-1,1,08T02@3,10T12@4,2,-1,-1,-1,4
100,OTHER,T29,1,2,10,0,-1,-1,SELLER,01T29@0,0,1,-1,-1,0
425,T02,T12,1,1,1,-1,-1,1,08T02@3,11T12@4,2,-1,-1,-1,4
416,T02,T12,1,1,1,-1,-1,1,08T02@3,09T12@4,2,-1,-1,-1,4
414,T02,T12,1,1,1,-1,-1,1,08T02@3,11T12@4,2,-1,-1,-1,4
163,OTHER,T29,1,3,10,0,-1,-1,SELLER,01T29@0,0,1,-1,-1,0
412,T02,T12,1,1,1,-1,-1,1,08T02@3,09T12@4,2,-1,-1,-1,4
411,T02,T12,1,1,1,-1,-1,1,08T02@3,11T12@4,2,-1,-1,-1,4
406,T02,T12,1,1,1,-1,-1,1,08T02@3,09T12@4,2,-1,-1,-1,4
49,OTHER,T02,1,3,10,0,-1,-1,SELLER,00T02@0,0,1,-1,-1,0
158,OTHER,T29,1,2,10,0,-1,-1,SELLER,01T29@0,0,1,-1,-1,0
36,OTHER,T29,1,1,10,0,-1,-1,SELLER,01T29@0,0,1,-1,-1,0
420,T02,T12,1,1,1,-1,-1,1,08T02@3,10T12@4,2,-1,-1,-1,4
119,OTHER,T02,1,3,10,0,-1,-1,SELLER,00T02@0,0,1,-1,-1,0
217,OTHER,T02,1,1,10,0,-1,-1,SELLER,00T02@0,0,1,-1,-1,0
218,OTHER,T29,1,2,10,0,-1,-1,SELLER,01T29@0,0,1,-1,-1,0
427,T02,T12,1,1,1,-1,-1,1,08T02@3,11T12@4,2,-1,-1,-1,4
421,T02,T12,1,1,1,-1,-1,1,08T02@3,11T12@4,2,-1,-1,-1,4
428,T02,T02,1,1,32,-1,-1,1,00T02@0,03T02@1,2,-1,-1,-1,1
430,T02,T12,1,1,1,-1,-1,1,08T02@3,09T12@4,2,-1,-1,-1,4
431,T02,T12,1,1,1,-1,-1,1,08T02@3,11T12@4,2,-1,-1,-1,4
