,balance,assets,bankrupt,agent_id,step
0,23468.0,100.0,False,00T23@0,0.0
1,21786.0,670.0,False,00T23@0,5.0
2,20071.0,1170.0000000000002,False,00T23@0,10.0
3,18955.0,1790.0000000000002,False,00T23@0,15.0
4,18010.0,2200.0000000000005,False,00T23@0,20.0
5,16928.0,2780.0000000000005,False,00T23@0,25.0
6,16196.0,3240.0000000000005,False,00T23@0,30.0
7,14863.0,3840.0,False,00T23@0,35.0
8,12985.0,4429.999999999999,False,00T23@0,40.0
9,12251.0,4850.0,False,00T23@0,45.0
10,11437.0,5350.0,False,00T23@0,50.0
11,9997.0,5810.000000000001,False,00T23@0,55.0
12,9173.0,6330.000000000001,False,00T23@0,60.0
13,6400.0,6880.0,False,00T23@0,65.0
14,5600.0,7370.0,False,00T23@0,70.0
15,4903.0,7840.0,False,00T23@0,75.0
16,4055.0,8370.0,False,00T23@0,80.0
17,3277.0,8940.0,False,00T23@0,85.0
18,2786.0,9240.0,False,00T23@0,90.0
19,23468.0,150.0,False,01T22@0,0.0
20,23887.0,100.81222484359121,False,01T22@0,5.0
21,24429.0,186.8577500704911,False,01T22@0,10.0
22,25062.0,121.97036996554635,False,01T22@0,15.0
23,25672.0,298.05252918437645,False,01T22@0,20.0
24,27008.0,225.03186238834232,False,01T22@0,25.0
25,27632.0,262.00155735288826,False,01T22@0,30.0
26,27632.0,578.573657410013,False,01T22@0,35.0
27,28792.0,171.49094933706687,False,01T22@0,40.0
28,28465.0,875.57950759759,False,01T22@0,45.0
29,29559.0,423.7304232712357,False,01T22@0,50.0
30,30370.0,289.5835318631812,False,01T22@0,55.0
31,30693.0,491.80007388845695,False,01T22@0,60.0
32,31701.0,190.474764023289,False,01T22@0,65.0
33,31900.0,479.71949750014153,False,01T22@0,70.0
34,32725.0,387.228467149566,False,01T22@0,75.0
35,33445.0,322.6577171951337,False,01T22@0,80.0
36,33705.0,581.6688571344464,False,01T22@0,85.0
37,33938.0,649.107369128913,False,01T22@0,90.0
38,43699.0,0.0,False,02T40@1,0.0
39,43244.0,708.0833478949443,False,02T40@1,5.0
40,44412.0,1156.6529253648455,False,02T40@1,10.0
41,42420.0,1934.3682671800973,False,02T40@1,15.0
42,41365.0,3128.150670063598,False,02T40@1,20.0
43,39146.0,3846.343678438992,False,02T40@1,25.0
44,37803.0,5022.509805063753,False,02T40@1,30.0
45,34828.0,5288.1820156321755,False,02T40@1,35.0
46,33659.0,7477.5093305987375,False,02T40@1,40.0
47,29812.0,6827.786382454146,False,02T40@1,45.0
48,29719.0,8155.502620890756,False,02T40@1,50.0
49,25628.0,9200.655727072468,False,02T40@1,55.0
50,26293.0,9481.323083140944,False,02T40@1,60.0
51,23635.0,9360.376976066442,False,02T40@1,65.0
52,19330.0,9917.624530108063,False,02T40@1,70.0
53,17745.0,12628.19253546501,False,02T40@1,75.0
54,19895.0,12177.608355396811,False,02T40@1,80.0
55,20232.0,13060.66996612728,False,02T40@1,85.0
56,19656.0,14524.505719353685,False,02T40@1,90.0
57,43699.0,0.0,False,03T23@1,0.0
58,37467.0,516.662652323405,False,03T23@1,5.0
59,25622.0,2653.0382261208083,False,03T23@1,10.0
60,15920.0,6606.728373133762,False,03T23@1,15.0
61,5100.0,8842.232490335999,False,03T23@1,20.0
62,-766.0,11138.65047171613,False,03T23@1,25.0
63,-46844.58333333334,11681.285810144143,True,03T23@1,30.0
64,-46844.58333333334,10283.68016880378,True,03T23@1,35.0
65,-46844.58333333334,9449.151308472385,True,03T23@1,40.0
66,-46844.58333333334,9017.798097630668,True,03T23@1,45.0
67,-46844.58333333334,9194.27316112254,True,03T23@1,50.0
68,-46844.58333333334,8793.05260566128,True,03T23@1,55.0
69,-46844.58333333334,8765.493363022491,True,03T23@1,60.0
70,-46844.58333333334,7189.159497683224,True,03T23@1,65.0
71,-46844.58333333334,7525.181437419265,True,03T23@1,70.0
72,-46844.58333333334,8329.625547337413,True,03T23@1,75.0
73,-46844.58333333334,8700.900135907417,True,03T23@1,80.0
74,-46844.58333333334,8902.765007807777,True,03T23@1,85.0
75,-46844.58333333334,8723.369765610512,True,03T23@1,90.0
76,61767.0,0.0,False,04T37@2,0.0
77,62196.0,555.08917903442,False,04T37@2,5.0
78,60492.0,3244.9790992086955,False,04T37@2,10.0
79,58153.0,6276.185647729979,False,04T37@2,15.0
80,56011.0,8729.284767559906,False,04T37@2,20.0
81,51544.0,14690.737870353309,False,04T37@2,25.0
82,47938.0,19566.85435259656,False,04T37@2,30.0
83,45717.0,23535.580807557933,False,04T37@2,35.0
84,46977.0,22789.746882946118,False,04T37@2,40.0
85,45866.0,25060.428365834585,False,04T37@2,45.0
86,46891.0,24430.41583090526,False,04T37@2,50.0
87,41207.0,30400.20290284249,False,04T37@2,55.0
88,40894.0,31618.708664183418,False,04T37@2,60.0
89,39626.0,32902.330953261546,False,04T37@2,65.0
90,38091.0,34791.426782355666,False,04T37@2,70.0
91,38046.0,34906.41216224416,False,04T37@2,75.0
92,34559.0,38628.0203903959,False,04T37@2,80.0
93,33942.0,39028.11982579286,False,04T37@2,85.0
94,35634.0,37242.02250100764,False,04T37@2,90.0
95,61767.0,0.0,False,05T35@2,0.0
96,61025.0,909.3873868126756,False,05T35@2,5.0
97,57104.0,4132.612798774755,False,05T35@2,10.0
98,51374.0,10137.204018511431,False,05T35@2,15.0
99,48192.0,12861.763080764356,False,05T35@2,20.0
100,42751.0,17787.570965692143,False,05T35@2,25.0
101,38127.0,23855.393656032546,False,05T35@2,30.0
102,32234.0,30293.336897638124,False,05T35@2,35.0
103,30596.0,31960.5378636435,False,05T35@2,40.0
104,23934.0,38524.5299143948,False,05T35@2,45.0
105,21074.0,41483.971855328746,False,05T35@2,50.0
106,16292.0,46009.219110900456,False,05T35@2,55.0
107,11163.0,51480.479717972754,False,05T35@2,60.0
108,5381.0,56267.05855202569,False,05T35@2,65.0
109,-10908.0,62429.15209127185,False,05T35@2,70.0
110,-59336.0,63590.43453547841,True,05T35@2,75.0
111,-59336.0,64880.7012543314,True,05T35@2,80.0
112,-59336.0,64399.3090426974,True,05T35@2,85.0
113,-59336.0,64399.3090426974,True,05T35@2,90.0
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,,,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
