index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
0,OTHER,T22,0,5,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
16,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
15,OTHER,T10,0,5,10,0,-1,-1,SELLER,00T10@0,0,0,-1,-1,0
3,OTHER,T10,0,3,10,0,-1,-1,SELLER,00T10@0,0,0,-1,-1,0
7,OTHER,T10,0,3,10,0,-1,-1,SELLER,00T10@0,0,0,-1,-1,0
11,OTHER,T10,0,2,10,0,-1,-1,SELLER,00T10@0,0,0,-1,-1,0
41,T10,T22,1,4,11,1,-1,1,00T10@0,03T22@1,17,1,-1,-1,1
42,T35,T35,1,4,23,1,-1,1,05T35@2,06T35@3,17,1,-1,-1,3
57,T35,T36,1,5,19,1,-1,1,02T35@1,04T36@2,17,1,-1,-1,2
60,T35,T35,1,7,23,1,-1,1,05T35@2,07T35@3,17,1,-1,-1,3
70,T35,T35,1,4,25,1,-1,1,05T35@2,06T35@3,17,1,-1,-1,3
78,T35,T35,1,7,23,1,-1,1,05T35@2,07T35@3,17,1,-1,-1,3
82,T35,T36,1,1,18,1,-1,1,02T35@1,04T36@2,17,1,-1,-1,2
87,T22,T36,1,3,52,-1,-1,1,03T22@1,04T36@2,17,-1,-1,-1,2
88,T36,T35,1,7,23,-1,-1,1,04T36@2,07T35@3,17,-1,-1,-1,3
89,T22,T36,1,5,19,-1,-1,1,03T22@1,04T36@2,17,-1,-1,-1,2
92,T10,T22,1,4,11,-1,-1,1,00T10@0,03T22@1,17,-1,-1,-1,1
37,T10,T22,1,4,11,1,-1,1,00T10@0,03T22@1,17,1,-1,-1,1
19,OTHER,T10,1,6,10,0,-1,-1,SELLER,00T10@0,0,1,-1,-1,0
86,T22,T35,1,3,52,-1,-1,1,03T22@1,05T35@2,17,-1,-1,-1,2
12,OTHER,T22,1,8,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
14,OTHER,T22,1,2,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
2,OTHER,T10,1,3,10,0,-1,-1,SELLER,00T10@0,0,1,-1,-1,0
10,OTHER,T10,1,1,10,0,-1,-1,SELLER,00T10@0,0,1,-1,-1,0
118,T10,T22,2,8,22,-1,-1,2,00T10@0,03T22@1,2,-1,-1,-1,1
50,T35,T36,2,5,19,1,-1,1,02T35@1,04T36@2,17,2,-1,-1,2
17,OTHER,T22,2,3,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
85,T36,T35,2,5,72,-1,-1,1,04T36@2,06T35@3,17,-1,-1,-1,3
119,T36,T35,2,5,72,-1,-1,2,04T36@2,06T35@3,17,-1,-1,-1,3
6,OTHER,T22,2,3,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
79,T22,T22,2,4,12,1,-1,1,01T22@0,03T22@1,17,2,-1,-1,1
1,OTHER,T10,2,3,10,0,-1,-1,SELLER,00T10@0,0,2,-1,-1,0
98,T22,T22,2,8,22,2,-1,2,01T22@0,03T22@1,2,2,-1,-1,1
111,T35,T36,2,1,18,2,-1,2,02T35@1,04T36@2,17,2,-1,-1,2
24,OTHER,T10,2,6,10,-1,-1,-1,SELLER,00T10@0,0,-1,-1,-1,0
109,T35,T36,2,5,19,2,-1,2,02T35@1,04T36@2,17,2,-1,-1,2
9,OTHER,T22,2,1,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
106,T10,T22,2,5,11,2,-1,2,00T10@0,03T22@1,17,2,-1,-1,1
13,OTHER,T22,2,4,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
66,T22,T36,2,5,17,1,-1,1,03T22@1,04T36@2,17,2,-1,-1,2
133,T35,T36,3,5,19,3,-1,3,02T35@1,04T36@2,17,3,-1,-1,2
141,T10,T35,3,28,22,-1,-1,3,00T10@0,02T35@1,2,-1,-1,-1,1
135,T35,T36,3,1,18,3,-1,3,02T35@1,04T36@2,17,3,-1,-1,2
71,T22,T35,3,3,52,1,-1,1,03T22@1,05T35@2,17,3,-1,-1,2
69,T22,T22,3,5,12,1,-1,1,01T22@0,03T22@1,17,3,-1,-1,1
97,T35,T36,3,5,19,2,-1,2,02T35@1,04T36@2,17,3,-1,-1,2
23,OTHER,T10,3,3,10,-1,-1,-1,SELLER,00T10@0,0,-1,-1,-1,0
25,OTHER,T22,3,2,10,-1,-1,-1,SELLER,01T22@0,0,-1,-1,-1,0
36,OTHER,T22,3,4,10,-1,-1,-1,SELLER,01T22@0,0,-1,-1,-1,0
27,OTHER,T22,3,2,10,-1,-1,-1,SELLER,01T22@0,0,-1,-1,-1,0
100,T35,T36,3,5,19,2,-1,2,02T35@1,04T36@2,17,3,-1,-1,2
34,OTHER,T10,3,2,10,-1,-1,-1,SELLER,00T10@0,0,-1,-1,-1,0
33,OTHER,T10,3,3,10,-1,-1,-1,SELLER,00T10@0,0,-1,-1,-1,0
91,T22,T35,3,16,32,-1,-1,1,01T22@0,02T35@1,17,-1,-1,-1,1
31,OTHER,T10,3,4,10,-1,-1,-1,SELLER,00T10@0,0,-1,-1,-1,0
105,T10,T35,4,10,34,2,-1,2,00T10@0,02T35@1,17,4,-1,-1,1
137,T35,T36,4,5,17,3,-1,3,02T35@1,04T36@2,17,4,-1,-1,2
104,T22,T35,4,10,34,2,-1,2,01T22@0,02T35@1,17,4,-1,-1,1
90,T22,T22,4,5,12,-1,-1,1,01T22@0,03T22@1,17,-1,-1,-1,1
83,T22,T35,4,10,32,1,-1,1,01T22@0,02T35@1,17,4,-1,-1,1
18,T35,OTHER,4,2,62,0,-1,-1,07T35@3,BUYER,0,4,-1,-1,4
117,T35,T36,4,5,17,2,-1,2,02T35@1,04T36@2,17,4,-1,-1,2
94,T36,T35,4,5,72,2,-1,2,04T36@2,06T35@3,17,4,-1,-1,3
5,T35,OTHER,4,4,62,0,-1,-1,07T35@3,BUYER,0,4,-1,-1,4
4,T35,OTHER,4,1,62,0,-1,-1,06T35@3,BUYER,0,4,-1,-1,4
93,T22,T22,4,5,12,-1,-1,1,01T22@0,03T22@1,17,-1,-1,-1,1
8,T35,OTHER,4,6,62,0,-1,-1,06T35@3,BUYER,0,4,-1,-1,4
20,T35,OTHER,4,1,62,0,-1,-1,07T35@3,BUYER,0,4,-1,-1,4
