index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,30.0,0,,40.0,0,,0.31666666666666665,240394,0.0,0.0,5,0,0,36,0,0.0,164,200,88,0.0,0.0,0,0,88,200,1.2561941090971231,1.2561941090971231
1,88,0,0,0,10.0,20,10.0,16.363636363636363,10,9.0,26.842105263157894,12,15.0,40.0,0,,0.6833333333333332,239762,0.0,0.0,9,0,0,30,0,0.0,41,71,51,1104.0,351.0,61,27,51,470,1.829921904951334,3.086116014048457
2,51,0,0,0,10.0,20,10.0,15.210084033613446,10,9.5,25.42024013722127,7,15.0,40.0,0,,0.6166666666666667,239490,0.0,0.0,8,0,0,13,0,0.0,24,37,32,469.0,124.0,28,23,32,400,1.1782280579209328,4.26434407196939
3,32,0,0,0,10.0,20,10.0,14.311565696302125,10,9.5,22.81538243224067,18,15.222222222222221,40.0,20,40.0,0.7833333333333333,239697,0.0,0.0,15,0,0,4,0,0.0,22,26,25,277.0,54.0,17,15,25,1369,0.9383953753858804,5.2027394473552695
4,25,0,0,0,10.0,20,10.0,13.88455663638556,5,9.0,22.81538243224067,0,,40.0,15,40.0,0.4166666666666667,240097,0.0,0.0,10,0,0,3,0,0.0,20,23,22,204.0,64.0,13,12,22,845,0.7590426318347454,5.961782079190017
5,22,0,0,0,10.0,20,10.0,19.488354953476843,58,24.896551724137932,25.70066600384075,10,44.0,40.0,10,40.0,0.8333333333333334,239619,0.0,0.0,13,0,0,4,0,0.0,16,20,29,150.0,95.0,10,12,29,2484,0.7464342173188925,6.708216296508907
6,29,0,0,0,10.0,20,10.0,22.494426783376788,64,27.3125,31.616824021918386,39,41.641025641025635,39.99999999999999,8,40.0,0.9666666666666668,237359,0.0,0.0,19,0,0,4,0,0.0,21,25,30,255.0,87.0,15,14,30,3892,0.8310039453208447,7.539220241829753
7,30,0,0,0,10.0,20,10.0,21.344656907818607,33,16.12121212121212,34.80095834679923,71,39.04225352112676,39.99999999999999,13,40.0,1.0,235548,0.0,0.0,20,0,0,6,0,0.0,16,22,28,220.0,141.0,13,17,28,4024,0.8019438162446022,8.341164058074355
8,28,0,0,0,10.0,20,10.0,21.60715068885266,54,22.407407407407412,36.432650089293936,69,39.95652173913044,39.99999999999999,9,40.0,1.0,232509,0.0,0.0,22,0,0,5,0,0.0,19,24,28,238.0,147.0,14,14,28,4527,0.908031053841114,9.249195111915471
9,28,0,0,0,10.000000000000002,20,10.0,22.076092416040176,49,23.959183673469386,36.35186023580455,28,35.785714285714285,39.99999999999999,13,40.0,0.9833333333333334,231825,0.0,0.0,17,0,0,7,0,0.0,17,24,34,255.0,129.0,15,13,34,2896,0.9208696074783802,10.17006471939385
10,34,0,0,0,10.000000000000002,20,10.0,22.96444376210511,42,27.642857142857146,37.59665871145592,117,39.74358974358975,39.99999999999999,9,40.0,1.0,224540,0.0,0.0,20,0,0,5,0,0.0,22,27,29,292.0,111.0,17,17,29,6371,1.3046308811753988,11.474695600569248
11,29,0,0,0,10.000000000000002,20,10.0,22.69901000879869,27,20.37037037037037,38.372989632958216,57,42.280701754385966,39.99999999999999,9,40.0,1.0,222830,0.0,0.0,15,0,0,3,0,0.0,22,25,28,292.0,96.0,17,12,28,3520,0.9879746697843076,12.462670270353556
12,28,0,0,0,10.000000000000002,20,10.0,23.210337126042837,55,25.418181818181814,39.379417519821175,54,45.148148148148145,39.99999999999999,10,40.0,1.0,220751,0.0,0.0,16,0,0,4,0,0.0,17,21,30,186.0,108.0,12,16,30,4436,1.0376848243176937,13.50035509467125
13,30,0,0,0,10.000000000000002,20,10.0,23.612898574690927,80,24.9375,39.81146506305976,39,43.43589743589744,39.99999999999999,11,40.0,1.0,217366,0.0,0.0,17,0,0,2,0,0.0,22,24,32,253.0,108.0,14,16,32,4329,1.1816592030227184,14.682014297693968
14,32,0,0,0,10.000000000000002,20,10.0,24.154716563052034,101,25.81188118811881,40.65027367562282,67,44.77611940298507,39.99999999999999,8,40.0,1.0,210611,0.0,0.0,17,0,0,4,0,0.0,22,26,29,259.0,78.0,16,16,29,6127,1.89088667742908,16.572900975123048
15,29,0,0,0,10.000000000000002,20,10.0,23.948074170681263,34,21.705882352941174,40.000204644042455,39,34.05128205128205,39.99999999999999,9,40.0,1.0,209967,0.0,0.0,17,0,0,5,0,0.0,17,22,25,222.0,97.0,13,16,25,2626,0.7797937523573637,17.352694727480408
16,25,0,0,0,10.000000000000002,20,10.0,23.678343059933624,41,21.29268292682927,40.015095202364506,46,40.130434782608695,39.99999999999999,13,40.0,1.0,209060,0.0,0.0,15,0,0,4,0,0.0,18,22,21,217.0,69.0,12,13,21,3439,0.6855187099426985,18.03821343742311
17,21,0,0,0,10.000000000000002,20,10.0,24.347661938719146,60,28.4,40.05847792853292,176,40.14772727272727,39.99999999999999,10,40.0,1.0,192502,0.0,0.0,23,0,0,3,0,0.0,16,19,21,165.0,63.0,10,11,21,9370,0.5271573010832071,18.56537073850632
18,21,0,0,0,10.000000000000002,20,10.0,24.46666621898764,10,29.0,40.23698448062851,15,46.0,39.99999999999999,12,40.0,1.0,192602,0.0,0.0,12,0,0,2,0,0.0,17,19,29,163.0,81.0,9,12,29,1660,0.8134360164403915,19.378806754946712
19,29,0,0,0,10.000000000000002,20,10.0,23.9739869327188,102,22.274509803921568,40.318906292941286,10,44.0,39.99999999999999,10,40.0,1.0,189998,0.0,0.0,20,0,0,3,0,0.0,23,26,27,259.0,114.0,16,13,27,3312,0.7559352964162827,20.134742051362988
20,27,0,0,0,10.000000000000002,20,10.0,23.717147669513587,18,17.88888888888889,41.076952573043314,73,45.369863013698634,39.99999999999999,3,40.0,0.9833333333333334,188257,0.0,0.0,15,0,0,3,0,0.0,19,22,19,201.0,105.0,12,15,19,3954,0.6328690350055695,20.767611086368557
21,19,0,0,0,10.000000000000002,20,10.0,24.122896649980284,51,27.176470588235286,41.1868991383701,10,46.0,39.99999999999999,16,40.0,0.9666666666666668,188037,0.0,0.0,15,0,0,2,0,0.0,15,17,22,145.0,93.0,8,11,22,2686,0.8170484807342291,21.58465956710279
22,22,0,0,0,10.000000000000002,20,10.0,24.44283240732564,56,26.67857142857143,40.91480595111706,98,39.795918367346935,39.99999999999999,13,40.0,0.95,183965,0.0,0.0,17,0,0,2,0,0.0,19,21,19,184.0,48.0,11,11,19,6114,0.5033188052475452,22.08797837235033
23,19,0,0,0,10.000000000000002,20,10.0,24.03679206038321,40,19.95,40.81892845111288,65,40.153846153846146,39.99999999999999,20,40.0,1.0,181849,0.0,0.0,22,0,0,1,0,0.0,19,20,24,172.0,42.0,10,9,24,4408,0.6707877833396196,22.758766155689955
24,24,0,0,0,10.000000000000002,20,10.0,24.387265591412053,32,28.75,40.54883590974681,39,37.333333333333336,39.99999999999999,20,40.0,1.0,181371,0.0,0.0,16,0,0,2,0,0.0,21,23,26,235.0,93.0,13,11,26,3376,0.8735063374042511,23.63227249309421
25,26,0,0,0,10.000000000000002,20,10.0,23.89049798357533,42,19.30952380952381,40.16209172646654,69,37.6231884057971,40.0,20,40.0,1.0,179014,0.0,0.0,23,0,0,3,0,0.0,19,22,28,216.0,177.0,12,14,28,4407,0.795964028686285,24.428236521780487
26,28,0,0,0,10.000000000000002,20,10.0,24.267571244287897,46,27.43478260869565,40.52725804040717,35,45.42857142857143,39.99999999999999,20,40.0,0.95,178266,0.0,0.0,18,0,0,2,0,0.0,23,25,24,244.0,99.0,15,13,24,3852,0.5532490517944098,24.9814855735749
27,24,0,0,0,10.000000000000002,20,10.0,23.70860162121412,60,20.08333333333333,40.75803062507803,20,46.0,39.99999999999999,20,40.0,1.0,177122,0.0,0.0,20,0,0,5,0,0.0,17,22,25,207.0,57.0,12,12,25,3125,0.7260717712342739,25.70755734480917
