index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,28.0,0,,40.0,0,,61.0,0,,0.2375,275882,0.0,0.0,7,0,0,23,0,0.0,180,203,97,0.0,0.0,0,0,97,200,2.2356852293014526,2.2356852293014526
1,97,0,0,0,10.0,20,10.0,19.610169491525426,14,21.571428571428577,27.125,3,14.0,27.824742268041238,52,17.28846153846154,61.0,0,,0.425,270734,0.0,0.0,22,0,0,20,0,0.0,61,81,40,1013.0,241.0,68,29,40,1443,2.0232816208153963,4.258966850116848
2,40,0,0,0,10.0,20,10.0,19.610169491525426,0,,27.125,0,,25.94428152492669,15,15.0,61.0,0,,0.3375,269668,0.0,0.0,10,0,0,1,0,0.0,24,25,41,157.0,106.0,12,28,41,425,1.3276413325220346,5.586608182638884
3,41,0,0,0,10.0,20,10.0,19.43253234750462,1,10.0,26.3093220338983,4,17.5,23.764928193499628,27,16.333333333333332,61.0,0,,0.3875,268094,0.0,0.0,12,0,0,1,0,0.0,26,27,38,201.0,84.0,15,26,38,721,1.0567582305520773,6.643366413190961
4,38,0,0,0,10.0,20,10.0,19.43253234750462,0,,28.06697556866048,5,43.0,21.269394990257663,35,13.628571428571426,61.0,20,61.0,0.4375,265443,0.0,0.0,19,0,0,2,0,0.0,23,25,38,138.0,91.0,12,26,38,2112,1.08309006690979,7.726456480100751
5,38,0,0,0,10.0,20,10.0,19.43253234750462,0,,29.631232715997648,5,43.0,22.72153819221567,28,29.357142857142854,61.0,20,61.0,0.4375,264636,0.0,0.0,18,0,0,3,0,0.0,25,28,38,146.0,95.0,14,24,38,2457,1.2426764592528343,8.969132939353587
6,38,0,0,0,10.0,20,10.0,21.011392192997157,11,28.0,32.793717329884444,9,47.88888888888889,23.76795841290279,77,25.675324675324674,61.0,20,61.0,0.55,257730,0.0,0.0,29,0,0,3,0,0.0,24,27,39,164.0,88.0,14,24,39,4136,1.2021215204149485,10.171254459768534
7,39,0,0,0,10.0,20,10.0,22.369138301324142,11,29.0,34.78672931914489,15,41.0,27.417751513364788,36,47.25,61.0,13,61.0,0.5875,255891,0.0,0.0,19,0,0,3,0,0.0,27,30,32,195.0,87.0,17,22,32,3628,1.1418596357107162,11.31311409547925
8,32,0,0,0,10.0,20,10.0,24.17054803413557,18,30.0,35.29948856041303,5,41.0,27.586422519442745,56,28.214285714285715,61.0,15,61.0,0.625,252188,0.0,0.0,22,0,0,4,0,0.0,25,29,27,177.0,58.0,15,17,27,3440,1.1340751517564058,12.447189247235654
9,27,0,0,0,10.000000000000002,20,10.0,25.38187657209589,18,30.0,40.983957722493436,60,46.15,27.49849442784428,48,27.0625,61.0,13,61.0,0.6125,247079,0.0,0.0,25,0,0,4,0,0.0,23,27,28,153.0,36.0,15,12,28,5601,0.7677215375006199,13.214910784736276
