index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,trading_price_5,sold_quantity_5,unit_price_5,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,24.0,0,,30.0,0,,38.0,0,,49.0,0,,63.0,0,,0.1,567146,0.0,0.0,12,0,0,75,0,0.0,291,366,102,0.0,0.0,0,0,102,200,4.350152166560292,4.350152166560292
1,102,0,0,0,10.0,20,10.0,24.0,0,,26.474576271186443,14,15.142857142857142,35.442307692307686,7,19.0,48.02173913043478,1,4.0,63.0,0,,0.28,566006,0.0,0.0,21,0,0,34,0,0.0,81,115,43,1511.0,131.0,94,8,43,549,2.5114180725067854,6.861570239067078
2,43,0,0,0,10.0,20,10.0,24.0,0,,25.411167512690355,6,16.0,33.30216802168021,27,29.592592592592588,35.875,25,15.76,63.0,0,,0.3,563056,0.0,0.0,20,0,0,11,0,0.0,44,55,40,485.0,111.0,33,10,40,1489,1.8588845189660788,8.720454758033156
3,40,0,0,0,10.0,20,10.0,28.57142857142857,32,35.0,23.858521918024998,10,15.6,33.31251854049243,1,34.0,22.299476345250998,51,6.3921568627450975,63.0,0,,0.22000000000000006,558359,0.0,0.0,23,0,0,13,0,0.0,36,49,40,497.0,111.0,32,8,40,1836,1.854132503271103,10.57458726130426
4,40,0,0,0,10.0,20,10.0,29.77725674091442,16,35.0,23.27640419904388,4,15.0,33.45987611261474,11,34.27272727272727,17.91114945161937,40,6.975,63.0,0,,0.24,553993,0.0,0.0,28,0,0,15,0,0.0,40,55,34,510.0,92.0,32,8,34,1476,1.4876340702176094,12.062221331521867
5,34,0,0,0,10.0,20,10.0,31.707317073170728,45,35.0,22.28552542928999,8,15.5,34.08046639533028,12,37.41666666666666,17.770233250580304,23,17.0,63.0,10,63.0,0.31999999999999995,550504,0.0,0.0,28,0,0,7,0,0.0,40,47,38,432.0,87.0,27,7,38,3369,1.6038906890898943,13.666112020611765
6,38,0,0,0,10.0,20,10.0,32.149486938456306,17,35.0,20.788143963127766,16,15.5,35.597871475101115,41,38.14634146341463,15.719053207249697,23,3.782608695652174,63.0,9,63.0,0.31,546247,0.0,0.0,35,0,0,7,0,0.0,42,49,39,476.0,91.0,30,8,39,3261,2.2234216071665287,15.889533627778293
7,39,0,0,0,10.0,20,10.0,32.149486938456306,0,,20.511592274569107,4,16.0,39.025164196249335,45,46.555555555555564,15.166523761654151,36,12.999999999999995,63.00000000000001,13,63.0,0.4,541281,0.0,0.0,37,0,0,11,0,0.0,41,52,38,478.0,108.0,31,8,38,3646,1.6981652025133371,17.587698830291632
8,38,0,0,0,10.0,20,10.0,33.07753278357131,55,35.0,20.239520584932944,4,16.0,38.9116216497055,26,38.346153846153854,14.761557276094413,6,4.0,63.00000000000002,11,63.0,0.34,538092,0.0,0.0,27,0,0,14,0,0.0,34,48,40,452.0,121.0,30,8,40,3903,1.7409230843186378,19.328621914610267
9,40,0,0,0,10.000000000000002,20,10.0,34.135387575072336,112,35.57142857142857,19.973288093827648,4,16.0,40.46996649929258,19,51.94736842105264,14.435661172818186,54,13.537037037037035,63.00000000000002,10,63.0,0.34,524556,0.0,0.0,46,0,0,13,0,0.0,40,53,43,501.0,118.0,32,8,43,6596,1.7788961920887232,21.107518106698986
