index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
203,OTHER,T37,0,1,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
241,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
758,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
5,OTHER,T37,0,1,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
266,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
270,OTHER,T37,0,2,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
51,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
395,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
520,OTHER,T37,0,4,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
291,OTHER,T37,0,1,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
163,OTHER,T37,0,1,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
396,OTHER,T37,1,1,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
891,T35,T35,1,11,16,-1,-1,1,02T35@1,05T35@2,17,-1,-1,-1,2
402,OTHER,T37,1,1,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
879,T35,T35,1,11,14,-1,-1,1,03T35@1,05T35@2,17,-1,-1,-1,2
869,T35,T35,1,1,15,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
870,T35,T35,1,1,15,1,-1,1,02T35@1,05T35@2,17,1,-1,-1,2
412,OTHER,T37,1,2,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
882,T35,T07,1,10,16,-1,-1,1,03T35@1,04T07@2,17,-1,-1,-1,2
887,T35,T07,1,11,14,-1,-1,1,02T35@1,04T07@2,17,-1,-1,-1,2
886,T37,T35,1,9,28,-1,-1,1,00T37@0,02T35@1,17,-1,-1,-1,1
91,OTHER,T35,1,1,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
337,OTHER,T35,1,1,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
578,OTHER,T37,1,1,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
889,T35,T07,1,9,16,-1,-1,1,02T35@1,04T07@2,17,-1,-1,-1,2
187,OTHER,T35,1,2,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
286,OTHER,T37,1,5,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
279,OTHER,T35,1,3,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
890,T35,T35,1,11,14,-1,-1,1,03T35@1,05T35@2,17,-1,-1,-1,2
221,OTHER,T37,1,2,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
478,OTHER,T37,1,1,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
694,OTHER,T37,2,2,10,0,-1,-1,SELLER,00T37@0,0,2,-1,-1,0
601,OTHER,T37,2,2,10,0,-1,-1,SELLER,00T37@0,0,2,-1,-1,0
765,OTHER,T35,2,2,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
216,OTHER,T35,2,1,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
853,T35,T35,2,7,16,1,-1,1,02T35@1,05T35@2,17,2,-1,-1,2
789,T35,T35,2,9,16,1,-1,1,03T35@1,05T35@2,17,2,-1,-1,2
849,T35,T35,2,11,16,1,-1,1,02T35@1,05T35@2,17,2,-1,-1,2
832,T35,T35,2,1,15,1,-1,1,03T35@1,05T35@2,17,2,-1,-1,2
824,T35,T07,2,8,16,1,-1,1,03T35@1,04T07@2,17,2,-1,-1,2
821,T37,T35,2,18,30,1,-1,1,00T37@0,02T35@1,17,2,-1,-1,1
82,OTHER,T35,2,1,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
814,T35,T35,2,9,16,1,-1,1,02T35@1,05T35@2,17,2,-1,-1,2
875,T35,T35,2,1,15,1,-1,1,02T35@1,05T35@2,17,2,-1,-1,2
645,OTHER,T35,2,2,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
807,T35,T35,2,7,16,1,-1,1,03T35@1,05T35@2,17,2,-1,-1,2
902,T35,T35,2,2,10,2,-1,2,01T35@0,02T35@1,17,2,-1,-1,1
642,OTHER,T37,2,3,10,0,-1,-1,SELLER,00T37@0,0,2,-1,-1,0
389,OTHER,T35,2,3,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
953,T35,T07,2,9,14,-1,-1,2,02T35@1,04T07@2,17,-1,-1,-1,2
952,T35,T35,2,25,11,-1,-1,2,01T35@0,03T35@1,17,-1,-1,-1,1
368,OTHER,T35,2,1,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
317,OTHER,T37,2,1,10,0,-1,-1,SELLER,00T37@0,0,2,-1,-1,0
927,T35,T35,2,2,10,2,-1,2,01T35@0,03T35@1,17,2,-1,-1,1
936,T35,T35,2,1,10,2,-1,2,01T35@0,03T35@1,17,2,-1,-1,1
804,T35,T35,2,9,16,1,-1,1,03T35@1,05T35@2,17,2,-1,-1,2
903,T35,T35,2,6,16,2,-1,2,03T35@1,05T35@2,17,2,-1,-1,2
309,OTHER,T37,2,2,10,0,-1,-1,SELLER,00T37@0,0,2,-1,-1,0
799,T35,T35,3,7,14,1,-1,1,03T35@1,05T35@2,17,3,-1,-1,2
798,T35,T07,3,8,14,1,-1,1,03T35@1,04T07@2,17,3,-1,-1,2
784,T35,T35,3,14,14,1,-1,1,02T35@1,05T35@2,17,3,-1,-1,2
301,OTHER,T37,3,1,10,0,-1,-1,SELLER,00T37@0,0,3,-1,-1,0
801,T35,T35,3,7,16,1,-1,1,02T35@1,05T35@2,17,3,-1,-1,2
794,T35,T35,3,7,14,1,-1,1,02T35@1,05T35@2,17,3,-1,-1,2
382,OTHER,T37,3,1,10,0,-1,-1,SELLER,00T37@0,0,3,-1,-1,0
193,OTHER,T37,3,1,10,0,-1,-1,SELLER,00T37@0,0,3,-1,-1,0
254,T35,OTHER,3,1,43,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
393,OTHER,T35,3,1,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
101,T35,OTHER,3,1,43,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
763,T07,OTHER,3,2,43,0,-1,-1,04T07@2,BUYER,0,3,-1,-1,3
416,T35,OTHER,3,1,43,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
424,OTHER,T37,3,1,10,0,-1,-1,SELLER,00T37@0,0,3,-1,-1,0
476,T07,OTHER,3,2,43,0,-1,-1,04T07@2,BUYER,0,3,-1,-1,3
479,OTHER,T37,3,2,10,0,-1,-1,SELLER,00T37@0,0,3,-1,-1,0
494,T35,OTHER,3,2,43,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
698,OTHER,T35,3,2,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
526,T07,OTHER,3,1,43,0,-1,-1,04T07@2,BUYER,0,3,-1,-1,3
566,OTHER,T35,3,3,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
690,OTHER,T37,3,2,10,0,-1,-1,SELLER,00T37@0,0,3,-1,-1,0
684,OTHER,T35,3,1,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
582,T35,OTHER,3,2,43,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
136,OTHER,T37,3,2,10,0,-1,-1,SELLER,00T37@0,0,3,-1,-1,0
674,T07,OTHER,3,2,43,0,-1,-1,04T07@2,BUYER,0,3,-1,-1,3
123,T35,OTHER,3,2,43,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
777,OTHER,T35,3,2,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
504,T07,OTHER,3,2,43,0,-1,-1,04T07@2,BUYER,0,3,-1,-1,3
103,T35,OTHER,3,2,43,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
206,OTHER,T37,3,1,10,0,-1,-1,SELLER,00T37@0,0,3,-1,-1,0
951,T35,T35,3,1,10,2,-1,2,01T35@0,02T35@1,17,3,-1,-1,1
949,T35,T35,3,20,11,2,-1,2,01T35@0,02T35@1,17,3,-1,-1,1
880,T37,T35,3,11,28,-1,-1,1,00T37@0,02T35@1,17,-1,-1,-1,1
916,T35,T07,3,11,16,2,-1,2,02T35@1,04T07@2,17,3,-1,-1,2
991,T35,T07,3,10,16,-1,-1,3,02T35@1,04T07@2,17,-1,-1,-1,2
992,T35,T07,3,10,16,-1,-1,3,03T35@1,04T07@2,17,-1,-1,-1,2
851,T35,T35,3,14,14,1,-1,1,03T35@1,05T35@2,17,3,-1,-1,2
845,T35,T35,3,9,14,1,-1,1,02T35@1,05T35@2,17,3,-1,-1,2
912,T35,T07,3,8,16,2,-1,2,02T35@1,04T07@2,17,3,-1,-1,2
896,T35,T35,3,14,9,2,-1,2,01T35@0,02T35@1,17,3,-1,-1,1
901,T35,T35,3,16,9,2,-1,2,01T35@0,02T35@1,17,3,-1,-1,1
871,T35,T35,3,7,16,1,-1,1,03T35@1,05T35@2,17,3,-1,-1,2
594,T07,OTHER,4,1,43,0,-1,-1,04T07@2,BUYER,0,4,-1,-1,3
450,T07,OTHER,4,1,43,0,-1,-1,04T07@2,BUYER,0,4,-1,-1,3
913,T35,T07,4,9,14,2,-1,2,03T35@1,04T07@2,17,4,-1,-1,2
915,T35,T35,4,16,11,2,-1,2,01T35@0,03T35@1,17,4,-1,-1,1
624,OTHER,T37,4,2,10,0,-1,-1,SELLER,00T37@0,0,4,-1,-1,0
541,T35,OTHER,4,3,43,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
946,T35,T35,4,1,10,2,-1,2,01T35@0,03T35@1,17,4,-1,-1,1
488,OTHER,T35,4,2,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
589,T35,OTHER,4,1,43,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
431,OTHER,T37,4,1,10,0,-1,-1,SELLER,00T37@0,0,4,-1,-1,0
128,OTHER,T35,4,1,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
233,T35,OTHER,4,3,43,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
1026,T35,T35,4,25,11,-1,-1,4,01T35@0,03T35@1,17,-1,-1,-1,1
1029,T37,T35,4,158,19,-1,-1,4,00T37@0,03T35@1,2,-1,-1,-1,1
1031,T35,T07,4,1,15,-1,-1,4,03T35@1,04T07@2,17,-1,-1,-1,2
191,OTHER,T35,4,3,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
1034,T35,T07,4,1,15,-1,-1,4,02T35@1,04T07@2,17,-1,-1,-1,2
445,T35,OTHER,4,3,43,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
986,T35,T35,4,16,9,3,-1,3,01T35@0,03T35@1,17,4,-1,-1,1
388,OTHER,T37,4,1,10,0,-1,-1,SELLER,00T37@0,0,4,-1,-1,0
975,T35,T07,4,8,14,3,-1,3,03T35@1,04T07@2,17,4,-1,-1,2
20,OTHER,T35,4,3,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
963,T35,T07,4,9,16,3,-1,3,03T35@1,04T07@2,17,4,-1,-1,2
422,T07,OTHER,4,2,43,0,-1,-1,04T07@2,BUYER,0,4,-1,-1,3
959,T35,T07,4,11,14,3,-1,3,03T35@1,04T07@2,17,4,-1,-1,2
977,T35,T35,4,8,16,3,-1,3,02T35@1,05T35@2,17,4,-1,-1,2
900,T35,T07,4,8,14,2,-1,2,02T35@1,04T07@2,17,4,-1,-1,2
816,T35,T35,4,8,14,1,-1,1,02T35@1,05T35@2,17,4,-1,-1,2
790,T35,T35,4,5,16,1,-1,1,02T35@1,05T35@2,17,4,-1,-1,2
720,OTHER,T35,4,1,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
857,T35,T35,4,7,14,1,-1,1,02T35@1,05T35@2,17,4,-1,-1,2
