index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
268,OTHER,T35,0,3,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
123,OTHER,T35,0,2,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
482,OTHER,T23,0,2,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
438,OTHER,T23,0,4,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
528,OTHER,T23,0,1,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
257,OTHER,T23,0,1,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
278,OTHER,T35,0,1,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
82,OTHER,T23,0,3,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
344,OTHER,T35,0,1,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
470,OTHER,T23,0,1,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
463,OTHER,T23,0,1,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
385,OTHER,T23,1,1,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
832,T22,T37,1,6,14,-1,-1,1,03T22@1,05T37@2,17,-1,-1,-1,2
782,T35,T22,1,2,8,1,-1,1,00T35@0,03T22@1,17,1,-1,-1,1
62,OTHER,T23,1,2,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
362,OTHER,T23,1,2,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
813,T23,T22,1,2,2,1,-1,1,01T23@0,03T22@1,12,1,-1,-1,1
563,OTHER,T23,1,4,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
234,OTHER,T35,1,1,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
790,T35,T22,1,1,8,1,-1,1,00T35@0,02T22@1,17,1,-1,-1,1
200,OTHER,T35,1,2,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
802,T23,T22,1,1,1,1,-1,1,01T23@0,02T22@1,13,1,-1,-1,1
803,T35,T22,1,2,8,1,-1,1,00T35@0,02T22@1,17,1,-1,-1,1
805,T23,T22,1,2,1,1,-1,1,01T23@0,03T22@1,9,1,-1,-1,1
606,OTHER,T35,1,1,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
788,T35,T22,1,1,8,1,-1,1,00T35@0,03T22@1,17,1,-1,-1,1
69,OTHER,T35,1,1,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
162,OTHER,T35,1,3,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
825,T22,T37,1,6,13,-1,-1,1,02T22@1,05T37@2,17,-1,-1,-1,2
823,T22,T37,1,6,13,-1,-1,1,02T22@1,05T37@2,17,-1,-1,-1,2
445,OTHER,T35,1,3,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
812,T35,T22,1,2,8,1,-1,1,00T35@0,02T22@1,17,1,-1,-1,1
818,T35,T22,1,1,8,1,-1,1,00T35@0,02T22@1,17,1,-1,-1,1
329,OTHER,T23,2,3,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
331,OTHER,T23,2,1,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
306,OTHER,T35,2,2,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
842,T23,T22,2,3,1,2,-1,2,01T23@0,02T22@1,12,2,-1,-1,1
792,T22,T37,2,8,14,1,-1,1,03T22@1,05T37@2,17,2,-1,-1,2
834,T23,T22,2,5,1,2,-1,2,01T23@0,03T22@1,13,2,-1,-1,1
872,T22,T37,2,7,14,-1,-1,2,02T22@1,05T37@2,17,-1,-1,-1,2
789,T23,T22,2,3,2,1,-1,1,01T23@0,02T22@1,12,2,-1,-1,1
218,OTHER,T35,2,2,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
871,T22,T37,2,5,40,-1,-1,2,02T22@1,05T37@2,17,-1,-1,-1,2
787,T23,T22,2,1,1,1,-1,1,01T23@0,02T22@1,14,2,-1,-1,1
835,T35,T22,2,2,8,2,-1,2,00T35@0,02T22@1,17,2,-1,-1,1
786,T23,T22,2,4,6,1,-1,1,01T23@0,02T22@1,16,2,-1,-1,1
783,T35,T22,2,1,8,1,-1,1,00T35@0,03T22@1,17,2,-1,-1,1
810,T35,T22,2,1,8,1,-1,1,00T35@0,02T22@1,17,2,-1,-1,1
533,OTHER,T35,2,5,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
310,OTHER,T35,2,1,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
390,OTHER,T23,2,3,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
295,OTHER,T35,2,1,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
480,OTHER,T23,2,2,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
509,T37,OTHER,3,1,35,0,-1,-1,05T37@2,BUYER,0,3,-1,-1,3
806,T23,T22,3,1,3,1,-1,1,01T23@0,03T22@1,13,3,-1,-1,1
791,T23,T22,3,4,4,1,-1,1,01T23@0,02T22@1,14,3,-1,-1,1
341,T37,OTHER,3,1,35,0,-1,-1,05T37@2,BUYER,0,3,-1,-1,3
605,OTHER,T23,3,1,10,0,-1,-1,SELLER,01T23@0,0,3,-1,-1,0
505,T24,OTHER,3,1,35,0,-1,-1,04T24@2,BUYER,0,3,-1,-1,3
270,T37,OTHER,3,1,35,0,-1,-1,05T37@2,BUYER,0,3,-1,-1,3
118,OTHER,T35,3,3,10,0,-1,-1,SELLER,00T35@0,0,3,-1,-1,0
885,T35,T22,3,1,8,3,-1,3,00T35@0,03T22@1,17,3,-1,-1,1
116,OTHER,T35,3,1,10,0,-1,-1,SELLER,00T35@0,0,3,-1,-1,0
195,OTHER,T23,3,2,10,0,-1,-1,SELLER,01T23@0,0,3,-1,-1,0
596,T24,OTHER,3,4,35,0,-1,-1,04T24@2,BUYER,0,3,-1,-1,3
182,OTHER,T35,3,2,10,0,-1,-1,SELLER,00T35@0,0,3,-1,-1,0
899,T22,T37,3,5,40,-1,-1,3,02T22@1,05T37@2,17,-1,-1,-1,2
256,OTHER,T35,3,1,10,0,-1,-1,SELLER,00T35@0,0,3,-1,-1,0
902,T22,T37,3,5,40,-1,-1,3,03T22@1,05T37@2,17,-1,-1,-1,2
665,T24,OTHER,3,2,35,0,-1,-1,04T24@2,BUYER,0,3,-1,-1,3
216,OTHER,T23,3,1,10,0,-1,-1,SELLER,01T23@0,0,3,-1,-1,0
881,T35,T22,3,2,8,3,-1,3,00T35@0,02T22@1,17,3,-1,-1,1
664,T37,OTHER,3,1,35,0,-1,-1,05T37@2,BUYER,0,3,-1,-1,3
316,OTHER,T35,3,3,10,0,-1,-1,SELLER,00T35@0,0,3,-1,-1,0
540,T37,OTHER,3,2,35,0,-1,-1,05T37@2,BUYER,0,3,-1,-1,3
867,T22,T37,3,5,40,-1,-1,2,02T22@1,05T37@2,17,-1,-1,-1,2
833,T23,T22,3,1,1,2,-1,2,01T23@0,02T22@1,9,3,-1,-1,1
274,T24,OTHER,3,2,35,0,-1,-1,04T24@2,BUYER,0,3,-1,-1,3
546,OTHER,T23,3,1,10,0,-1,-1,SELLER,01T23@0,0,3,-1,-1,0
126,OTHER,T23,3,3,10,0,-1,-1,SELLER,01T23@0,0,3,-1,-1,0
777,T23,T22,3,5,1,1,-1,1,01T23@0,03T22@1,8,3,-1,-1,1
809,T35,T22,3,1,8,1,-1,1,00T35@0,03T22@1,17,3,-1,-1,1
60,T37,OTHER,3,2,35,0,-1,-1,05T37@2,BUYER,0,3,-1,-1,3
493,OTHER,T35,3,1,10,0,-1,-1,SELLER,00T35@0,0,3,-1,-1,0
462,OTHER,T23,3,1,10,0,-1,-1,SELLER,01T23@0,0,3,-1,-1,0
663,T37,OTHER,3,3,35,0,-1,-1,05T37@2,BUYER,0,3,-1,-1,3
848,T35,T22,3,1,8,2,-1,2,00T35@0,02T22@1,17,3,-1,-1,1
875,T35,T22,3,2,8,3,-1,3,00T35@0,03T22@1,17,3,-1,-1,1
289,T37,OTHER,4,1,35,0,-1,-1,05T37@2,BUYER,0,4,-1,-1,3
