index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
79,OTHER,T23,0,4,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
42,OTHER,T23,0,4,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
118,OTHER,T23,0,4,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
172,OTHER,T23,0,4,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
95,OTHER,T23,0,4,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
40,OTHER,T23,1,1,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
24,OTHER,T23,1,8,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
71,OTHER,T23,1,4,10,0,-1,-1,SELLER,00T23@0,0,1,-1,-1,0
218,T23,T40,1,1,4,1,-1,1,00T23@0,02T40@1,14,1,-1,-1,1
217,T40,T40,1,5,13,1,-1,1,02T40@1,04T40@2,17,1,-1,-1,2
19,OTHER,T23,1,2,10,0,-1,-1,SELLER,00T23@0,0,1,-1,-1,0
109,OTHER,T23,1,3,10,0,-1,-1,SELLER,00T23@0,0,1,-1,-1,0
34,OTHER,T23,1,2,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
215,T23,T40,1,1,2,1,-1,1,01T23@0,02T40@1,11,1,-1,-1,1
227,T40,T40,1,5,40,-1,-1,1,02T40@1,04T40@2,17,-1,-1,-1,2
30,OTHER,T23,2,1,10,0,-1,-1,SELLER,00T23@0,0,2,-1,-1,0
224,T23,T40,2,4,1,1,-1,1,00T23@0,02T40@1,14,2,-1,-1,1
203,T23,T40,2,1,5,1,-1,1,01T23@0,02T40@1,16,2,-1,-1,1
207,T23,T40,2,2,1,1,-1,1,01T23@0,02T40@1,10,2,-1,-1,1
132,OTHER,T23,2,2,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
226,T40,T40,2,5,40,-1,-1,1,02T40@1,04T40@2,17,-1,-1,-1,2
75,OTHER,T23,2,3,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
84,OTHER,T23,2,4,10,0,-1,-1,SELLER,00T23@0,0,2,-1,-1,0
80,OTHER,T23,2,6,10,0,-1,-1,SELLER,00T23@0,0,2,-1,-1,0
228,T40,T40,2,4,49,-1,-1,1,04T40@2,06T40@3,17,-1,-1,-1,3
110,OTHER,T23,2,4,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
199,T23,T40,3,5,1,1,-1,1,00T23@0,02T40@1,17,3,-1,-1,1
213,T23,T40,3,3,1,1,-1,1,00T23@0,02T40@1,10,3,-1,-1,1
105,OTHER,T23,3,3,10,0,-1,-1,SELLER,00T23@0,0,3,-1,-1,0
245,T23,T40,3,1,4,3,-1,3,01T23@0,02T40@1,16,3,-1,-1,1
167,OTHER,T23,3,5,10,0,-1,-1,SELLER,00T23@0,0,3,-1,-1,0
219,T40,T40,3,7,16,1,-1,1,04T40@2,06T40@3,17,3,-1,-1,3
146,OTHER,T23,3,4,10,0,-1,-1,SELLER,01T23@0,0,3,-1,-1,0
222,T23,T40,3,3,1,1,-1,1,01T23@0,02T40@1,11,3,-1,-1,1
74,OTHER,T23,3,4,10,0,-1,-1,SELLER,01T23@0,0,3,-1,-1,0
225,T40,T40,3,4,49,1,-1,1,04T40@2,06T40@3,17,3,-1,-1,3
133,OTHER,T23,3,4,10,0,-1,-1,SELLER,01T23@0,0,3,-1,-1,0
209,T23,T40,3,1,4,1,-1,1,01T23@0,02T40@1,15,3,-1,-1,1
50,OTHER,T23,4,5,10,0,-1,-1,SELLER,01T23@0,0,4,-1,-1,0
159,T19,OTHER,4,2,45,0,-1,-1,07T19@3,BUYER,0,4,-1,-1,4
160,OTHER,T23,4,6,10,0,-1,-1,SELLER,00T23@0,0,4,-1,-1,0
161,OTHER,T23,4,3,10,0,-1,-1,SELLER,01T23@0,0,4,-1,-1,0
201,T40,T40,4,5,40,1,-1,1,02T40@1,04T40@2,17,4,-1,-1,2
140,T40,OTHER,4,2,45,0,-1,-1,06T40@3,BUYER,0,4,-1,-1,4
36,OTHER,T23,4,3,10,0,-1,-1,SELLER,00T23@0,0,4,-1,-1,0
33,OTHER,T23,4,3,10,0,-1,-1,SELLER,00T23@0,0,4,-1,-1,0
77,T19,OTHER,4,4,45,0,-1,-1,07T19@3,BUYER,0,4,-1,-1,4
252,T23,T40,4,3,1,3,-1,3,01T23@0,02T40@1,12,4,-1,-1,1
7,T40,OTHER,4,2,45,0,-1,-1,06T40@3,BUYER,0,4,-1,-1,4
66,T40,OTHER,4,5,45,0,-1,-1,06T40@3,BUYER,0,4,-1,-1,4
166,T19,OTHER,4,5,45,0,-1,-1,07T19@3,BUYER,0,4,-1,-1,4
142,T40,OTHER,5,3,45,0,-1,-1,06T40@3,BUYER,0,5,-1,-1,4
129,OTHER,T23,5,5,10,0,-1,-1,SELLER,01T23@0,0,5,-1,-1,0
154,T40,OTHER,5,4,45,0,-1,-1,06T40@3,BUYER,0,5,-1,-1,4
108,T19,OTHER,5,5,45,0,-1,-1,07T19@3,BUYER,0,5,-1,-1,4
107,T19,OTHER,5,3,45,0,-1,-1,07T19@3,BUYER,0,5,-1,-1,4
88,OTHER,T23,5,5,10,0,-1,-1,SELLER,00T23@0,0,5,-1,-1,0
91,OTHER,T23,5,5,10,0,-1,-1,SELLER,00T23@0,0,5,-1,-1,0
168,OTHER,T23,5,4,10,0,-1,-1,SELLER,01T23@0,0,5,-1,-1,0
281,T23,T40,5,1,1,5,-1,5,00T23@0,02T40@1,12,5,-1,-1,1
4,OTHER,T23,5,1,10,0,-1,-1,SELLER,01T23@0,0,5,-1,-1,0
196,T40,T40,5,5,40,1,-1,1,02T40@1,04T40@2,17,5,-1,-1,2
270,T23,T40,5,2,1,4,-1,4,01T23@0,02T40@1,14,5,-1,-1,1
258,T23,T40,5,2,1,3,-1,3,00T23@0,02T40@1,11,5,-1,-1,1
214,T23,T40,5,3,1,1,-1,1,00T23@0,02T40@1,10,5,-1,-1,1
21,T40,OTHER,5,5,45,0,-1,-1,06T40@3,BUYER,0,5,-1,-1,4
96,T19,OTHER,6,7,45,0,-1,-1,07T19@3,BUYER,0,6,-1,-1,4
86,OTHER,T23,6,1,10,0,-1,-1,SELLER,01T23@0,0,6,-1,-1,0
260,T23,T40,6,2,1,4,-1,4,00T23@0,02T40@1,10,6,-1,-1,1
244,T23,T40,6,3,3,3,-1,3,00T23@0,02T40@1,14,6,-1,-1,1
237,T23,T40,6,3,1,2,-1,2,00T23@0,02T40@1,9,6,-1,-1,1
76,OTHER,T23,6,4,10,0,-1,-1,SELLER,01T23@0,0,6,-1,-1,0
164,T19,OTHER,6,4,45,0,-1,-1,07T19@3,BUYER,0,6,-1,-1,4
230,T23,T40,6,2,4,2,-1,2,01T23@0,02T40@1,15,6,-1,-1,1
221,T40,T40,6,4,50,1,-1,1,04T40@2,06T40@3,17,6,-1,-1,3
53,T40,OTHER,6,3,45,0,-1,-1,06T40@3,BUYER,0,6,-1,-1,4
17,T19,OTHER,6,1,45,0,-1,-1,07T19@3,BUYER,0,6,-1,-1,4
200,T40,T40,6,4,49,1,-1,1,04T40@2,06T40@3,17,6,-1,-1,3
141,OTHER,T23,6,7,10,0,-1,-1,SELLER,01T23@0,0,6,-1,-1,0
220,T40,T40,6,5,40,1,-1,1,02T40@1,04T40@2,17,6,-1,-1,2
29,OTHER,T23,6,3,10,0,-1,-1,SELLER,00T23@0,0,6,-1,-1,0
28,OTHER,T23,6,5,10,0,-1,-1,SELLER,00T23@0,0,6,-1,-1,0
38,T40,OTHER,6,5,45,0,-1,-1,06T40@3,BUYER,0,6,-1,-1,4
139,OTHER,T23,7,2,10,0,-1,-1,SELLER,01T23@0,0,7,-1,-1,0
149,OTHER,T23,7,2,10,0,-1,-1,SELLER,00T23@0,0,7,-1,-1,0
184,T40,OTHER,7,6,45,-1,-1,-1,06T40@3,BUYER,0,-1,-1,-1,4
303,T23,T40,7,5,3,7,-1,7,01T23@0,02T40@1,13,7,-1,-1,1
171,OTHER,T23,7,7,10,0,-1,-1,SELLER,00T23@0,0,7,-1,-1,0
235,T40,T40,7,6,49,2,-1,2,04T40@2,06T40@3,17,7,-1,-1,3
309,T23,T40,7,4,3,7,-1,7,00T23@0,02T40@1,15,7,-1,-1,1
273,T23,T40,7,1,1,5,-1,5,01T23@0,02T40@1,11,7,-1,-1,1
0,OTHER,T23,7,4,10,0,-1,-1,SELLER,00T23@0,0,7,-1,-1,0
15,T19,OTHER,7,4,45,0,-1,-1,07T19@3,BUYER,0,7,-1,-1,4
23,OTHER,T23,7,3,10,0,-1,-1,SELLER,01T23@0,0,7,-1,-1,0
43,T40,OTHER,7,3,45,0,-1,-1,06T40@3,BUYER,0,7,-1,-1,4
44,T19,OTHER,7,4,45,0,-1,-1,07T19@3,BUYER,0,7,-1,-1,4
82,T40,OTHER,7,3,45,0,-1,-1,06T40@3,BUYER,0,7,-1,-1,4
72,OTHER,T23,7,2,10,0,-1,-1,SELLER,00T23@0,0,7,-1,-1,0
92,OTHER,T23,8,4,10,0,-1,-1,SELLER,01T23@0,0,8,-1,-1,0
136,OTHER,T23,8,3,10,0,-1,-1,SELLER,00T23@0,0,8,-1,-1,0
144,T19,OTHER,8,5,45,0,-1,-1,07T19@3,BUYER,0,8,-1,-1,4
147,T19,OTHER,8,2,45,0,-1,-1,07T19@3,BUYER,0,8,-1,-1,4
78,OTHER,T23,8,6,10,0,-1,-1,SELLER,00T23@0,0,8,-1,-1,0
58,OTHER,T23,8,2,10,0,-1,-1,SELLER,01T23@0,0,8,-1,-1,0
57,OTHER,T23,8,1,10,0,-1,-1,SELLER,00T23@0,0,8,-1,-1,0
55,T40,OTHER,8,5,45,0,-1,-1,06T40@3,BUYER,0,8,-1,-1,4
121,T19,OTHER,8,2,45,0,-1,-1,07T19@3,BUYER,0,8,-1,-1,4
194,T40,OTHER,8,4,45,-1,-1,-1,06T40@3,BUYER,0,-1,-1,-1,4
