index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
413,OTHER,T22,0,2,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
405,OTHER,T35,0,4,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
45,OTHER,T22,0,5,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
236,OTHER,T22,0,2,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
455,OTHER,T22,0,1,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
364,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
78,OTHER,T22,0,1,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
262,OTHER,T22,0,2,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
265,OTHER,T35,0,1,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
534,T35,T37,1,5,9,-1,-1,1,01T35@0,03T37@1,17,-1,-1,-1,1
441,OTHER,T22,1,5,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
353,OTHER,T35,1,4,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
537,T15,T35,1,7,14,-1,-1,1,02T15@1,04T35@2,17,-1,-1,-1,2
533,T35,T37,1,5,9,-1,-1,1,01T35@0,03T37@1,17,-1,-1,-1,1
419,OTHER,T22,1,3,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
531,T15,T35,1,7,14,-1,-1,1,02T15@1,04T35@2,17,-1,-1,-1,2
89,OTHER,T22,1,2,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
295,OTHER,T22,1,2,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
238,OTHER,T35,1,2,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
224,OTHER,T22,1,1,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
511,T35,T15,1,5,8,1,-1,1,01T35@0,02T15@1,17,1,-1,-1,1
300,OTHER,T35,1,1,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
498,T35,T15,1,5,9,1,-1,1,01T35@0,02T15@1,17,1,-1,-1,1
138,OTHER,T35,2,2,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
582,T35,T37,2,5,8,-1,-1,2,01T35@0,03T37@1,17,-1,-1,-1,1
584,T37,T35,2,5,43,-1,-1,2,03T37@1,04T35@2,17,-1,-1,-1,2
590,T15,T35,2,6,14,-1,-1,2,02T15@1,05T35@2,17,-1,-1,-1,2
388,OTHER,T35,2,3,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
591,T15,T35,2,6,14,-1,-1,2,02T15@1,05T35@2,17,-1,-1,-1,2
61,OTHER,T35,2,3,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
70,OTHER,T22,2,4,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
416,OTHER,T22,2,2,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
589,T15,T35,2,6,14,-1,-1,2,02T15@1,04T35@2,17,-1,-1,-1,2
505,T35,T37,2,5,8,1,-1,1,01T35@0,03T37@1,17,2,-1,-1,1
98,OTHER,T22,2,2,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
429,OTHER,T35,2,2,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
507,T22,T15,2,5,8,1,-1,1,00T22@0,02T15@1,17,2,-1,-1,1
532,T15,T35,2,5,43,-1,-1,1,02T15@1,04T35@2,17,-1,-1,-1,2
568,T35,T15,2,5,9,2,-1,2,01T35@0,02T15@1,17,2,-1,-1,1
502,T22,T15,2,5,8,1,-1,1,00T22@0,02T15@1,17,2,-1,-1,1
26,OTHER,T22,2,2,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
492,T22,T15,2,5,8,1,-1,1,00T22@0,02T15@1,17,2,-1,-1,1
550,T35,T15,2,5,9,2,-1,2,01T35@0,02T15@1,17,2,-1,-1,1
570,T37,T35,3,5,43,2,-1,2,03T37@1,04T35@2,17,3,-1,-1,2
301,T35,OTHER,3,2,37,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
515,T22,T37,3,5,9,1,-1,1,00T22@0,03T37@1,17,3,-1,-1,1
291,T35,OTHER,3,2,37,0,-1,-1,04T35@2,BUYER,0,3,-1,-1,3
491,T15,T35,3,5,43,1,-1,1,02T15@1,04T35@2,17,3,-1,-1,2
7,T35,OTHER,3,1,37,0,-1,-1,04T35@2,BUYER,0,3,-1,-1,3
493,T37,T35,3,5,43,1,-1,1,03T37@1,05T35@2,17,3,-1,-1,2
340,OTHER,T35,3,1,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
497,T35,T37,3,5,8,1,-1,1,01T35@0,03T37@1,17,3,-1,-1,1
233,T35,OTHER,3,5,37,0,-1,-1,04T35@2,BUYER,0,3,-1,-1,3
218,T35,OTHER,3,2,37,0,-1,-1,04T35@2,BUYER,0,3,-1,-1,3
214,OTHER,T22,3,1,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
150,OTHER,T22,3,3,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
2,T35,OTHER,3,4,37,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
260,T35,OTHER,3,3,37,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
638,T35,T37,3,5,9,-1,-1,3,01T35@0,03T37@1,17,-1,-1,-1,1
329,OTHER,T22,3,2,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
637,T35,T37,3,5,8,-1,-1,3,01T35@0,03T37@1,17,-1,-1,-1,1
36,OTHER,T35,3,2,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
410,OTHER,T22,3,2,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
578,T35,T37,3,5,8,2,-1,2,01T35@0,03T37@1,17,3,-1,-1,1
439,OTHER,T35,3,4,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
104,OTHER,T35,3,2,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
47,OTHER,T22,3,3,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
343,T35,OTHER,3,1,37,0,-1,-1,04T35@2,BUYER,0,3,-1,-1,3
541,T35,T37,3,5,8,2,-1,2,01T35@0,03T37@1,17,3,-1,-1,1
605,T35,T15,3,5,9,3,-1,3,01T35@0,02T15@1,17,3,-1,-1,1
544,T35,T15,3,5,8,2,-1,2,01T35@0,02T15@1,17,3,-1,-1,1
635,T15,T35,3,142,28,-1,-1,3,02T15@1,05T35@2,2,-1,-1,-1,2
633,T37,T35,3,86,28,-1,-1,3,03T37@1,05T35@2,2,-1,-1,-1,2
616,T35,T15,3,5,9,3,-1,3,01T35@0,02T15@1,17,3,-1,-1,1
490,T37,T35,4,5,43,1,-1,1,03T37@1,05T35@2,17,4,-1,-1,2
109,OTHER,T22,4,1,10,0,-1,-1,SELLER,00T22@0,0,4,-1,-1,0
539,T35,T15,4,5,9,2,-1,2,01T35@0,02T15@1,17,4,-1,-1,1
569,T35,T37,4,5,8,2,-1,2,01T35@0,03T37@1,17,4,-1,-1,1
152,OTHER,T22,4,3,10,0,-1,-1,SELLER,00T22@0,0,4,-1,-1,0
158,OTHER,T35,4,2,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
646,T35,T15,4,5,9,4,-1,4,01T35@0,02T15@1,17,4,-1,-1,1
580,T15,T35,4,5,43,-1,-1,2,02T15@1,05T35@2,17,-1,-1,-1,2
219,T35,OTHER,4,1,37,0,-1,-1,04T35@2,BUYER,0,4,-1,-1,3
566,T35,T37,4,5,8,2,-1,2,01T35@0,03T37@1,17,4,-1,-1,1
328,OTHER,T22,4,5,10,0,-1,-1,SELLER,00T22@0,0,4,-1,-1,0
673,T35,T37,4,5,9,-1,-1,4,01T35@0,03T37@1,17,-1,-1,-1,1
557,T35,T15,4,5,8,2,-1,2,01T35@0,02T15@1,17,4,-1,-1,1
675,T15,T35,4,165,28,-1,-1,4,02T15@1,05T35@2,2,-1,-1,-1,2
467,OTHER,T35,4,1,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
268,T35,OTHER,4,3,37,0,-1,-1,04T35@2,BUYER,0,4,-1,-1,3
275,T35,OTHER,4,3,37,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
466,T35,OTHER,4,2,37,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
398,OTHER,T35,4,3,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
588,T37,T35,4,5,43,-1,-1,2,03T37@1,05T35@2,17,-1,-1,-1,2
0,T35,OTHER,4,4,37,0,-1,-1,04T35@2,BUYER,0,4,-1,-1,3
3,T35,OTHER,4,3,37,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
35,OTHER,T35,4,2,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
34,OTHER,T22,4,3,10,0,-1,-1,SELLER,00T22@0,0,4,-1,-1,0
83,T35,OTHER,4,2,37,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
25,T35,OTHER,4,2,37,0,-1,-1,04T35@2,BUYER,0,4,-1,-1,3
610,T35,T37,5,5,8,3,-1,3,01T35@0,03T37@1,17,5,-1,-1,1
88,T35,OTHER,5,2,37,0,-1,-1,04T35@2,BUYER,0,5,-1,-1,3
661,T35,T15,5,5,9,4,-1,4,01T35@0,02T15@1,17,5,-1,-1,1
209,OTHER,T22,5,2,10,0,-1,-1,SELLER,00T22@0,0,5,-1,-1,0
336,T35,OTHER,5,1,37,0,-1,-1,04T35@2,BUYER,0,5,-1,-1,3
203,OTHER,T35,5,1,10,0,-1,-1,SELLER,01T35@0,0,5,-1,-1,0
177,T35,OTHER,5,1,37,0,-1,-1,04T35@2,BUYER,0,5,-1,-1,3
315,T35,OTHER,5,4,37,0,-1,-1,05T35@2,BUYER,0,5,-1,-1,3
376,T35,OTHER,5,3,37,0,-1,-1,05T35@2,BUYER,0,5,-1,-1,3
380,OTHER,T35,5,3,10,0,-1,-1,SELLER,01T35@0,0,5,-1,-1,0
431,T35,OTHER,5,1,37,0,-1,-1,04T35@2,BUYER,0,5,-1,-1,3
86,T35,OTHER,5,1,37,0,-1,-1,05T35@2,BUYER,0,5,-1,-1,3
37,OTHER,T35,5,3,10,0,-1,-1,SELLER,01T35@0,0,5,-1,-1,0
189,OTHER,T22,5,1,10,0,-1,-1,SELLER,00T22@0,0,5,-1,-1,0
459,T35,OTHER,5,2,37,0,-1,-1,05T35@2,BUYER,0,5,-1,-1,3
220,T35,OTHER,5,5,37,0,-1,-1,04T35@2,BUYER,0,5,-1,-1,3
529,T22,T15,5,15,25,-1,-1,1,00T22@0,02T15@1,17,-1,-1,-1,1
241,OTHER,T22,5,4,10,0,-1,-1,SELLER,00T22@0,0,5,-1,-1,0
538,T15,T35,5,5,43,2,-1,2,02T15@1,05T35@2,17,5,-1,-1,2
713,T15,T35,5,5,14,-1,-1,5,02T15@1,04T35@2,17,-1,-1,-1,2
80,OTHER,T35,5,1,10,0,-1,-1,SELLER,01T35@0,0,5,-1,-1,0
711,T37,T35,5,95,28,-1,-1,5,03T37@1,05T35@2,2,-1,-1,-1,2
506,T15,T35,5,5,43,1,-1,1,02T15@1,05T35@2,17,5,-1,-1,2
710,T37,T35,5,73,28,-1,-1,5,03T37@1,04T35@2,2,-1,-1,-1,2
684,T15,T35,5,5,14,5,-1,5,02T15@1,05T35@2,17,5,-1,-1,2
267,OTHER,T35,5,5,10,0,-1,-1,SELLER,01T35@0,0,5,-1,-1,0
530,T22,T37,5,15,25,-1,-1,1,00T22@0,03T37@1,17,-1,-1,-1,1
162,OTHER,T22,6,1,10,0,-1,-1,SELLER,00T22@0,0,6,-1,-1,0
163,T35,OTHER,6,3,37,0,-1,-1,05T35@2,BUYER,0,6,-1,-1,3
