index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
19,OTHER,T22,0,3,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
2,OTHER,T09,0,2,10,0,-1,-1,SELLER,00T09@0,0,0,-1,-1,0
3,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
8,OTHER,T09,0,2,10,0,-1,-1,SELLER,00T09@0,0,0,-1,-1,0
9,OTHER,T09,0,3,10,0,-1,-1,SELLER,00T09@0,0,0,-1,-1,0
10,OTHER,T22,0,3,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
22,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
17,OTHER,T22,0,3,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
15,OTHER,T09,0,2,10,0,-1,-1,SELLER,00T09@0,0,0,-1,-1,0
45,T09,T35,1,9,25,1,-1,1,00T09@0,02T35@1,17,1,-1,-1,1
53,T22,T22,1,1,9,1,-1,1,01T22@0,03T22@1,17,1,-1,-1,1
62,T22,T35,1,9,25,-1,-1,1,01T22@0,02T35@1,17,-1,-1,-1,1
67,T22,T35,1,1,36,-1,-1,1,03T22@1,05T35@2,17,-1,-1,-1,2
23,OTHER,T22,1,2,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
40,T22,T22,1,1,9,1,-1,1,01T22@0,03T22@1,17,1,-1,-1,1
18,OTHER,T22,1,3,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
0,OTHER,T09,1,1,10,0,-1,-1,SELLER,00T09@0,0,1,-1,-1,0
39,T22,T22,1,1,9,1,-1,1,01T22@0,03T22@1,17,1,-1,-1,1
13,OTHER,T09,1,3,10,0,-1,-1,SELLER,00T09@0,0,1,-1,-1,0
1,OTHER,T09,1,1,10,0,-1,-1,SELLER,00T09@0,0,1,-1,-1,0
4,OTHER,T09,1,4,10,0,-1,-1,SELLER,00T09@0,0,1,-1,-1,0
11,OTHER,T09,1,3,10,0,-1,-1,SELLER,00T09@0,0,1,-1,-1,0
6,OTHER,T22,1,3,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
56,T22,T35,2,11,25,1,-1,1,01T22@0,02T35@1,17,2,-1,-1,1
93,T22,T35,2,24,17,-1,-1,2,01T22@0,02T35@1,2,-1,-1,-1,1
5,OTHER,T22,2,3,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
16,OTHER,T22,2,2,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
14,OTHER,T22,2,1,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
24,OTHER,T09,2,2,10,0,-1,-1,SELLER,00T09@0,0,2,-1,-1,0
7,OTHER,T22,2,3,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
21,OTHER,T09,2,4,10,0,-1,-1,SELLER,00T09@0,0,2,-1,-1,0
20,OTHER,T09,2,4,10,0,-1,-1,SELLER,00T09@0,0,2,-1,-1,0
12,OTHER,T09,2,1,10,0,-1,-1,SELLER,00T09@0,0,2,-1,-1,0
70,T22,T22,2,2,9,2,-1,2,01T22@0,03T22@1,17,2,-1,-1,1
65,T22,T35,2,1,36,-1,-1,1,03T22@1,05T35@2,17,-1,-1,-1,2
58,OTHER,T09,3,2,10,1,-1,-1,SELLER,00T09@0,0,3,-1,-1,0
57,OTHER,T22,3,3,10,1,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
55,OTHER,T09,3,2,10,1,-1,-1,SELLER,00T09@0,0,3,-1,-1,0
48,T22,T35,3,11,25,1,-1,1,01T22@0,02T35@1,17,3,-1,-1,1
41,OTHER,T09,3,4,10,1,-1,-1,SELLER,00T09@0,0,3,-1,-1,0
37,OTHER,T22,3,4,10,1,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
28,OTHER,T09,3,1,10,1,-1,-1,SELLER,00T09@0,0,3,-1,-1,0
115,T35,T20,3,7,18,3,-1,3,02T35@1,04T20@2,17,3,-1,-1,2
34,OTHER,T09,3,2,10,1,-1,-1,SELLER,00T09@0,0,3,-1,-1,0
35,T09,T35,3,9,25,1,-1,1,00T09@0,02T35@1,17,3,-1,-1,1
29,OTHER,T22,3,1,10,1,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
36,OTHER,T09,3,1,10,1,-1,-1,SELLER,00T09@0,0,3,-1,-1,0
66,T22,T35,4,1,36,-1,-1,1,03T22@1,05T35@2,17,-1,-1,-1,2
88,OTHER,T22,4,4,10,2,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
69,T35,OTHER,4,2,46,2,-1,-1,07T35@3,BUYER,0,4,-1,-1,4
87,OTHER,T09,4,2,10,2,-1,-1,SELLER,00T09@0,0,4,-1,-1,0
72,T35,OTHER,4,3,46,2,-1,-1,07T35@3,BUYER,0,4,-1,-1,4
86,OTHER,T22,4,3,10,2,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
143,T22,T35,4,51,17,-1,-1,4,01T22@0,02T35@1,2,-1,-1,-1,1
91,OTHER,T09,4,6,10,2,-1,-1,SELLER,00T09@0,0,4,-1,-1,0
76,T35,OTHER,4,2,46,2,-1,-1,06T35@3,BUYER,0,4,-1,-1,4
85,T35,OTHER,4,2,46,2,-1,-1,06T35@3,BUYER,0,4,-1,-1,4
78,T35,OTHER,4,3,46,2,-1,-1,06T35@3,BUYER,0,4,-1,-1,4
79,T35,OTHER,4,1,46,2,-1,-1,07T35@3,BUYER,0,4,-1,-1,4
84,T35,OTHER,4,2,46,2,-1,-1,07T35@3,BUYER,0,4,-1,-1,4
81,T35,OTHER,4,4,46,2,-1,-1,07T35@3,BUYER,0,4,-1,-1,4
75,OTHER,T22,4,1,10,2,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
74,OTHER,T22,4,2,10,2,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
83,OTHER,T09,4,1,10,2,-1,-1,SELLER,00T09@0,0,4,-1,-1,0
82,T35,OTHER,4,1,46,2,-1,-1,06T35@3,BUYER,0,4,-1,-1,4
92,OTHER,T22,4,1,10,2,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
107,OTHER,T22,5,2,10,3,-1,-1,SELLER,01T22@0,0,5,-1,-1,0
109,T35,OTHER,5,3,46,3,-1,-1,06T35@3,BUYER,0,5,-1,-1,4
104,OTHER,T22,5,1,10,3,-1,-1,SELLER,01T22@0,0,5,-1,-1,0
101,OTHER,T22,5,2,10,3,-1,-1,SELLER,01T22@0,0,5,-1,-1,0
99,T35,OTHER,5,1,46,3,-1,-1,06T35@3,BUYER,0,5,-1,-1,4
97,OTHER,T22,5,4,10,3,-1,-1,SELLER,01T22@0,0,5,-1,-1,0
110,T35,OTHER,5,1,46,3,-1,-1,07T35@3,BUYER,0,5,-1,-1,4
96,OTHER,T22,5,1,10,3,-1,-1,SELLER,01T22@0,0,5,-1,-1,0
114,OTHER,T09,5,4,10,3,-1,-1,SELLER,00T09@0,0,5,-1,-1,0
116,OTHER,T09,5,2,10,3,-1,-1,SELLER,00T09@0,0,5,-1,-1,0
162,T35,T20,5,13,24,-1,-1,5,02T35@1,04T20@2,15,-1,-1,-1,2
117,T35,OTHER,5,3,46,3,-1,-1,07T35@3,BUYER,0,5,-1,-1,4
95,T35,OTHER,5,4,46,3,-1,-1,06T35@3,BUYER,0,5,-1,-1,4
144,T22,T20,5,14,24,-1,-1,4,03T22@1,04T20@2,20,-1,-1,-1,2
94,T35,OTHER,5,2,46,3,-1,-1,07T35@3,BUYER,0,5,-1,-1,4
113,OTHER,T09,5,1,10,3,-1,-1,SELLER,00T09@0,0,5,-1,-1,0
112,T35,OTHER,5,1,46,3,-1,-1,07T35@3,BUYER,0,5,-1,-1,4
108,T35,OTHER,5,5,46,3,-1,-1,07T35@3,BUYER,0,5,-1,-1,4
98,OTHER,T09,5,3,10,3,-1,-1,SELLER,00T09@0,0,5,-1,-1,0
31,T22,T22,5,2,9,1,-1,1,01T22@0,03T22@1,17,5,-1,-1,1
50,T20,T35,5,5,44,1,-1,1,04T20@2,06T35@3,18,5,-1,-1,3
61,T22,T35,5,1,36,-1,-1,1,03T22@1,05T35@2,17,-1,-1,-1,2
27,T20,T35,6,4,44,1,-1,1,04T20@2,06T35@3,17,6,-1,-1,3
142,T35,OTHER,6,2,46,4,-1,-1,06T35@3,BUYER,0,6,-1,-1,4
141,T35,OTHER,6,1,46,4,-1,-1,07T35@3,BUYER,0,6,-1,-1,4
42,T22,T20,6,5,24,1,-1,1,03T22@1,04T20@2,20,6,-1,-1,2
38,T20,T35,6,4,44,1,-1,1,04T20@2,06T35@3,18,6,-1,-1,3
33,T22,T22,6,3,26,1,-1,1,01T22@0,03T22@1,17,6,-1,-1,1
140,T35,OTHER,6,2,46,4,-1,-1,06T35@3,BUYER,0,6,-1,-1,4
30,T20,T35,6,4,44,1,-1,1,04T20@2,06T35@3,17,6,-1,-1,3
139,T35,OTHER,6,1,46,4,-1,-1,06T35@3,BUYER,0,6,-1,-1,4
135,T35,OTHER,6,2,46,4,-1,-1,07T35@3,BUYER,0,6,-1,-1,4
