index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
333,OTHER,T22,0,4,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
267,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
248,OTHER,T37,0,2,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
561,OTHER,T37,0,3,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
368,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
20,OTHER,T37,0,2,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
583,OTHER,T37,0,2,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
301,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
295,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
316,OTHER,T37,0,1,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
630,T22,T22,1,5,8,1,-1,1,01T22@0,03T22@1,17,1,-1,-1,1
654,T35,T37,1,1,12,-1,-1,1,02T35@1,04T37@2,17,-1,-1,-1,2
131,OTHER,T37,1,3,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
572,OTHER,T22,1,2,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
549,OTHER,T37,1,2,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
589,OTHER,T37,1,1,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
492,OTHER,T22,1,2,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
225,OTHER,T37,1,3,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
666,T35,T37,1,1,12,-1,-1,1,02T35@1,04T37@2,17,-1,-1,-1,2
652,T35,T37,1,1,12,-1,-1,1,02T35@1,04T37@2,17,-1,-1,-1,2
84,OTHER,T22,1,3,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
5,OTHER,T22,1,2,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
661,T35,T37,1,1,12,-1,-1,1,02T35@1,04T37@2,17,-1,-1,-1,2
664,T22,T22,1,5,8,-1,-1,1,01T22@0,03T22@1,17,-1,-1,-1,1
453,OTHER,T22,1,2,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
640,T22,T22,1,1,7,1,-1,1,01T22@0,03T22@1,18,1,-1,-1,1
670,T37,T35,1,10,22,-1,-1,1,00T37@0,02T35@1,17,-1,-1,-1,1
669,T37,T22,2,5,8,-1,-1,1,00T37@0,03T22@1,17,-1,-1,-1,1
634,T22,T37,2,5,34,1,-1,1,03T22@1,04T37@2,17,2,-1,-1,2
704,T22,T35,2,20,14,-1,-1,2,01T22@0,02T35@1,2,-1,-1,-1,1
697,T37,T35,2,19,14,-1,-1,2,00T37@0,02T35@1,2,-1,-1,-1,1
